Test Name,M-max Lower Leg Ampl Lines
Test Item,Right TA
Patient Name,"pre  s2718tdvg"
Patient ID,
Test Date,8/20/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 45 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 100 탎","Tr 5 : 100 mA : 100 탎","Tr 6 : 100 mA : 150 탎","Tr 7 : 100 mA : 200 탎","Tr 8 : 100 mA : 250 탎","Tr 9 : 100 mA : 300 탎","Tr 10 : 100 mA : 300 탎","Tr 11 : 100 mA : 300 탎","Tr 12 : 100 mA : 300 탎","Tr 13 : 100 mA : 300 탎","Tr 14 : 100 mA : 350 탎","Tr 15 : 100 mA : 350 탎","Tr 16 : 100 mA : 350 탎"
,-4.577636719,-424.957275391,-388.336181641,-318.145751953,-322.723388672,-392.913818359,-418.090820313,-359.344482422,-338.745117188,-345.611572266,-351.715087891,-399.780273438,-376.129150391,-386.810302734,-410.461425781,-307.464599609
,-5.340576172,-401.306152344,-368.499755859,-296.783447266,-304.412841797,-374.603271484,-396.728515625,-344.085693359,-319.671630859,-326.538085938,-331.878662109,-377.655029297,-355.529785156,-363.159179688,-387.573242188,-287.628173828
,-7.629394531,-379.180908203,-347.900390625,-276.184082031,-288.391113281,-357.055664063,-376.892089844,-328.063964844,-302.886962891,-307.464599609,-312.042236328,-354.766845703,-336.456298828,-337.982177734,-364.685058594,-267.028808594
,-9.918212891,-359.344482422,-327.301025391,-256.347656250,-273.132324219,-338.745117188,-357.055664063,-312.042236328,-284.576416016,-289.154052734,-291.442871094,-334.167480469,-319.671630859,-314.331054688,-341.796875000,-248.718261719
,-10.681152344,-342.559814453,-306.701660156,-237.274169922,-257.110595703,-320.434570313,-337.982177734,-294.494628906,-267.791748047,-270.080566406,-273.132324219,-314.331054688,-303.649902344,-292.968750000,-318.908691406,-229.644775391
,-11.444091797,-325.775146484,-286.102294922,-219.726562500,-242.614746094,-302.886962891,-318.145751953,-278.472900391,-252.532958984,-254.058837891,-254.821777344,-296.020507813,-290.679931641,-273.132324219,-297.546386719,-210.571289063
,-9.918212891,-310.516357422,-267.791748047,-202.941894531,-228.118896484,-286.102294922,-299.072265625,-263.214111328,-236.511230469,-238.800048828,-238.037109375,-279.998779297,-277.709960938,-257.110595703,-277.709960938,-193.023681641
,-8.392333984,-294.494628906,-251.007080078,-188.446044922,-215.911865234,-270.080566406,-279.998779297,-248.718261719,-220.489501953,-225.830078125,-225.067138672,-263.977050781,-264.739990234,-242.614746094,-259.399414063,-175.476074219
,-6.866455078,-279.235839844,-236.511230469,-175.476074219,-203.704833984,-255.584716797,-260.925292969,-234.222412109,-203.704833984,-213.623046875,-211.334228516,-248.718261719,-251.770019531,-227.355957031,-242.614746094,-160.980224609
,-4.577636719,-264.739990234,-222.015380859,-164.794921875,-191.497802734,-239.562988281,-242.614746094,-219.726562500,-186.157226563,-199.890136719,-197.601318359,-234.222412109,-237.274169922,-212.097167969,-226.593017578,-147.247314453
,-3.051757813,-250.244140625,-208.282470703,-154.876708984,-178.527832031,-222.778320313,-224.304199219,-205.993652344,-169.372558594,-186.157226563,-185.394287109,-220.489501953,-222.778320313,-196.075439453,-211.334228516,-135.040283203
,-1.525878906,-238.037109375,-194.549560547,-145.721435547,-167.083740234,-205.993652344,-208.282470703,-192.260742188,-154.113769531,-172.424316406,-171.661376953,-208.282470703,-207.519531250,-180.053710938,-196.075439453,-123.596191406
,-0.762939453,-226.593017578,-181.579589844,-135.803222656,-155.639648438,-186.920166016,-194.549560547,-178.527832031,-140.380859375,-160.217285156,-160.980224609,-195.312500000,-193.023681641,-166.320800781,-181.579589844,-110.626220703
,0.000000000,-218.200683594,-169.372558594,-125.885009766,-145.721435547,-170.135498047,-182.342529297,-164.794921875,-128.173828125,-151.062011719,-150.299072266,-183.105468750,-178.527832031,-152.587890625,-168.609619141,-97.656250000
,0.000000000,-209.045410156,-157.928466797,-115.966796875,-137.329101563,-154.113769531,-168.609619141,-153.350830078,-116.729736328,-142.669677734,-139.617919922,-170.898437500,-166.320800781,-141.143798828,-156.402587891,-84.686279297
,0.000000000,-199.890136719,-146.484375000,-105.285644531,-127.410888672,-140.380859375,-156.402587891,-141.906738281,-106.048583984,-135.040283203,-128.936767578,-158.691406250,-154.113769531,-128.936767578,-143.432617188,-70.953369141
,0.000000000,-189.971923828,-135.803222656,-96.130371094,-119.018554688,-128.173828125,-142.669677734,-131.988525391,-95.367431641,-128.173828125,-117.492675781,-148.010253906,-141.906738281,-117.492675781,-131.988525391,-59.509277344
,0.000000000,-178.527832031,-125.885009766,-86.975097656,-109.863281250,-116.729736328,-129.699707031,-122.070312500,-84.686279297,-119.781494141,-106.048583984,-138.092041016,-130.462646484,-104.522705078,-119.018554688,-47.302246094
,0.000000000,-167.846679688,-115.966796875,-77.056884766,-101.470947266,-105.285644531,-118.255615234,-112.152099609,-74.768066406,-111.389160156,-95.367431641,-127.410888672,-116.729736328,-90.789794922,-106.048583984,-36.621093750
,0.762939453,-157.928466797,-107.574462891,-68.664550781,-93.841552734,-94.604492188,-106.048583984,-102.233886719,-64.086914063,-102.233886719,-86.212158203,-116.729736328,-103.759765625,-77.056884766,-93.078613281,-26.702880859
,3.051757813,-149.536132813,-97.656250000,-61.035156250,-85.449218750,-83.923339844,-96.130371094,-93.078613281,-53.405761719,-91.552734375,-77.819824219,-105.285644531,-90.026855469,-63.323974609,-80.108642578,-17.547607422
,6.866455078,-141.906738281,-86.212158203,-52.642822266,-77.056884766,-74.005126953,-84.686279297,-85.449218750,-42.724609375,-82.397460938,-69.427490234,-93.841552734,-77.819824219,-48.828125000,-67.901611328,-9.155273438
,10.681152344,-134.277343750,-74.005126953,-45.776367188,-69.427490234,-64.086914063,-74.005126953,-78.582763672,-30.517578125,-72.479248047,-60.272216797,-82.397460938,-67.138671875,-35.095214844,-54.931640625,-0.762939453
,15.258789063,-126.647949219,-61.035156250,-38.909912109,-61.035156250,-54.168701172,-64.086914063,-72.479248047,-21.362304688,-63.323974609,-51.879882813,-71.716308594,-57.983398438,-21.362304688,-41.198730469,6.866455078
,18.310546875,-119.781494141,-47.302246094,-32.806396484,-52.642822266,-44.250488281,-54.168701172,-67.138671875,-12.969970703,-55.694580078,-41.961669922,-61.035156250,-50.354003906,-8.392333984,-26.702880859,14.495849609
,22.125244141,-111.389160156,-35.858154297,-26.702880859,-45.776367188,-35.095214844,-45.013427734,-61.798095703,-6.866455078,-47.302246094,-32.043457031,-51.116943359,-42.724609375,2.288818359,-10.681152344,21.362304688
,23.651123047,-102.996826172,-23.651123047,-20.599365234,-38.909912109,-26.702880859,-36.621093750,-55.694580078,-2.288818359,-39.672851563,-24.414062500,-41.961669922,-33.569335938,12.969970703,3.051757813,28.991699219
,25.939941406,-96.130371094,-14.495849609,-13.732910156,-31.280517578,-17.547607422,-26.702880859,-50.354003906,2.288818359,-31.280517578,-17.547607422,-34.332275391,-22.888183594,21.362304688,16.021728516,35.858154297
,27.465820313,-86.975097656,-5.340576172,-6.866455078,-24.414062500,-7.629394531,-15.258789063,-43.487548828,9.918212891,-23.651123047,-12.207031250,-27.465820313,-12.969970703,28.991699219,27.465820313,42.724609375
,28.228759766,-80.108642578,2.288818359,-0.762939453,-16.021728516,2.288818359,-3.051757813,-36.621093750,19.073486328,-16.021728516,-6.866455078,-20.599365234,-3.814697266,35.095214844,36.621093750,48.065185547
,29.754638672,-72.479248047,9.155273438,3.051757813,-6.866455078,13.732910156,9.918212891,-30.517578125,28.991699219,-8.392333984,-1.525878906,-13.732910156,2.288818359,40.435791016,45.013427734,53.405761719
,29.754638672,-64.086914063,16.021728516,6.103515625,1.525878906,23.651123047,22.125244141,-23.651123047,39.672851563,-0.762939453,3.051757813,-6.103515625,6.866455078,46.539306641,52.642822266,59.509277344
,29.754638672,-54.931640625,22.125244141,8.392333984,8.392333984,32.806396484,32.806396484,-18.310546875,48.065185547,5.340576172,8.392333984,2.288818359,10.681152344,51.879882813,60.272216797,64.086914063
,29.754638672,-47.302246094,26.702880859,10.681152344,13.732910156,41.961669922,41.961669922,-12.207031250,54.931640625,13.732910156,14.495849609,11.444091797,14.495849609,57.220458984,68.664550781,69.427490234
,28.228759766,-38.909912109,30.517578125,12.969970703,19.073486328,49.591064453,48.828125000,-6.866455078,60.272216797,22.125244141,21.362304688,22.888183594,19.073486328,62.561035156,77.056884766,74.005126953
,28.991699219,-32.043457031,35.095214844,16.021728516,24.414062500,57.220458984,57.220458984,-1.525878906,64.086914063,29.754638672,28.991699219,34.332275391,22.888183594,67.138671875,84.686279297,77.056884766
,29.754638672,-25.177001953,39.672851563,19.073486328,30.517578125,63.323974609,64.086914063,3.814697266,67.901611328,38.146972656,36.621093750,43.487548828,27.465820313,70.953369141,90.026855469,80.108642578
,30.517578125,-18.310546875,45.013427734,22.888183594,36.621093750,67.901611328,70.953369141,7.629394531,72.479248047,45.013427734,44.250488281,51.879882813,32.043457031,75.531005859,93.078613281,81.634521484
,32.806396484,-10.681152344,48.828125000,25.939941406,42.724609375,74.768066406,77.819824219,12.969970703,78.582763672,51.116943359,51.879882813,57.983398438,35.858154297,79.345703125,94.604492188,81.634521484
,34.332275391,-3.814697266,52.642822266,27.465820313,47.302246094,80.108642578,83.923339844,18.310546875,85.449218750,57.983398438,58.746337891,61.798095703,40.435791016,83.160400391,95.367431641,81.634521484
,37.384033203,0.762939453,54.168701172,29.754638672,53.405761719,85.449218750,89.263916016,22.888183594,93.841552734,62.561035156,65.612792969,66.375732422,45.776367188,87.738037109,96.893310547,80.108642578
,39.672851563,5.340576172,55.694580078,31.280517578,59.509277344,90.789794922,93.841552734,29.754638672,101.470947266,67.138671875,70.953369141,70.190429688,51.116943359,92.315673828,99.945068359,80.871582031
,42.724609375,9.155273438,56.457519531,32.043457031,65.612792969,93.078613281,96.893310547,35.858154297,108.337402344,71.716308594,75.531005859,74.768066406,55.694580078,95.367431641,103.759765625,83.923339844
,45.776367188,12.207031250,57.220458984,33.569335938,70.953369141,95.367431641,99.945068359,40.435791016,115.203857422,76.293945313,79.345703125,80.108642578,62.561035156,99.182128906,108.337402344,88.500976563
,48.828125000,16.021728516,59.509277344,35.858154297,74.768066406,98.419189453,102.233886719,45.776367188,120.544433594,81.634521484,82.397460938,83.923339844,67.901611328,102.233886719,112.915039063,96.130371094
,51.879882813,19.836425781,62.561035156,38.146972656,77.819824219,100.708007813,106.811523438,50.354003906,125.885009766,85.449218750,83.923339844,88.500976563,74.005126953,103.759765625,117.492675781,104.522705078
,54.168701172,22.888183594,65.612792969,41.961669922,79.345703125,104.522705078,110.626220703,54.168701172,131.225585938,89.263916016,83.923339844,93.078613281,80.871582031,105.285644531,121.307373047,111.389160156
,54.168701172,28.228759766,69.427490234,45.776367188,80.108642578,107.574462891,115.203857422,58.746337891,135.803222656,91.552734375,83.160400391,98.419189453,86.212158203,103.759765625,125.122070313,118.255615234
,53.405761719,32.806396484,74.005126953,50.354003906,82.397460938,110.626220703,121.307373047,61.798095703,141.906738281,91.552734375,83.160400391,104.522705078,93.841552734,102.233886719,128.936767578,124.359130859
,50.354003906,38.909912109,79.345703125,54.168701172,83.160400391,113.677978516,128.173828125,64.849853516,147.247314453,91.552734375,84.686279297,109.863281250,101.470947266,102.233886719,131.988525391,128.936767578
,46.539306641,45.776367188,83.923339844,59.509277344,86.212158203,116.729736328,137.329101563,67.901611328,152.587890625,90.789794922,87.738037109,115.966796875,109.100341797,101.470947266,135.803222656,131.988525391
,43.487548828,51.116943359,89.263916016,64.849853516,89.263916016,121.307373047,148.010253906,71.716308594,158.691406250,90.789794922,91.552734375,123.596191406,116.729736328,102.996826172,138.092041016,133.514404297
,41.961669922,56.457519531,93.841552734,70.190429688,93.841552734,126.647949219,159.454345703,77.056884766,164.794921875,91.552734375,96.130371094,131.225585938,123.596191406,104.522705078,141.143798828,135.040283203
,41.198730469,60.272216797,99.182128906,77.819824219,101.470947266,131.225585938,170.898437500,81.634521484,173.187255859,92.315673828,99.945068359,139.617919922,131.225585938,106.811523438,143.432617188,137.329101563
,41.198730469,64.086914063,106.048583984,87.738037109,110.626220703,135.803222656,182.342529297,87.738037109,182.342529297,93.841552734,102.233886719,148.010253906,139.617919922,109.863281250,146.484375000,143.432617188
,41.961669922,69.427490234,113.677978516,99.182128906,119.781494141,140.380859375,190.734863281,91.552734375,193.023681641,93.841552734,102.996826172,154.113769531,146.484375000,111.389160156,150.299072266,152.587890625
,42.724609375,75.531005859,121.307373047,113.677978516,131.988525391,144.195556641,197.601318359,93.841552734,202.178955078,93.841552734,105.285644531,158.691406250,155.639648438,112.915039063,153.350830078,164.031982422
,44.250488281,83.160400391,128.936767578,127.410888672,144.195556641,149.536132813,201.416015625,96.893310547,209.808349609,93.078613281,106.811523438,159.454345703,163.269042969,112.915039063,156.402587891,177.764892578
,45.013427734,93.078613281,136.566162109,141.143798828,156.402587891,154.876708984,203.704833984,99.182128906,218.200683594,92.315673828,110.626220703,157.165527344,169.372558594,110.626220703,157.165527344,189.971923828
,45.013427734,100.708007813,144.195556641,154.113769531,170.135498047,161.743164063,205.993652344,102.996826172,227.355957031,90.789794922,115.203857422,152.587890625,175.476074219,106.811523438,157.928466797,201.416015625
,43.487548828,110.626220703,152.587890625,167.846679688,184.631347656,170.135498047,208.282470703,109.863281250,237.274169922,90.789794922,122.070312500,144.958496094,178.527832031,102.233886719,157.928466797,212.097167969
,41.198730469,119.018554688,161.743164063,183.105468750,199.127197266,180.053710938,211.334228516,119.018554688,251.770019531,89.263916016,127.410888672,136.566162109,179.290771484,96.893310547,157.928466797,221.252441406
,39.672851563,126.647949219,170.135498047,199.890136719,215.148925781,190.734863281,214.385986328,128.173828125,267.028808594,90.789794922,132.751464844,127.410888672,180.816650391,90.026855469,159.454345703,229.644775391
,38.909912109,135.803222656,178.527832031,220.489501953,228.881835938,199.890136719,218.963623047,140.380859375,283.050537109,94.604492188,137.329101563,119.018554688,180.053710938,81.634521484,162.506103516,237.274169922
,38.909912109,144.195556641,185.394287109,241.851806641,241.088867188,207.519531250,224.304199219,150.299072266,301.361083984,102.233886719,141.143798828,111.389160156,179.290771484,74.005126953,165.557861328,242.614746094
,39.672851563,153.350830078,193.023681641,262.451171875,251.770019531,212.097167969,228.881835938,158.691406250,315.093994141,115.203857422,144.958496094,104.522705078,178.527832031,67.138671875,170.898437500,247.192382813
,39.672851563,161.743164063,199.890136719,283.050537109,260.925292969,213.623046875,231.170654297,166.320800781,326.538085938,131.225585938,149.536132813,101.470947266,177.001953125,61.798095703,176.239013672,247.955322266
,40.435791016,167.083740234,209.045410156,302.124023438,269.317626953,215.148925781,231.933593750,170.135498047,334.930419922,148.773193359,154.113769531,100.708007813,175.476074219,59.509277344,183.868408203,249.481201172
,40.435791016,171.661376953,219.726562500,319.671630859,277.709960938,217.437744141,228.881835938,172.424316406,339.508056641,164.794921875,159.454345703,100.708007813,171.661376953,59.509277344,191.497802734,250.244140625
,40.435791016,173.187255859,231.933593750,337.982177734,286.865234375,218.963623047,222.778320313,172.424316406,340.270996094,177.001953125,164.794921875,102.233886719,168.609619141,63.323974609,199.890136719,252.532958984
,40.435791016,175.476074219,246.429443359,355.529785156,296.783447266,222.015380859,216.674804688,173.187255859,337.219238281,186.157226563,170.898437500,102.233886719,164.031982422,66.375732422,205.993652344,257.110595703
,38.909912109,178.527832031,260.925292969,372.314453125,306.701660156,224.304199219,209.045410156,174.713134766,334.167480469,193.786621094,176.239013672,99.945068359,158.691406250,69.427490234,210.571289063,262.451171875
,36.621093750,181.579589844,274.658203125,389.862060547,317.382812500,225.067138672,202.941894531,177.764892578,331.115722656,199.890136719,181.579589844,97.656250000,156.402587891,70.953369141,213.623046875,267.028808594
,32.806396484,186.920166016,288.391113281,404.357910156,328.826904297,225.830078125,199.127197266,183.868408203,330.352783203,203.704833984,186.157226563,93.078613281,154.113769531,70.953369141,214.385986328,271.606445313
,28.228759766,191.497802734,299.835205078,416.564941406,340.270996094,224.304199219,199.890136719,189.208984375,333.404541016,203.704833984,190.734863281,88.500976563,153.350830078,69.427490234,215.148925781,274.658203125
,24.414062500,196.075439453,308.990478516,423.431396484,350.952148438,222.778320313,202.941894531,193.786621094,337.982177734,199.890136719,194.549560547,83.160400391,154.113769531,67.901611328,215.911865234,276.184082031
,20.599365234,200.653076172,313.568115234,421.905517578,357.055664063,217.437744141,209.045410156,198.364257813,342.559814453,193.786621094,197.601318359,76.293945313,152.587890625,67.901611328,216.674804688,277.709960938
,18.310546875,204.467773438,313.568115234,412.750244141,357.818603516,210.571289063,215.148925781,199.127197266,345.611572266,184.631347656,201.416015625,70.190429688,151.062011719,68.664550781,217.437744141,276.947021484
,17.547607422,207.519531250,307.464599609,392.913818359,350.189208984,199.127197266,220.489501953,197.601318359,345.611572266,176.239013672,205.230712891,62.561035156,148.010253906,70.190429688,215.911865234,275.421142578
,16.784667969,209.045410156,293.731689453,365.447998047,334.930419922,185.394287109,225.067138672,194.549560547,341.033935547,167.083740234,209.808349609,56.457519531,143.432617188,72.479248047,214.385986328,273.895263672
,16.784667969,209.045410156,273.895263672,331.115722656,311.279296875,169.372558594,228.881835938,186.157226563,335.693359375,158.691406250,213.623046875,50.354003906,139.617919922,75.531005859,212.860107422,271.606445313
,15.258789063,207.519531250,249.481201172,292.205810547,280.761718750,152.587890625,231.933593750,176.239013672,325.775146484,151.062011719,217.437744141,45.013427734,135.803222656,77.819824219,211.334228516,271.606445313
,14.495849609,205.230712891,221.252441406,251.770019531,244.903564453,137.329101563,234.985351563,163.269042969,314.331054688,144.958496094,221.252441406,42.724609375,133.514404297,83.160400391,212.097167969,272.369384766
,12.969970703,201.416015625,191.497802734,209.808349609,208.282470703,122.833251953,238.037109375,150.299072266,301.361083984,139.617919922,225.067138672,41.198730469,133.514404297,87.738037109,212.860107422,275.421142578
,12.969970703,196.838378906,161.743164063,167.083740234,170.898437500,109.863281250,239.562988281,138.092041016,287.628173828,136.566162109,228.881835938,41.198730469,133.514404297,94.604492188,215.148925781,280.761718750
,12.969970703,191.497802734,131.988525391,126.647949219,136.566162109,99.182128906,241.088867188,129.699707031,273.895263672,135.040283203,233.459472656,43.487548828,135.040283203,100.708007813,217.437744141,287.628173828
,13.732910156,186.157226563,104.522705078,87.738037109,103.759765625,91.552734375,241.851806641,126.647949219,260.925292969,136.566162109,237.274169922,45.776367188,136.566162109,102.233886719,217.437744141,295.257568359
,13.732910156,181.579589844,79.345703125,51.879882813,71.716308594,88.500976563,241.851806641,125.885009766,247.955322266,138.854980469,240.325927734,48.828125000,137.329101563,100.708007813,214.385986328,303.649902344
,12.207031250,177.001953125,61.035156250,22.888183594,43.487548828,89.263916016,241.088867188,128.936767578,236.511230469,143.432617188,242.614746094,53.405761719,139.617919922,94.604492188,206.756591797,311.279296875
,12.207031250,173.187255859,48.828125000,0.000000000,17.547607422,93.078613281,237.274169922,133.514404297,227.355957031,149.536132813,243.377685547,57.220458984,142.669677734,86.212158203,194.549560547,318.908691406
,11.444091797,170.135498047,40.435791016,-15.258789063,-2.288818359,97.656250000,231.170654297,138.092041016,220.489501953,156.402587891,243.377685547,60.272216797,145.721435547,80.108642578,180.053710938,325.012207031
,11.444091797,167.083740234,35.095214844,-22.888183594,-16.021728516,101.470947266,222.778320313,141.906738281,217.437744141,164.794921875,241.851806641,62.561035156,149.536132813,75.531005859,167.083740234,329.589843750
,12.969970703,166.320800781,30.517578125,-24.414062500,-26.702880859,102.233886719,209.808349609,146.484375000,215.148925781,172.424316406,239.562988281,62.561035156,151.824951172,74.768066406,157.165527344,333.404541016
,15.258789063,164.794921875,27.465820313,-19.073486328,-34.332275391,101.470947266,195.312500000,149.536132813,216.674804688,178.527832031,236.511230469,59.509277344,151.824951172,77.819824219,150.299072266,335.693359375
,18.310546875,164.031982422,27.465820313,-10.681152344,-39.672851563,99.182128906,179.290771484,153.350830078,219.726562500,182.342529297,231.933593750,55.694580078,151.824951172,82.397460938,146.484375000,337.982177734
,21.362304688,161.743164063,29.754638672,0.000000000,-42.724609375,96.893310547,160.980224609,157.165527344,223.541259766,183.868408203,227.355957031,51.116943359,150.299072266,86.975097656,145.721435547,341.033935547
,22.888183594,157.928466797,34.332275391,12.207031250,-41.198730469,94.604492188,142.669677734,160.217285156,227.355957031,184.631347656,222.015380859,45.776367188,148.010253906,92.315673828,144.958496094,342.559814453
,22.888183594,152.587890625,38.146972656,25.177001953,-38.146972656,93.841552734,122.833251953,162.506103516,228.118896484,185.394287109,215.911865234,41.961669922,145.721435547,95.367431641,146.484375000,344.085693359
,19.836425781,147.247314453,41.961669922,38.909912109,-32.806396484,93.078613281,102.233886719,163.269042969,226.593017578,186.157226563,208.282470703,38.146972656,141.906738281,99.945068359,148.010253906,344.848632813
,16.021728516,141.906738281,45.013427734,53.405761719,-25.177001953,93.078613281,83.923339844,161.743164063,222.778320313,188.446044922,199.127197266,35.858154297,139.617919922,105.285644531,148.773193359,344.085693359
,10.681152344,136.566162109,48.065185547,67.138671875,-16.021728516,94.604492188,66.375732422,159.454345703,216.674804688,191.497802734,189.971923828,34.332275391,136.566162109,111.389160156,147.247314453,341.796875000
,6.103515625,130.462646484,50.354003906,80.871582031,-3.814697266,95.367431641,52.642822266,157.165527344,209.808349609,196.075439453,182.342529297,36.621093750,136.566162109,119.781494141,144.958496094,336.456298828
,3.051757813,122.833251953,51.879882813,91.552734375,11.444091797,98.419189453,44.250488281,155.639648438,202.941894531,201.416015625,176.239013672,41.198730469,137.329101563,128.173828125,141.906738281,328.826904297
,0.762939453,113.677978516,50.354003906,99.945068359,30.517578125,100.708007813,38.909912109,157.165527344,196.075439453,205.993652344,172.424316406,47.302246094,138.092041016,136.566162109,138.854980469,318.145751953
,-0.762939453,101.470947266,46.539306641,104.522705078,51.879882813,102.996826172,38.909912109,158.691406250,189.208984375,209.045410156,169.372558594,54.168701172,140.380859375,144.958496094,135.040283203,305.938720703
,-2.288818359,86.975097656,41.961669922,104.522705078,72.479248047,104.522705078,41.961669922,160.980224609,180.816650391,209.808349609,166.320800781,58.746337891,141.143798828,153.350830078,131.988525391,293.731689453
,-3.814697266,72.479248047,37.384033203,101.470947266,89.263916016,103.759765625,44.250488281,161.743164063,172.424316406,209.045410156,162.506103516,63.323974609,140.380859375,162.506103516,128.173828125,282.287597656
,-4.577636719,57.983398438,35.095214844,97.656250000,102.996826172,99.182128906,45.776367188,160.980224609,163.269042969,207.519531250,156.402587891,67.901611328,138.854980469,171.661376953,124.359130859,272.369384766
,-5.340576172,47.302246094,35.095214844,90.789794922,112.152099609,91.552734375,41.198730469,160.217285156,154.113769531,205.230712891,148.010253906,73.242187500,134.277343750,180.053710938,122.070312500,263.214111328
,-6.103515625,38.146972656,36.621093750,83.923339844,117.492675781,80.108642578,35.095214844,157.928466797,147.247314453,202.941894531,138.854980469,80.871582031,130.462646484,187.683105469,119.781494141,254.821777344
,-5.340576172,32.043457031,38.909912109,76.293945313,121.307373047,68.664550781,28.228759766,154.876708984,140.380859375,201.416015625,128.936767578,87.738037109,125.885009766,195.312500000,117.492675781,245.666503906
,-3.814697266,25.177001953,40.435791016,67.901611328,125.122070313,57.983398438,23.651123047,151.824951172,135.040283203,200.653076172,117.492675781,95.367431641,120.544433594,202.178955078,117.492675781,235.748291016
,-1.525878906,19.073486328,41.961669922,60.272216797,128.936767578,50.354003906,21.362304688,147.247314453,132.751464844,201.416015625,106.048583984,102.996826172,116.729736328,209.808349609,115.203857422,226.593017578
,0.000000000,14.495849609,45.013427734,54.168701172,129.699707031,45.013427734,19.836425781,143.432617188,129.699707031,202.941894531,93.841552734,109.863281250,112.915039063,215.148925781,112.915039063,219.726562500
,0.000000000,6.866455078,48.828125000,47.302246094,127.410888672,41.198730469,20.599365234,138.092041016,126.647949219,202.178955078,82.397460938,118.255615234,109.863281250,219.726562500,110.626220703,213.623046875
,0.762939453,0.762939453,54.168701172,38.909912109,120.544433594,38.146972656,22.125244141,131.988525391,122.833251953,202.178955078,71.716308594,127.410888672,106.811523438,223.541259766,106.048583984,209.045410156
,1.525878906,-4.577636719,57.983398438,28.991699219,109.100341797,34.332275391,25.939941406,125.885009766,117.492675781,199.890136719,60.272216797,136.566162109,103.759765625,225.830078125,102.996826172,205.230712891
,1.525878906,-12.207031250,57.220458984,17.547607422,96.893310547,29.754638672,32.043457031,119.018554688,110.626220703,196.075439453,51.879882813,144.195556641,99.945068359,228.881835938,98.419189453,199.890136719
,3.051757813,-16.784667969,54.168701172,8.392333984,83.923339844,26.702880859,38.146972656,113.677978516,103.759765625,194.549560547,43.487548828,150.299072266,95.367431641,231.170654297,93.841552734,194.549560547
,3.814697266,-22.125244141,49.591064453,2.288818359,71.716308594,25.177001953,42.724609375,108.337402344,96.130371094,192.260742188,36.621093750,154.876708984,91.552734375,231.933593750,88.500976563,189.208984375
,3.814697266,-28.991699219,45.776367188,1.525878906,61.035156250,23.651123047,45.776367188,106.048583984,89.263916016,191.497802734,35.095214844,159.454345703,88.500976563,232.696533203,82.397460938,183.868408203
,4.577636719,-35.858154297,46.539306641,3.814697266,51.116943359,22.125244141,45.776367188,106.048583984,82.397460938,190.734863281,35.858154297,163.269042969,86.975097656,231.933593750,78.582763672,178.527832031
,4.577636719,-43.487548828,48.828125000,7.629394531,43.487548828,19.073486328,45.776367188,107.574462891,75.531005859,188.446044922,39.672851563,166.320800781,85.449218750,230.407714844,76.293945313,172.424316406
,6.103515625,-50.354003906,53.405761719,12.207031250,36.621093750,14.495849609,43.487548828,109.100341797,67.901611328,186.157226563,45.013427734,169.372558594,86.212158203,228.881835938,74.768066406,164.794921875
,9.155273438,-54.931640625,58.746337891,16.784667969,32.043457031,9.918212891,39.672851563,109.863281250,60.272216797,183.105468750,50.354003906,172.424316406,86.975097656,227.355957031,75.531005859,156.402587891
,12.969970703,-57.983398438,64.849853516,22.125244141,29.754638672,5.340576172,35.858154297,107.574462891,52.642822266,179.290771484,54.168701172,177.001953125,89.263916016,225.830078125,77.056884766,146.484375000
,16.784667969,-59.509277344,70.953369141,25.939941406,28.991699219,2.288818359,31.280517578,103.759765625,46.539306641,174.713134766,56.457519531,183.105468750,91.552734375,227.355957031,78.582763672,135.040283203
,18.310546875,-57.220458984,77.056884766,27.465820313,28.991699219,0.000000000,26.702880859,97.656250000,41.198730469,167.846679688,57.983398438,190.734863281,92.315673828,230.407714844,82.397460938,122.070312500
,19.836425781,-51.879882813,83.923339844,26.702880859,28.991699219,-1.525878906,23.651123047,87.738037109,38.146972656,157.928466797,57.983398438,199.890136719,93.078613281,234.985351563,86.212158203,106.811523438
,20.599365234,-45.776367188,90.026855469,23.651123047,28.991699219,-3.814697266,20.599365234,77.056884766,34.332275391,148.010253906,55.694580078,208.282470703,93.078613281,239.562988281,91.552734375,93.078613281
,19.836425781,-38.146972656,96.893310547,20.599365234,29.754638672,-5.340576172,18.310546875,64.849853516,28.991699219,136.566162109,54.931640625,216.674804688,93.078613281,242.614746094,97.656250000,79.345703125
,21.362304688,-32.043457031,103.759765625,16.784667969,31.280517578,-6.866455078,19.073486328,53.405761719,23.651123047,125.122070313,53.405761719,222.778320313,93.078613281,244.903564453,102.996826172,67.138671875
,22.888183594,-26.702880859,110.626220703,14.495849609,32.806396484,-7.629394531,19.073486328,42.724609375,17.547607422,115.966796875,52.642822266,226.593017578,93.078613281,245.666503906,109.100341797,56.457519531
,24.414062500,-21.362304688,115.966796875,11.444091797,35.095214844,-6.866455078,19.836425781,30.517578125,12.969970703,107.574462891,52.642822266,230.407714844,92.315673828,244.903564453,115.203857422,43.487548828
,28.228759766,-15.258789063,119.018554688,8.392333984,37.384033203,-4.577636719,22.125244141,21.362304688,9.918212891,101.470947266,52.642822266,231.933593750,92.315673828,242.614746094,120.544433594,32.043457031
