Test Name,M-max Lower Leg Ampl Lines
Test Item,Right TA
Patient Name,"pre  s2718tdvg"
Patient ID,
Test Date,8/20/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 45 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 100 탎","Tr 5 : 100 mA : 100 탎","Tr 6 : 100 mA : 150 탎","Tr 7 : 100 mA : 200 탎","Tr 8 : 100 mA : 250 탎","Tr 9 : 100 mA : 300 탎","Tr 10 : 100 mA : 300 탎","Tr 11 : 100 mA : 300 탎","Tr 12 : 100 mA : 300 탎","Tr 13 : 100 mA : 300 탎","Tr 14 : 100 mA : 350 탎","Tr 15 : 100 mA : 350 탎","Tr 16 : 100 mA : 350 탎"
,19.073486328,-13.732910156,54.931640625,28.228759766,16.021728516,34.332275391,27.465820313,-16.021728516,67.901611328,2.288818359,9.155273438,-14.495849609,26.702880859,70.190429688,62.561035156,157.928466797
,20.599365234,-19.836425781,56.457519531,28.228759766,16.784667969,35.858154297,29.754638672,-18.310546875,64.849853516,2.288818359,6.866455078,-12.969970703,26.702880859,71.716308594,66.375732422,154.113769531
,22.888183594,-24.414062500,58.746337891,28.991699219,19.836425781,38.146972656,33.569335938,-19.073486328,64.086914063,2.288818359,6.103515625,-12.207031250,26.702880859,72.479248047,68.664550781,149.536132813
,25.939941406,-25.177001953,61.798095703,28.228759766,22.888183594,41.961669922,38.909912109,-19.836425781,64.086914063,3.051757813,5.340576172,-10.681152344,26.702880859,73.242187500,70.953369141,145.721435547
,28.228759766,-24.414062500,64.086914063,25.177001953,25.939941406,45.776367188,44.250488281,-19.836425781,64.849853516,3.814697266,5.340576172,-9.155273438,25.939941406,71.716308594,72.479248047,141.906738281
,28.991699219,-20.599365234,64.849853516,21.362304688,29.754638672,51.116943359,48.828125000,-19.073486328,67.138671875,4.577636719,4.577636719,-8.392333984,25.939941406,70.953369141,74.005126953,138.854980469
,28.228759766,-15.258789063,64.086914063,16.021728516,32.043457031,56.457519531,52.642822266,-17.547607422,67.138671875,6.103515625,3.814697266,-6.103515625,24.414062500,69.427490234,76.293945313,136.566162109
,26.702880859,-9.918212891,62.561035156,11.444091797,33.569335938,60.272216797,55.694580078,-14.495849609,67.901611328,5.340576172,3.814697266,-3.814697266,23.651123047,67.138671875,78.582763672,135.040283203
,25.939941406,-5.340576172,60.272216797,8.392333984,34.332275391,62.561035156,57.220458984,-10.681152344,67.138671875,5.340576172,3.814697266,-2.288818359,22.125244141,64.849853516,80.108642578,133.514404297
,25.939941406,-0.762939453,58.746337891,6.103515625,35.095214844,64.086914063,57.220458984,-9.155273438,64.849853516,4.577636719,4.577636719,-0.762939453,19.836425781,61.798095703,81.634521484,132.751464844
,27.465820313,3.051757813,57.220458984,3.814697266,35.095214844,64.849853516,57.220458984,-6.866455078,64.849853516,3.051757813,4.577636719,0.000000000,17.547607422,58.746337891,80.871582031,131.225585938
,30.517578125,7.629394531,54.931640625,2.288818359,35.095214844,65.612792969,55.694580078,-5.340576172,64.086914063,3.051757813,5.340576172,0.762939453,15.258789063,54.931640625,80.108642578,131.988525391
,34.332275391,11.444091797,51.116943359,1.525878906,35.858154297,65.612792969,54.168701172,-3.051757813,64.849853516,3.051757813,8.392333984,1.525878906,12.969970703,52.642822266,78.582763672,131.988525391
,38.909912109,15.258789063,47.302246094,2.288818359,36.621093750,65.612792969,51.879882813,0.000000000,65.612792969,2.288818359,10.681152344,2.288818359,12.207031250,51.116943359,77.056884766,133.514404297
,41.961669922,18.310546875,44.250488281,3.051757813,37.384033203,65.612792969,48.828125000,3.051757813,66.375732422,3.051757813,12.207031250,2.288818359,12.969970703,49.591064453,75.531005859,135.040283203
,44.250488281,19.836425781,41.198730469,4.577636719,38.146972656,64.086914063,45.013427734,6.103515625,67.901611328,3.051757813,13.732910156,2.288818359,15.258789063,49.591064453,73.242187500,135.803222656
,48.065185547,20.599365234,41.198730469,5.340576172,39.672851563,64.086914063,42.724609375,9.918212891,70.190429688,3.814697266,13.732910156,3.051757813,17.547607422,49.591064453,69.427490234,136.566162109
,49.591064453,-217.437744141,38.146972656,-61.798095703,-417.327880859,60.272216797,39.672851563,-275.421142578,54.168701172,-905.609130859,-193.023681641,-512.695312500,-294.494628906,-93.841552734,65.612792969,-387.573242188
,49.591064453,-410.461425781,-587.463378906,-369.262695313,-814.819335938,-568.389892578,-653.839111328,-1442.718505859,-862.121582031,-2872.467041016,-936.889648438,-1629.638671875,-982.666015625,-690.460205078,-878.906250000,-1511.383056641
,50.354003906,-576.019287109,-1153.564453125,-659.942626953,-1187.896728516,-1153.564453125,-2069.854736328,-2603.149414063,-2687.072753906,-4850.006103516,-2111.816406250,-2679.443359375,-1638.031005859,-1733.398437500,-2873.229980469,-2686.309814453
,50.354003906,-721.740722656,-1674.652099609,-935.363769531,-1539.611816406,-1712.036132813,-3447.723388672,-3717.803955078,-4460.906982422,-6771.850585938,-3256.225585938,-3682.708740234,-2268.981933594,-2732.086181641,-5306.243896484,-3840.637207031
,50.354003906,-372.314453125,-2151.489257813,-1061.248779297,-953.674316406,-2241.516113281,-4785.156250000,-4212.951660156,-6143.188476563,-6817.626953125,-3955.078125000,-3607.940673828,-2246.856689453,-3414.916992188,-7701.873779297,-3916.931152344
