Test Name,M-max Lower Leg Ampl Lines
Test Item,Left TA
Patient Name,"mid  s2718tdvg"
Patient ID,
Test Date,9/24/2019
Trace Label,"Tr 1 : 0 mA : 200 탎","Tr 2 : 80 mA : 200 탎","Tr 3 : 100 mA : 200 탎","Tr 4 : 100 mA : 300 탎","Tr 5 : 100 mA : 400 탎","Tr 6 : 100 mA : 400 탎","Tr 7 : 100 mA : 400 탎","Tr 8 : 100 mA : 400 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 500 탎","Tr 11 : 100 mA : 500 탎","Tr 12 : 100 mA : 500 탎","Tr 13 : 100 mA : 500 탎"
,23.651123047,-2391.052246094,-500.488281250,-1867.675781250,-4100.799560547,-4779.052734375,-2446.746826172,-7442.474365234,-4167.175292969,-7722.473144531,-6169.891357422,-6938.171386719,-2104.949951172
,23.651123047,-603.485107422,749.206542969,404.357910156,-631.713867188,-1013.946533203,987.243652344,-2319.335937500,-611.877441406,-2557.373046875,-2169.799804688,-2436.065673828,14.495849609
,22.125244141,531.005859375,633.239746094,1084.136962891,1225.280761719,1078.796386719,2676.391601563,1050.567626953,1278.686523438,870.513916016,432.586669922,500.488281250,1095.581054688
,22.888183594,509.643554688,614.929199219,1056.671142578,1487.731933594,1525.878906250,2617.645263672,2668.762207031,1554.870605469,2558.135986328,1668.548583984,1895.904541016,1168.060302734
,22.888183594,493.621826172,599.670410156,1026.153564453,1454.925537109,1487.731933594,2548.217773438,2616.119384766,1509.094238281,2507.781982422,1564.025878906,1783.752441406,1131.439208984
,22.125244141,482.177734375,584.411621094,995.635986328,1419.830322266,1451.110839844,2482.604980469,2551.269531250,1467.132568359,2448.272705078,1531.219482422,1741.790771484,1097.106933594
,23.651123047,472.259521484,568.389892578,965.881347656,1386.260986328,1415.252685547,2417.755126953,2484.130859375,1425.170898438,2386.474609375,1496.124267578,1697.540283203,1066.589355469
,23.651123047,463.867187500,553.894042969,935.363769531,1351.165771484,1380.157470703,2355.957031250,2418.518066406,1384.735107422,2322.387695313,1460.266113281,1654.815673828,1036.834716797
,24.414062500,455.474853516,537.109375000,907.135009766,1316.833496094,1344.299316406,2296.447753906,2353.668212891,1344.299316406,2260.589599609,1424.407958984,1614.379882813,1007.080078125
,26.702880859,447.082519531,521.850585938,878.143310547,1283.264160156,1310.729980469,2238.464355469,2289.581298828,1304.626464844,2200.317382813,1389.312744141,1575.469970703,981.903076172
,27.465820313,438.690185547,507.354736328,849.914550781,1250.457763672,1276.397705078,2182.006835938,2227.020263672,1266.479492188,2141.571044922,1354.980468750,1536.560058594,955.200195313
