Test Name,M-max Lower Leg Ampl Lines
Test Item,Right Gastroc
Patient Name,"mid  s2718tdvg"
Patient ID,
Test Date,9/24/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 58 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 100 탎","Tr 5 : 100 mA : 100 탎","Tr 6 : 100 mA : 100 탎","Tr 7 : 100 mA : 150 탎","Tr 8 : 100 mA : 250 탎","Tr 9 : 100 mA : 350 탎","Tr 10 : 100 mA : 450 탎","Tr 11 : 100 mA : 450 탎","Tr 12 : 100 mA : 450 탎"
,12.207031250,1470.947265625,1605.224609375,1569.366455078,677.490234375,385.284423828,26.702880859,1610.565185547,1575.469970703,457.763671875,35.858154297,48.065185547
,11.444091797,2891.540527344,3073.883056641,3074.645996094,1457.214355469,1082.611083984,1588.439941406,4730.224609375,4698.181152344,2458.953857422,1595.306396484,1609.802246094
,10.681152344,4276.275634766,4491.424560547,4521.179199219,2171.325683594,1722.717285156,2980.041503906,7723.236083984,8055.114746094,6021.118164063,4715.728759766,4728.698730469
,9.155273438,5628.204345703,5852.508544922,5908.203125000,2816.009521484,2300.262451172,4279.327392578,10563.659667969,11213.684082031,10895.538330078,9395.599365234,9406.280517578
,8.392333984,4051.971435547,4039.764404297,4142.761230469,2059.936523438,2104.187011719,5480.194091797,10131.072998047,11038.970947266,14646.148681641,13790.893554688,13822.174072266
,7.629394531,2504.730224609,2355.957031250,2403.259277344,1013.183593750,1161.193847656,3461.456298828,6423.950195313,7528.686523438,15012.359619141,14813.232421875,14859.771728516
,6.866455078,1001.739501953,724.792480469,726.318359375,35.095214844,269.317626953,1686.096191406,2819.061279297,3343.200683594,11985.015869141,12454.223632813,12514.495849609
,6.866455078,-461.578369141,-843.811035156,-885.009765625,-865.936279297,-556.945800781,3.051757813,-631.713867188,-652.313232422,6064.605712891,6714.630126953,6790.924072266
,6.866455078,-441.741943359,-791.931152344,-885.009765625,-1026.153564453,-960.540771484,-1573.944091797,-2359.008789063,-2864.074707031,802.612304688,1291.656494141,1335.144042969
,7.629394531,-416.564941406,-772.094726563,-864.410400391,-1001.739501953,-953.674316406,-1485.443115234,-2360.534667969,-3286.743164063,-2619.934082031,-2316.284179688,-2293.395996094
,9.155273438,-397.491455078,-748.443603516,-842.285156250,-972.747802734,-936.126708984,-1462.554931641,-2322.387695313,-3249.359130859,-4190.063476563,-4088.592529297,-4079.437255859
