Test Name,M-max Lower Leg Ampl Lines
Test Item,Right TA
Patient Name,"mid  s2718tdvg"
Patient ID,
Test Date,9/24/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 58 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 100 탎","Tr 5 : 100 mA : 150 탎","Tr 6 : 100 mA : 200 탎","Tr 7 : 100 mA : 250 탎","Tr 8 : 100 mA : 250 탎","Tr 9 : 100 mA : 250 탎","Tr 10 : 100 mA : 250 탎"
,8.392333984,34.332275391,43.487548828,-26.702880859,12.969970703,12.207031250,35.095214844,38.146972656,6.866455078,6.103515625
,11.444091797,34.332275391,41.198730469,-28.991699219,12.207031250,12.969970703,35.095214844,39.672851563,7.629394531,8.392333984
,15.258789063,35.095214844,38.909912109,-31.280517578,12.207031250,12.969970703,34.332275391,41.198730469,6.866455078,9.155273438
,17.547607422,35.858154297,35.858154297,-33.569335938,12.207031250,14.495849609,34.332275391,41.961669922,6.866455078,9.155273438
,20.599365234,38.146972656,33.569335938,-35.095214844,14.495849609,15.258789063,34.332275391,41.198730469,6.103515625,9.155273438
,20.599365234,39.672851563,32.806396484,-35.858154297,16.021728516,15.258789063,34.332275391,41.198730469,6.103515625,9.918212891
,20.599365234,39.672851563,32.806396484,-35.858154297,18.310546875,16.021728516,36.621093750,41.198730469,6.866455078,11.444091797
,19.836425781,39.672851563,34.332275391,-34.332275391,20.599365234,16.784667969,38.909912109,40.435791016,7.629394531,12.969970703
,16.784667969,38.146972656,34.332275391,-32.806396484,22.888183594,18.310546875,40.435791016,40.435791016,7.629394531,13.732910156
,15.258789063,35.858154297,35.095214844,-32.043457031,24.414062500,19.073486328,42.724609375,39.672851563,9.155273438,14.495849609
,13.732910156,34.332275391,35.095214844,-29.754638672,26.702880859,21.362304688,43.487548828,38.909912109,8.392333984,13.732910156
,10.681152344,31.280517578,35.858154297,-28.991699219,27.465820313,22.888183594,43.487548828,36.621093750,8.392333984,12.207031250
,9.155273438,28.228759766,38.146972656,-28.228759766,28.991699219,22.888183594,44.250488281,34.332275391,8.392333984,11.444091797
,6.866455078,25.177001953,38.909912109,-26.702880859,28.228759766,22.888183594,44.250488281,33.569335938,7.629394531,10.681152344
,5.340576172,21.362304688,39.672851563,-26.702880859,27.465820313,22.125244141,43.487548828,32.043457031,8.392333984,9.918212891
,6.103515625,19.073486328,40.435791016,-26.702880859,25.939941406,22.125244141,43.487548828,33.569335938,8.392333984,9.155273438
,6.103515625,17.547607422,40.435791016,-26.702880859,22.888183594,22.125244141,43.487548828,34.332275391,6.866455078,8.392333984
,6.103515625,16.021728516,41.961669922,-27.465820313,20.599365234,22.125244141,44.250488281,34.332275391,7.629394531,7.629394531
,6.866455078,14.495849609,42.724609375,-27.465820313,17.547607422,22.125244141,44.250488281,34.332275391,7.629394531,7.629394531
,6.103515625,14.495849609,45.013427734,-28.228759766,14.495849609,23.651123047,45.776367188,33.569335938,8.392333984,7.629394531
,5.340576172,14.495849609,47.302246094,-28.228759766,13.732910156,25.177001953,47.302246094,32.806396484,9.918212891,7.629394531
,5.340576172,16.021728516,50.354003906,-25.939941406,12.207031250,28.228759766,48.065185547,32.806396484,9.155273438,6.103515625
,5.340576172,16.021728516,54.168701172,-22.888183594,12.207031250,32.806396484,50.354003906,31.280517578,9.918212891,4.577636719
,6.103515625,16.021728516,57.983398438,-19.836425781,12.969970703,35.858154297,51.879882813,29.754638672,10.681152344,4.577636719
,5.340576172,16.021728516,61.798095703,-18.310546875,12.969970703,38.146972656,51.879882813,27.465820313,11.444091797,3.051757813
,4.577636719,16.021728516,65.612792969,-17.547607422,12.207031250,40.435791016,51.879882813,24.414062500,12.969970703,3.814697266
,3.814697266,18.310546875,69.427490234,-18.310546875,11.444091797,40.435791016,51.116943359,21.362304688,15.258789063,4.577636719
,3.051757813,19.836425781,71.716308594,-19.836425781,12.207031250,41.198730469,51.116943359,18.310546875,16.021728516,3.814697266
,4.577636719,21.362304688,74.005126953,-19.836425781,12.969970703,41.198730469,51.879882813,16.021728516,18.310546875,3.814697266
,6.103515625,22.888183594,74.768066406,-20.599365234,13.732910156,38.909912109,52.642822266,12.969970703,19.073486328,4.577636719
,7.629394531,22.888183594,74.768066406,-22.125244141,14.495849609,37.384033203,51.879882813,9.918212891,19.836425781,5.340576172
,10.681152344,23.651123047,74.768066406,-23.651123047,12.969970703,35.095214844,51.116943359,8.392333984,20.599365234,7.629394531
,12.207031250,24.414062500,74.768066406,-25.939941406,11.444091797,34.332275391,48.065185547,7.629394531,20.599365234,10.681152344
,13.732910156,25.939941406,75.531005859,-28.228759766,9.918212891,35.095214844,45.776367188,8.392333984,20.599365234,12.969970703
,14.495849609,26.702880859,76.293945313,-30.517578125,7.629394531,35.858154297,43.487548828,9.918212891,19.073486328,16.021728516
,14.495849609,27.465820313,77.056884766,-32.806396484,6.103515625,38.146972656,41.961669922,10.681152344,18.310546875,17.547607422
,13.732910156,27.465820313,77.056884766,-35.858154297,5.340576172,38.146972656,41.198730469,9.918212891,17.547607422,19.836425781
,12.969970703,28.228759766,75.531005859,-36.621093750,5.340576172,37.384033203,39.672851563,10.681152344,16.021728516,19.836425781
,12.969970703,28.991699219,74.768066406,-38.909912109,6.103515625,35.858154297,39.672851563,10.681152344,16.784667969,19.836425781
,12.969970703,30.517578125,71.716308594,-41.198730469,9.155273438,33.569335938,38.909912109,11.444091797,16.784667969,19.073486328
,12.969970703,34.332275391,67.901611328,-41.961669922,11.444091797,32.043457031,35.858154297,12.969970703,15.258789063,16.784667969
