Trace Label,"Tr 1 : 85 mA","Tr 2 : 31 mA","Tr 3 : 30 mA","Tr 4 : 32 mA","Tr 5 : 33 mA","Tr 6 : 34 mA","Tr 7 : 35 mA","Tr 8 : 36 mA","Tr 9 : 37 mA","Tr 10 : 38 mA","Tr 11 : 39 mA","Tr 12 : 40 mA","Tr 13 : 41 mA","Tr 14 : 43 mA","Tr 15 : 45 mA","Tr 16 : 47 mA","Tr 17 : 50 mA","Tr 18 : 52 mA","Tr 19 : 49 mA","Tr 20 : 49 mA","Tr 21 : 48 mA","Tr 22 : 39 mA","Tr 23 : 36 mA","Tr 24 : 32 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),4843.139648438,10898.590087891,8957.672119141,11180.877685547,4489.898681641,11537.170410156,9938.812255859,12113.952636719,18244.934082031,14629.364013672,13332.366943359,13340.759277344,19927.215576172,15910.339355469,6571.960449219,15097.808837891,7872.009277344,7789.611816406,8933.258056641,10772.705078125,7998.657226563,5841.064453125,12931.823730469,7580.566406250
,-8901.214599609,-4450.225830078,-4449.462890625,-4812.622070313,-5226.898193359,-5386.352539063,-5818.939208984,-5859.375000000,-6386.566162109,-6358.337402344,-6333.160400391,-6845.092773438,-7032.775878906,-7312.774658203,-7477.569580078,-7762.908935547,-7875.823974609,-7938.385009766,-7806.396484375,-7705.688476563,-7744.598388672,-6649.017333984,-6196.594238281,-5828.094482422
,-8876.800537109,-4393.768310547,-4386.138916016,-4756.927490234,-5166.625976563,-5329.895019531,-5762.481689453,-5797.576904297,-6318.664550781,-6290.435791016,-6263.732910156,-6771.850585938,-6966.400146484,-7250.213623047,-7399.749755859,-7697.296142578,-7804.870605469,-7872.009277344,-7731.628417969,-7639.312744141,-7653.045654297,-6567.382812500,-6119.537353516,-5750.274658203
,-8866.119384766,-4339.599609375,-4325.103759766,-4703.521728516,-5108.642578125,-5278.015136719,-5709.075927734,-5738.830566406,-6253.814697266,-6224.822998047,-6196.594238281,-6703.186035156,-6905.364990234,-7194.519042969,-7327.270507813,-7637.786865234,-7740.783691406,-7813.262939453,-7662.963867188,-7581.329345703,-7563.018798828,-6488.037109375,-6044.006347656,-5673.980712891
,-8867.645263672,-4287.719726563,-4265.594482422,-4653.167724609,-5054.473876953,-5231.475830078,-5659.484863281,-5683.135986328,-6192.779541016,-6162.261962891,-6131.744384766,-6637.573242188,-6848.144531250,-7145.690917969,-7260.131835938,-7587.432861328,-7685.089111328,-7763.671875000,-7601.165771484,-7534.027099609,-7475.280761719,-6413.269042969,-5969.238281250,-5599.212646484
,-8881.378173828,-4235.839843750,-4207.611083984,-4605.102539063,-5003.356933594,-5189.514160156,-5613.708496094,-5632.781982422,-6134.796142578,-6105.041503906,-6072.998046875,-6577.301025391,-6796.264648438,-7104.492187500,-7199.096679688,-7546.997070313,-7640.075683594,-7727.050781250,-7547.760009766,-7495.880126953,-7392.120361328,-6342.315673828,-5895.996093750,-5526.733398438
,-8905.792236328,-4183.959960938,-4149.627685547,-4558.563232422,-4953.002929688,-5152.893066406,-5572.509765625,-5586.242675781,-6079.864501953,-6053.161621094,-6020.355224609,-6523.132324219,-6749.725341797,-7069.396972656,-7145.690917969,-7515.716552734,-7606.506347656,-7700.347900391,-7503.509521484,-7469.177246094,-7317.352294922,-6276.702880859,-5822.753906250,-5456.542968750
,-8940.124511719,-4133.605957031,-4092.407226563,-4514.312744141,-4906.463623047,-5119.323730469,-5536.651611328,-5543.518066406,-6029.510498047,-6005.859375000,-5973.052978516,-6475.067138672,-6706.237792969,-7040.405273438,-7098.388671875,-7494.354248047,-7582.092285156,-7685.852050781,-7468.414306641,-7450.866699219,-7250.213623047,-6216.430664063,-5750.274658203,-5385.589599609
,-8985.137939453,-4084.777832031,-4036.712646484,-4470.062255859,-4860.687255859,-5086.517333984,-5503.845214844,-5503.082275391,-5980.682373047,-5962.371826172,-5930.328369141,-6431.579589844,-6666.564941406,-7017.517089844,-7055.664062500,-7479.858398438,-7566.070556641,-7680.511474609,-7440.948486328,-7437.896728516,-7189.178466797,-6160.736083984,-5679.321289063,-5316.162109375
,-9040.832519531,-4037.475585938,-3982.543945313,-4428.100585938,-4818.725585938,-5056.762695313,-5473.327636719,-5464.935302734,-5935.668945313,-5919.647216797,-5889.129638672,-6390.380859375,-6629.180908203,-6999.969482422,-7019.042968750,-7470.703125000,-7555.389404297,-7683.563232422,-7421.875000000,-7430.267333984,-7131.958007813,-6109.619140625,-5610.656738281,-5245.971679688
,-9107.971191406,-3991.699218750,-3929.138183594,-4388.427734375,-4778.289794922,-5028.533935547,-5445.098876953,-5428.314208984,-5892.181396484,-5878.448486328,-5847.930908203,-6352.233886719,-6594.085693359,-6986.236572266,-6987.762451172,-7466.125488281,-7550.811767578,-7695.007324219,-7409.667968750,-7426.452636719,-7074.737548828,-6062.316894531,-5542.755126953,-5177.307128906
