Test Name,H-Reflex Inc-Dec
Test Item,Right Increasing -> M-max
Patient Name,"week5  s2812mytb"
Patient ID,
Test Date,8/6/2019
Trace Label,"Tr 1 : 0 mA","Tr 2 : 14.5 mA","Tr 3 : 14.5 mA","Tr 4 : 20 mA","Tr 5 : 30 mA","Tr 6 : 55 mA","Tr 7 : 61 mA","Tr 8 : 65 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640
Trace Data (µV),42.724609375,6291.961669922,9371.185302734,7444.000244141,9248.352050781,16094.970703125,8922.576904297,8374.786376953
,-1.525878906,58.746337891,6.866455078,-40.435791016,-257.873535156,-470.733642578,-457.000732422,-416.564941406
,-0.762939453,62.561035156,6.103515625,-36.621093750,-255.584716797,-470.733642578,-456.237792969,-412.750244141
,-0.762939453,65.612792969,6.866455078,-33.569335938,-254.058837891,-469.970703125,-455.474853516,-408.935546875
,-0.762939453,69.427490234,6.103515625,-30.517578125,-253.295898438,-468.444824219,-455.474853516,-406.646728516
,-1.525878906,73.242187500,4.577636719,-28.228759766,-253.295898438,-466.156005859,-455.474853516,-403.594970703
,-2.288818359,76.293945313,1.525878906,-27.465820313,-251.770019531,-463.104248047,-455.474853516,-401.306152344
,-3.051757813,77.819824219,0.000000000,-26.702880859,-249.481201172,-460.052490234,-455.474853516,-398.254394531
,-3.814697266,78.582763672,-2.288818359,-26.702880859,-247.192382813,-457.000732422,-453.948974609,-395.965576172
,-6.103515625,77.819824219,-3.814697266,-25.939941406,-244.140625000,-454.711914063,-452.423095703,-393.676757813
,-9.918212891,76.293945313,-4.577636719,-25.177001953,-243.377685547,-452.423095703,-450.134277344,-392.913818359
,-14.495849609,74.768066406,-6.866455078,-25.177001953,-242.614746094,-449.371337891,-447.845458984,-392.150878906
,-19.073486328,73.242187500,-9.155273438,-25.939941406,-242.614746094,-447.082519531,-446.319580078,-392.913818359
,-22.888183594,70.190429688,-11.444091797,-25.939941406,-242.614746094,-444.030761719,-444.793701172,-392.913818359
,-25.177001953,66.375732422,-13.732910156,-26.702880859,-242.614746094,-441.741943359,-444.793701172,-392.913818359
,-28.228759766,61.035156250,-14.495849609,-27.465820313,-242.614746094,-437.927246094,-444.793701172,-391.387939453
,-32.043457031,56.457519531,-13.732910156,-26.702880859,-242.614746094,-434.112548828,-443.267822266,-389.862060547
,-35.858154297,51.879882813,-11.444091797,-25.939941406,-241.851806641,-430.297851563,-443.267822266,-387.573242188
,-38.146972656,48.065185547,-9.155273438,-25.939941406,-240.325927734,-425.720214844,-442.504882813,-384.521484375
,-40.435791016,45.013427734,-6.866455078,-26.702880859,-238.037109375,-422.668457031,-441.741943359,-382.232666016
,-40.435791016,41.198730469,-5.340576172,-28.991699219,-237.274169922,-420.379638672,-440.216064453,-379.180908203
,-40.435791016,38.146972656,-6.866455078,-32.043457031,-238.037109375,-416.564941406,-438.690185547,-377.655029297
,-40.435791016,34.332275391,-9.155273438,-35.095214844,-239.562988281,-414.276123047,-434.875488281,-378.417968750
,-40.435791016,29.754638672,-12.969970703,-37.384033203,-241.088867188,-410.461425781,-431.060791016,-377.655029297
,-40.435791016,25.939941406,-16.784667969,-38.909912109,-240.325927734,-405.883789063,-428.009033203,-376.129150391
,-38.909912109,20.599365234,-20.599365234,-40.435791016,-238.037109375,-400.543212891,-424.957275391,-373.077392578
,-35.858154297,17.547607422,-22.888183594,-42.724609375,-234.222412109,-395.202636719,-421.142578125,-367.736816406
,-31.280517578,16.784667969,-24.414062500,-44.250488281,-231.170654297,-389.099121094,-418.090820313,-363.922119141
,-25.177001953,16.784667969,-25.177001953,-45.013427734,-227.355957031,-384.521484375,-414.276123047,-361.633300781
,-19.073486328,18.310546875,-25.177001953,-45.013427734,-225.067138672,-380.706787109,-410.461425781,-360.107421875
,-12.207031250,19.073486328,-25.939941406,-45.776367188,-224.304199219,-377.655029297,-407.409667969,-360.870361328
,-4.577636719,19.836425781,-26.702880859,-45.776367188,-222.778320313,-373.840332031,-405.120849609,-360.870361328
,3.051757813,19.836425781,-27.465820313,-45.776367188,-222.778320313,-370.025634766,-402.832031250,-360.107421875
,12.207031250,20.599365234,-27.465820313,-46.539306641,-222.778320313,-365.447998047,-400.543212891,-358.581542969
,21.362304688,22.125244141,-27.465820313,-46.539306641,-222.015380859,-361.633300781,-398.254394531,-357.055664063
,30.517578125,23.651123047,-24.414062500,-45.776367188,-222.778320313,-357.818603516,-395.202636719,-354.766845703
,38.146972656,25.939941406,-22.125244141,-45.776367188,-222.778320313,-355.529785156,-392.913818359,-354.003906250
,44.250488281,28.228759766,-21.362304688,-46.539306641,-222.015380859,-352.478027344,-391.387939453,-353.240966797
,50.354003906,29.754638672,-19.073486328,-46.539306641,-221.252441406,-350.189208984,-388.336181641,-352.478027344
,54.931640625,31.280517578,-19.073486328,-47.302246094,-219.726562500,-347.900390625,-385.284423828,-350.189208984
,58.746337891,32.806396484,-18.310546875,-47.302246094,-217.437744141,-344.848632813,-383.758544922,-348.663330078
,61.035156250,34.332275391,-14.495849609,-47.302246094,-215.911865234,-342.559814453,-380.706787109,-346.374511719
,63.323974609,36.621093750,-12.969970703,-46.539306641,-214.385986328,-341.033935547,-377.655029297,-344.085693359
,64.086914063,39.672851563,-12.207031250,-45.776367188,-212.097167969,-338.745117188,-374.603271484,-341.033935547
,65.612792969,43.487548828,-12.207031250,-44.250488281,-211.334228516,-336.456298828,-370.025634766,-337.219238281
,67.901611328,45.776367188,-14.495849609,-41.961669922,-209.808349609,-334.930419922,-366.973876953,-334.167480469
,70.190429688,48.828125000,-16.021728516,-40.435791016,-208.282470703,-333.404541016,-364.685058594,-331.115722656
,70.953369141,50.354003906,-16.021728516,-38.146972656,-208.282470703,-332.641601563,-361.633300781,-328.063964844
,68.664550781,51.879882813,-15.258789063,-36.621093750,-206.756591797,-330.352783203,-357.818603516,-328.063964844
,64.086914063,54.168701172,-13.732910156,-35.858154297,-205.993652344,-327.301025391,-354.003906250,-327.301025391
,55.694580078,57.220458984,-12.207031250,-35.095214844,-204.467773438,-324.249267578,-349.426269531,-325.775146484
,47.302246094,59.509277344,-11.444091797,-35.095214844,-202.178955078,-321.197509766,-346.374511719,-324.249267578
,38.909912109,61.798095703,-10.681152344,-34.332275391,-199.890136719,-318.908691406,-343.322753906,-321.197509766
,31.280517578,63.323974609,-11.444091797,-34.332275391,-199.127197266,-316.619873047,-339.508056641,-318.908691406
,25.177001953,64.086914063,-11.444091797,-32.806396484,-197.601318359,-315.093994141,-334.930419922,-317.382812500
,19.836425781,66.375732422,-11.444091797,-32.043457031,-195.312500000,-313.568115234,-330.352783203,-315.093994141
,13.732910156,67.901611328,-11.444091797,-31.280517578,-193.023681641,-311.279296875,-325.775146484,-314.331054688
,8.392333984,70.190429688,-9.918212891,-29.754638672,-190.734863281,-308.990478516,-321.197509766,-313.568115234
,2.288818359,73.242187500,-8.392333984,-29.754638672,-189.971923828,-306.701660156,-318.908691406,-311.279296875
,-1.525878906,77.056884766,-6.103515625,-28.228759766,-191.497802734,-304.412841797,-315.856933594,-308.990478516
,-6.866455078,80.871582031,-3.051757813,-26.702880859,-194.549560547,-302.886962891,-313.568115234,-307.464599609
,-11.444091797,84.686279297,0.000000000,-25.939941406,-197.601318359,-301.361083984,-312.042236328,-306.701660156
,-14.495849609,87.738037109,3.051757813,-24.414062500,-201.416015625,-299.072265625,-308.990478516,-305.938720703
,-18.310546875,86.975097656,4.577636719,-24.414062500,-202.941894531,-296.783447266,-307.464599609,-305.175781250
,-22.125244141,84.686279297,6.103515625,-23.651123047,-204.467773438,-294.494628906,-304.412841797,-302.886962891
,-25.939941406,81.634521484,6.103515625,-23.651123047,-206.756591797,-293.731689453,-300.598144531,-300.598144531
,-30.517578125,77.819824219,7.629394531,-22.888183594,-208.282470703,-292.205810547,-296.783447266,-300.598144531
,-35.858154297,74.768066406,9.918212891,-20.599365234,-209.808349609,-289.916992188,-292.205810547,-301.361083984
,-40.435791016,72.479248047,11.444091797,-20.599365234,-212.097167969,-287.628173828,-288.391113281,-301.361083984
,-45.776367188,70.190429688,12.969970703,-20.599365234,-212.860107422,-280.761718750,-286.102294922,-301.361083984
,-51.116943359,68.664550781,12.969970703,-21.362304688,-212.860107422,-275.421142578,-284.576416016,-299.835205078
,-54.931640625,65.612792969,12.969970703,-21.362304688,-212.097167969,-269.317626953,-283.813476563,-298.309326172
,-58.746337891,62.561035156,13.732910156,-21.362304688,-212.097167969,-263.977050781,-283.813476563,-296.783447266
,-61.798095703,58.746337891,16.021728516,-19.836425781,-211.334228516,-260.925292969,-282.287597656,-294.494628906
,-65.612792969,54.168701172,18.310546875,-19.836425781,-212.097167969,-256.347656250,-279.998779297,-292.968750000
,-69.427490234,51.116943359,19.073486328,-20.599365234,-211.334228516,-251.007080078,-277.709960938,-291.442871094
,-72.479248047,48.065185547,19.073486328,-20.599365234,-209.045410156,-245.666503906,-275.421142578,-289.916992188
,-74.768066406,45.013427734,19.073486328,-21.362304688,-207.519531250,-239.562988281,-273.132324219,-287.628173828
,-74.768066406,41.961669922,19.073486328,-20.599365234,-203.704833984,-234.222412109,-270.843505859,-285.339355469
,-75.531005859,38.909912109,21.362304688,-19.073486328,-201.416015625,-231.170654297,-268.554687500,-283.813476563
,-76.293945313,35.095214844,23.651123047,-17.547607422,-199.890136719,-228.881835938,-265.502929688,-281.524658203
,-76.293945313,32.806396484,24.414062500,-15.258789063,-198.364257813,-226.593017578,-261.688232422,-280.761718750
,-76.293945313,30.517578125,25.177001953,-14.495849609,-198.364257813,-224.304199219,-258.636474609,-279.998779297
,-74.005126953,28.228759766,25.177001953,-13.732910156,-197.601318359,-222.015380859,-255.584716797,-279.235839844
,-68.664550781,25.939941406,25.939941406,-14.495849609,-196.838378906,-220.489501953,-253.295898438,-279.235839844
,-61.035156250,22.888183594,26.702880859,-16.021728516,-196.075439453,-218.200683594,-250.244140625,-277.709960938
,-51.879882813,19.836425781,28.991699219,-17.547607422,-193.786621094,-217.437744141,-245.666503906,-276.184082031
,-40.435791016,18.310546875,30.517578125,-19.073486328,-191.497802734,-215.148925781,-240.325927734,-273.895263672
,-28.228759766,17.547607422,31.280517578,-19.073486328,-189.208984375,-212.860107422,-235.748291016,-272.369384766
,-13.732910156,17.547607422,31.280517578,-16.784667969,-186.920166016,-209.808349609,-231.170654297,-270.843505859
,3.051757813,17.547607422,30.517578125,-13.732910156,-185.394287109,-207.519531250,-225.830078125,-269.317626953
,22.125244141,17.547607422,30.517578125,-9.918212891,-184.631347656,-205.230712891,-220.489501953,-267.028808594
,43.487548828,16.784667969,31.280517578,-6.866455078,-183.105468750,-205.230712891,-215.148925781,-265.502929688
,64.086914063,16.021728516,34.332275391,-3.051757813,-180.053710938,-204.467773438,-210.571289063,-263.977050781
,83.923339844,16.021728516,37.384033203,0.000000000,-177.764892578,-202.941894531,-206.756591797,-260.925292969
,101.470947266,15.258789063,39.672851563,2.288818359,-174.713134766,-202.178955078,-203.704833984,-259.399414063
,116.729736328,16.021728516,41.198730469,6.103515625,-171.661376953,-200.653076172,-200.653076172,-255.584716797
,131.988525391,16.784667969,41.961669922,10.681152344,-169.372558594,-201.416015625,-196.838378906,-251.770019531
,144.195556641,16.784667969,41.198730469,16.021728516,-167.083740234,-201.416015625,-194.549560547,-249.481201172
,154.113769531,16.021728516,43.487548828,21.362304688,-164.794921875,-202.178955078,-191.497802734,-246.429443359
,161.743164063,16.021728516,45.013427734,25.939941406,-163.269042969,-202.178955078,-189.971923828,-244.903564453
,167.083740234,16.784667969,46.539306641,28.991699219,-160.980224609,-200.653076172,-188.446044922,-243.377685547
,172.424316406,18.310546875,48.065185547,31.280517578,-157.928466797,-199.890136719,-186.920166016,-241.088867188
,177.001953125,19.073486328,48.065185547,32.043457031,-155.639648438,-199.890136719,-185.394287109,-238.037109375
,178.527832031,19.836425781,47.302246094,31.280517578,-153.350830078,-199.890136719,-184.631347656,-234.985351563
,177.001953125,19.836425781,48.828125000,32.043457031,-151.824951172,-199.127197266,-183.105468750,-231.933593750
,173.187255859,19.836425781,48.828125000,31.280517578,-151.062011719,-196.838378906,-180.816650391,-231.170654297
,166.320800781,20.599365234,49.591064453,29.754638672,-149.536132813,-193.023681641,-179.290771484,-229.644775391
,160.217285156,20.599365234,49.591064453,28.991699219,-148.773193359,-188.446044922,-180.053710938,-228.881835938
,154.113769531,19.836425781,49.591064453,26.702880859,-148.010253906,-185.394287109,-180.816650391,-227.355957031
,147.247314453,19.836425781,49.591064453,25.177001953,-147.247314453,-183.868408203,-182.342529297,-225.067138672
,138.854980469,19.073486328,51.116943359,24.414062500,-146.484375000,-183.868408203,-183.868408203,-224.304199219
,129.699707031,18.310546875,52.642822266,23.651123047,-145.721435547,-183.868408203,-182.342529297,-222.778320313
,119.018554688,17.547607422,53.405761719,22.125244141,-145.721435547,-183.868408203,-182.342529297,-222.778320313
,109.863281250,16.021728516,53.405761719,20.599365234,-145.721435547,-183.868408203,-181.579589844,-222.778320313
,100.708007813,13.732910156,51.879882813,18.310546875,-145.721435547,-183.105468750,-180.816650391,-222.778320313
,93.841552734,11.444091797,49.591064453,16.021728516,-145.721435547,-182.342529297,-180.816650391,-223.541259766
,87.738037109,9.155273438,47.302246094,13.732910156,-146.484375000,-181.579589844,-180.053710938,-222.778320313
,81.634521484,6.866455078,47.302246094,12.207031250,-147.247314453,-180.816650391,-177.764892578,-223.541259766
,76.293945313,6.103515625,46.539306641,11.444091797,-148.010253906,-180.816650391,-176.239013672,-224.304199219
,71.716308594,5.340576172,46.539306641,9.918212891,-148.773193359,-179.290771484,-174.713134766,-225.067138672
,68.664550781,4.577636719,45.776367188,6.866455078,-148.773193359,-177.001953125,-173.187255859,-225.830078125
,68.664550781,3.051757813,45.013427734,3.051757813,-149.536132813,-174.713134766,-172.424316406,-225.830078125
,70.190429688,1.525878906,45.013427734,0.000000000,-149.536132813,-172.424316406,-170.135498047,-225.830078125
,73.242187500,0.762939453,45.776367188,-3.051757813,-150.299072266,-170.898437500,-166.320800781,-225.830078125
,76.293945313,0.000000000,46.539306641,-4.577636719,-150.299072266,-170.898437500,-164.794921875,-225.830078125
,79.345703125,0.762939453,45.776367188,-3.814697266,-148.773193359,-170.135498047,-161.743164063,-224.304199219
,81.634521484,0.762939453,41.961669922,-3.051757813,-147.247314453,-167.846679688,-160.980224609,-223.541259766
,83.160400391,2.288818359,38.146972656,-0.762939453,-144.195556641,-165.557861328,-160.980224609,-222.778320313
,85.449218750,2.288818359,34.332275391,0.000000000,-141.906738281,-164.031982422,-160.217285156,-221.252441406
,87.738037109,1.525878906,32.806396484,0.762939453,-139.617919922,-163.269042969,-158.691406250,-222.015380859
,88.500976563,0.000000000,33.569335938,1.525878906,-139.617919922,-163.269042969,-157.165527344,-222.778320313
,89.263916016,-1.525878906,34.332275391,3.051757813,-141.143798828,-164.031982422,-154.876708984,-224.304199219
,89.263916016,-3.814697266,33.569335938,3.814697266,-143.432617188,-163.269042969,-153.350830078,-225.830078125
,89.263916016,-7.629394531,32.043457031,4.577636719,-144.958496094,-162.506103516,-153.350830078,-226.593017578
,90.026855469,-9.918212891,28.991699219,3.814697266,-146.484375000,-160.980224609,-152.587890625,-225.830078125
,90.026855469,-12.969970703,25.177001953,3.814697266,-147.247314453,-159.454345703,-152.587890625,-223.541259766
,90.026855469,-15.258789063,22.125244141,4.577636719,-148.773193359,-157.928466797,-152.587890625,-222.015380859
,89.263916016,-16.021728516,19.073486328,5.340576172,-148.773193359,-156.402587891,-151.824951172,-219.726562500
,87.738037109,-16.784667969,16.784667969,6.866455078,-148.010253906,-154.113769531,-151.062011719,-218.200683594
,86.975097656,-16.784667969,16.021728516,6.866455078,-145.721435547,-152.587890625,-149.536132813,-216.674804688
,87.738037109,-17.547607422,16.784667969,6.866455078,-142.669677734,-151.062011719,-148.773193359,-214.385986328
,87.738037109,-17.547607422,19.073486328,6.866455078,-140.380859375,-150.299072266,-148.773193359,-212.097167969
,86.975097656,-16.784667969,22.125244141,7.629394531,-138.092041016,-151.062011719,-148.773193359,-210.571289063
,83.923339844,-16.784667969,25.939941406,9.155273438,-137.329101563,-151.824951172,-148.773193359,-209.808349609
,79.345703125,-16.021728516,28.991699219,10.681152344,-136.566162109,-151.824951172,-148.010253906,-209.045410156
,76.293945313,-14.495849609,31.280517578,11.444091797,-136.566162109,-151.824951172,-147.247314453,-207.519531250
,74.005126953,-13.732910156,33.569335938,12.207031250,-135.803222656,-150.299072266,-147.247314453,-205.230712891
,74.768066406,-13.732910156,35.095214844,12.969970703,-134.277343750,-149.536132813,-146.484375000,-202.178955078
,75.531005859,-14.495849609,37.384033203,15.258789063,-133.514404297,-149.536132813,-145.721435547,-199.127197266
,75.531005859,-16.021728516,38.909912109,16.784667969,-131.988525391,-150.299072266,-144.195556641,-196.838378906
,74.005126953,-16.021728516,39.672851563,18.310546875,-130.462646484,-151.062011719,-141.906738281,-196.075439453
,70.953369141,-15.258789063,39.672851563,18.310546875,-128.936767578,-151.062011719,-139.617919922,-194.549560547
,66.375732422,-15.258789063,38.909912109,18.310546875,-125.885009766,-150.299072266,-137.329101563,-193.786621094
,62.561035156,-16.021728516,37.384033203,18.310546875,-124.359130859,-149.536132813,-135.040283203,-191.497802734
,60.272216797,-16.784667969,35.095214844,20.599365234,-124.359130859,-149.536132813,-133.514404297,-189.208984375
,60.272216797,-16.784667969,33.569335938,22.125244141,-122.833251953,-150.299072266,-131.988525391,-186.920166016
,61.798095703,-15.258789063,32.043457031,24.414062500,-122.070312500,-151.824951172,-129.699707031,-184.631347656
,65.612792969,-11.444091797,29.754638672,25.177001953,-120.544433594,-152.587890625,-128.173828125,-183.105468750
,68.664550781,-9.155273438,27.465820313,25.177001953,-119.018554688,-153.350830078,-128.173828125,-183.105468750
,70.953369141,-6.103515625,25.177001953,24.414062500,-117.492675781,-154.113769531,-128.936767578,-183.868408203
,72.479248047,-3.814697266,22.125244141,25.177001953,-116.729736328,-154.876708984,-130.462646484,-183.868408203
,72.479248047,-3.051757813,19.836425781,23.651123047,-115.966796875,-156.402587891,-131.225585938,-184.631347656
,70.953369141,-0.762939453,16.784667969,22.125244141,-115.203857422,-158.691406250,-131.225585938,-184.631347656
,69.427490234,1.525878906,13.732910156,21.362304688,-113.677978516,-159.454345703,-130.462646484,-183.105468750
,67.901611328,6.103515625,10.681152344,19.836425781,-112.152099609,-159.454345703,-128.936767578,-180.816650391
,66.375732422,10.681152344,6.103515625,19.836425781,-109.863281250,-159.454345703,-128.173828125,-177.764892578
,67.138671875,14.495849609,1.525878906,19.836425781,-108.337402344,-159.454345703,-126.647949219,-171.661376953
,67.138671875,18.310546875,-2.288818359,18.310546875,-106.811523438,-159.454345703,-126.647949219,-166.320800781
,67.901611328,22.125244141,-5.340576172,16.784667969,-104.522705078,-157.928466797,-125.885009766,-160.980224609
,68.664550781,25.939941406,-7.629394531,15.258789063,-103.759765625,-157.165527344,-125.885009766,-155.639648438
,69.427490234,30.517578125,-8.392333984,12.969970703,-101.470947266,-153.350830078,-126.647949219,-151.062011719
,70.190429688,35.095214844,-9.155273438,11.444091797,-99.945068359,-150.299072266,-127.410888672,-147.247314453
,70.953369141,38.909912109,-12.207031250,9.918212891,-97.656250000,-147.247314453,-127.410888672,-139.617919922
,71.716308594,41.961669922,-15.258789063,7.629394531,-95.367431641,-144.958496094,-128.936767578,-131.988525391
,70.953369141,44.250488281,-19.073486328,7.629394531,-94.604492188,-143.432617188,-129.699707031,-124.359130859
,70.953369141,45.776367188,-20.599365234,8.392333984,-93.078613281,-141.906738281,-130.462646484,-115.966796875
,69.427490234,48.828125000,-20.599365234,8.392333984,-92.315673828,-139.617919922,-131.225585938,-109.863281250
,67.138671875,50.354003906,-19.073486328,8.392333984,-90.026855469,-137.329101563,-131.225585938,-103.759765625
,65.612792969,53.405761719,-17.547607422,6.866455078,-87.738037109,-135.803222656,-131.225585938,-98.419189453
,65.612792969,55.694580078,-16.021728516,5.340576172,-86.212158203,-135.803222656,-131.988525391,-94.604492188
