Test Name,H-Reflex Inc-Dec
Test Item,Right Increasing -> M-max
Patient Name,"week5  s2812mytb"
Patient ID,
Test Date,8/6/2019
Trace Label,"Tr 1 : 0 mA","Tr 2 : 14.5 mA","Tr 3 : 14.5 mA","Tr 4 : 20 mA","Tr 5 : 30 mA","Tr 6 : 55 mA","Tr 7 : 61 mA","Tr 8 : 65 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640
Trace Data (µV),42.724609375,6291.961669922,9371.185302734,7444.000244141,9248.352050781,16094.970703125,8922.576904297,8374.786376953
,-11.444091797,-476.837158203,-479.888916016,-1435.089111328,-5683.898925781,-8741.760253906,-8933.258056641,-8992.767333984
,-10.681152344,-467.681884766,-478.363037109,-1425.933837891,-5645.751953125,-8659.362792969,-8851.623535156,-8905.792236328
,-10.681152344,-459.289550781,-478.363037109,-1417.541503906,-5609.130859375,-8576.202392578,-8770.751953125,-8821.105957031
,-9.918212891,-451.660156250,-479.888916016,-1406.097412109,-5575.561523438,-8492.279052734,-8690.643310547,-8737.182617188
,-8.392333984,-444.030761719,-474.548339844,-1394.653320313,-5542.755126953,-8409.881591797,-8610.534667969,-8654.785156250
,-6.866455078,-435.638427734,-466.918945313,-1382.446289063,-5509.948730469,-8329.772949219,-8532.714843750,-8575.439453125
,-3.814697266,-426.483154297,-457.763671875,-1370.239257813,-5474.853515625,-8255.004882813,-8460.235595703,-8500.671386719
,-0.762939453,-418.853759766,-446.319580078,-1360.321044922,-5437.469482422,-8184.814453125,-8392.333984375,-8430.480957031
,1.525878906,-411.224365234,-436.401367188,-1351.165771484,-5398.559570313,-8118.438720703,-8329.772949219,-8364.105224609
,4.577636719,-404.357910156,-424.957275391,-1340.484619141,-5357.360839844,-8054.351806641,-8268.737792969,-8300.781250000
,6.103515625,-398.254394531,-412.750244141,-1329.803466797,-5315.399169922,-7988.739013672,-8206.176757813,-8236.694335938
,9.155273438,-389.862060547,-400.543212891,-1318.359375000,-5271.911621094,-7920.074462891,-8140.563964844,-8171.081542969
,11.444091797,-382.995605469,-388.336181641,-1306.152343750,-5222.320556641,-7843.017578125,-8068.847656250,-8100.128173828
,13.732910156,-376.129150391,-376.892089844,-1293.945312500,-5165.100097656,-7756.042480469,-7989.501953125,-8018.493652344
,16.784667969,-370.788574219,-365.447998047,-1278.686523438,-5098.724365234,-7656.097412109,-7896.423339844,-7923.126220703
,19.073486328,-365.447998047,-353.240966797,-1261.138916016,-5018.615722656,-7540.130615234,-7788.085937500,-7811.737060547
,21.362304688,-360.870361328,-339.508056641,-1239.013671875,-4926.300048828,-7408.142089844,-7661.437988281,-7682.800292969
,24.414062500,-354.766845703,-325.012207031,-1213.073730469,-4817.962646484,-7259.368896484,-7517.242431641,-7536.315917969
,27.465820313,-348.663330078,-309.753417969,-1184.844970703,-4693.603515625,-7092.285156250,-7357.788085938,-7373.046875000
,30.517578125,-342.559814453,-296.020507813,-1152.801513672,-4553.985595703,-6908.416748047,-7183.837890625,-7196.044921875
,33.569335938,-336.456298828,-285.339355469,-1117.706298828,-4400.634765625,-6707.763671875,-6996.154785156,-7006.835937500
,35.858154297,-331.878662109,-274.658203125,-1078.796386719,-4237.365722656,-6491.088867188,-6796.264648438,-6809.234619141
,37.384033203,-326.538085938,-265.502929688,-1038.360595703,-4064.941406250,-6260.681152344,-6583.404541016,-6602.478027344
,37.384033203,-322.723388672,-254.821777344,-997.161865234,-3887.176513672,-6020.355224609,-6359.100341797,-6389.617919922
,37.384033203,-317.382812500,-243.377685547,-956.726074219,-3706.359863281,-5773.925781250,-6124.877929688,-6172.943115234
,37.384033203,-312.042236328,-232.696533203,-917.816162109,-3524.017333984,-5529.022216797,-5887.603759766,-5956.268310547
,37.384033203,-308.227539063,-222.015380859,-879.669189453,-3347.015380859,-5289.459228516,-5650.329589844,-5742.645263672
,37.384033203,-303.649902344,-213.623046875,-839.996337891,-3181.457519531,-5055.999755859,-5417.633056641,-5532.073974609
,37.384033203,-300.598144531,-205.993652344,-798.034667969,-3024.291992188,-4824.829101563,-5188.751220703,-5324.554443359
,35.858154297,-297.546386719,-199.890136719,-753.784179688,-2877.044677734,-4589.080810547,-4958.343505859,-5115.509033203
,33.569335938,-294.494628906,-194.549560547,-711.059570313,-2735.137939453,-4342.651367188,-4724.121093750,-4900.360107422
,31.280517578,-292.205810547,-190.734863281,-669.860839844,-2592.468261719,-4081.726074219,-4483.032226563,-4675.292968750
,29.754638672,-289.916992188,-187.683105469,-632.476806641,-2452.850341797,-3810.119628906,-4231.262207031,-4435.729980469
,29.754638672,-287.628173828,-186.157226563,-598.144531250,-2316.284179688,-3529.357910156,-3967.285156250,-4177.856445313
,31.280517578,-286.102294922,-186.920166016,-563.049316406,-2182.006835938,-3243.255615234,-3689.575195313,-3902.435302734
,33.569335938,-283.050537109,-186.920166016,-524.139404297,-2049.255371094,-2954.101562500,-3399.658203125,-3609.466552734
,35.858154297,-279.998779297,-187.683105469,-481.414794922,-1911.926269531,-2661.895751953,-3099.822998047,-3304.290771484
,37.384033203,-274.658203125,-188.446044922,-431.823730469,-1765.441894531,-2365.112304688,-2793.884277344,-2993.011474609
,38.146972656,-268.554687500,-188.446044922,-373.077392578,-1605.987548828,-2065.277099609,-2484.130859375,-2677.154541016
,41.198730469,-262.451171875,-187.683105469,-304.412841797,-1432.800292969,-1762.390136719,-2172.088623047,-2357.482910156
,44.250488281,-256.347656250,-186.157226563,-222.778320313,-1248.168945313,-1459.503173828,-1858.520507813,-2036.285400391
,46.539306641,-251.007080078,-181.579589844,-131.988525391,-1051.330566406,-1155.853271484,-1544.952392578,-1712.036132813
,48.828125000,-246.429443359,-176.239013672,-33.569335938,-846.099853516,-852.203369141,-1231.384277344,-1387.023925781
,49.591064453,-241.088867188,-170.898437500,65.612792969,-633.239746094,-549.316406250,-918.579101563,-1058.959960938
,49.591064453,-236.511230469,-164.794921875,162.506103516,-414.276123047,-241.851806641,-600.433349609,-725.555419922
,50.354003906,-231.933593750,-157.928466797,256.347656250,-193.023681641,71.716308594,-273.895263672,-380.706787109
,51.879882813,-225.067138672,-149.536132813,344.848632813,26.702880859,394.439697266,65.612792969,-20.599365234
,52.642822266,-218.200683594,-139.617919922,425.720214844,244.903564453,730.133056641,423.431396484,355.529785156
,53.405761719,-211.334228516,-131.225585938,502.014160156,458.526611328,1078.033447266,797.271728516,748.443603516
,51.879882813,-203.704833984,-122.833251953,569.915771484,669.860839844,1435.089111328,1181.030273438,1153.564453125
,49.591064453,-199.127197266,-115.966796875,634.002685547,877.380371094,1805.114746094,1570.892333984,1567.840576172
,48.828125000,-196.075439453,-110.626220703,693.511962891,1080.322265625,2184.295654297,1966.094970703,1987.457275391
,49.591064453,-193.786621094,-105.285644531,748.443603516,1278.686523438,2571.868896484,2368.164062500,2412.414550781
,52.642822266,-190.734863281,-101.470947266,798.034667969,1473.999023438,2966.308593750,2780.914306641,2841.186523438
,56.457519531,-186.920166016,-98.419189453,842.285156250,1668.548583984,3364.562988281,3202.819824219,3270.721435547
,59.509277344,-183.868408203,-96.130371094,881.195068359,1866.149902344,3759.765625000,3626.251220703,3699.493408203
,64.086914063,-180.053710938,-94.604492188,914.764404297,2066.802978516,4147.338867188,4043.579101563,4119.873046875
,67.901611328,-179.290771484,-94.604492188,943.756103516,2269.744873047,4522.705078125,4447.937011719,4530.334472656
,72.479248047,-177.764892578,-93.841552734,971.984863281,2474.975585938,4880.523681641,4837.799072266,4927.062988281
,76.293945313,-177.764892578,-93.841552734,998.687744141,2679.443359375,5220.031738281,5211.639404297,5307.769775391
,80.108642578,-175.476074219,-93.078613281,1026.916503906,2882.385253906,5542.755126953,5569.458007813,5669.403076172
,82.397460938,-171.661376953,-90.026855469,1056.671142578,3085.327148438,5850.982666016,5911.254882813,6008.148193359
,84.686279297,-167.846679688,-84.686279297,1088.714599609,3285.980224609,6146.240234375,6233.978271484,6323.242187500
,86.212158203,-162.506103516,-77.056884766,1119.232177734,3488.159179688,6430.053710938,6537.628173828,6612.396240234
,87.738037109,-158.691406250,-67.901611328,1148.986816406,3690.338134766,6700.134277344,6821.441650391,6880.187988281
,90.026855469,-156.402587891,-58.746337891,1177.215576172,3890.228271484,6951.904296875,7086.181640625,7129.669189453
,90.789794922,-155.639648438,-51.116943359,1204.681396484,4087.829589844,7183.837890625,7330.322265625,7361.602783203
,90.026855469,-155.639648438,-42.724609375,1232.910156250,4276.275634766,7394.409179688,7556.152343750,7576.751708984
,88.500976563,-154.876708984,-34.332275391,1261.138916016,4456.329345703,7582.855224609,7762.145996094,7771.301269531
,85.449218750,-152.587890625,-24.414062500,1288.604736328,4625.701904297,7749.938964844,7946.014404297,7943.725585938
,81.634521484,-148.773193359,-14.495849609,1312.255859375,4785.919189453,7897.186279297,8106.231689453,8093.261718750
,80.871582031,-144.958496094,-3.814697266,1331.329345703,4935.455322266,8019.256591797,8241.271972656,8219.146728516
,80.871582031,-141.143798828,6.103515625,1345.062255859,5072.021484375,8119.964599609,8351.135253906,8321.380615234
,82.397460938,-137.329101563,15.258789063,1353.454589844,5194.854736328,8195.495605469,8435.821533203,8399.200439453
,82.397460938,-133.514404297,25.939941406,1356.506347656,5302.429199219,8249.664306641,8496.856689453,8451.080322266
,80.108642578,-129.699707031,32.806396484,1354.980468750,5392.456054688,8284.759521484,8535.003662109,8475.494384766
,76.293945313,-125.885009766,37.384033203,1348.876953125,5466.461181641,8300.781250000,8550.262451172,8473.968505859
,71.716308594,-123.596191406,39.672851563,1338.195800781,5523.681640625,8300.018310547,8544.921875000,8449.554443359
,67.138671875,-121.307373047,39.672851563,1325.225830078,5565.643310547,8282.470703125,8519.744873047,8407.592773438
,64.849853516,-119.018554688,40.435791016,1310.729980469,5597.686767578,8248.901367188,8478.546142578,8352.661132813
,63.323974609,-115.203857422,42.724609375,1295.471191406,5622.100830078,8202.362060547,8422.851562500,8290.863037109
,63.323974609,-111.389160156,46.539306641,1278.686523438,5642.700195313,8143.615722656,8355.712890625,8222.198486328
,63.323974609,-106.811523438,49.591064453,1260.375976563,5657.196044922,8076.477050781,8279.418945313,8147.430419922
