Test Name,M-max Lower Leg Ampl Lines
Test Item,Left Gastroc
Patient Name,"followup  s2718tdvg"
Patient ID,
Test Date,11/19/2019
Trace Label,"Tr 1 : 0 mA : 200 탎","Tr 2 : 28 mA : 200 탎","Tr 3 : 67 mA : 200 탎","Tr 4 : 100 mA : 200 탎","Tr 5 : 100 mA : 200 탎","Tr 6 : 100 mA : 200 탎","Tr 7 : 100 mA : 200 탎","Tr 8 : 100 mA : 300 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 400 탎","Tr 11 : 100 mA : 400 탎","Tr 12 : 100 mA : 400 탎","Tr 13 : 100 mA : 500 탎"
,28.228759766,-530.242919922,-1406.860351563,-2313.232421875,-1264.953613281,-2343.750000000,-2312.469482422,-3020.477294922,-6005.096435547,-4607.391357422,-4875.183105469,-5397.033691406,-6767.272949219
,28.228759766,-515.747070313,-1397.705078125,-2310.180664063,-1255.035400391,-2347.564697266,-2289.581298828,-2985.382080078,-5928.039550781,-4546.356201172,-4808.044433594,-5316.925048828,-6671.905517578
,26.702880859,-503.540039063,-1393.890380859,-2308.654785156,-1254.272460938,-2346.038818359,-2262.115478516,-2957.153320313,-5841.064453125,-4486.083984375,-4744.720458984,-5233.001708984,-6572.723388672
,26.702880859,-492.858886719,-1395.416259766,-2304.077148438,-1263.427734375,-2334.594726563,-2230.072021484,-2935.028076172,-5738.067626953,-4418.182373047,-4676.055908203,-5142.211914063,-6460.571289063
,28.228759766,-487.518310547,-1406.097412109,-2294.921875000,-1280.975341797,-2311.706542969,-2191.925048828,-2915.191650391,-5615.234375000,-4339.599609375,-4598.999023438,-5038.452148438,-6330.108642578
,28.991699219,-488.281250000,-1427.459716797,-2278.137207031,-1301.574707031,-2272.796630859,-2149.200439453,-2899.169921875,-5471.801757813,-4247.283935547,-4509.735107422,-4924.011230469,-6176.757812500
,28.991699219,-495.910644531,-1464.080810547,-2253.723144531,-1325.988769531,-2223.205566406,-2108.764648438,-2886.962890625,-5316.162109375,-4141.998291016,-4406.738281250,-4802.703857422,-6004.333496094
,28.991699219,-511.169433594,-1515.960693359,-2219.390869141,-1354.217529297,-2166.748046875,-2068.328857422,-2874.755859375,-5146.026611328,-4027.557373047,-4295.349121094,-4673.767089844,-5816.650390625
,28.228759766,-533.294677734,-1580.047607422,-2179.718017578,-1385.498046875,-2101.135253906,-2033.233642578,-2864.837646484,-4969.024658203,-3904.724121094,-4175.567626953,-4540.252685547,-5615.234375000
,27.465820313,-559.997558594,-1652.526855469,-2133.178710938,-1422.119140625,-2033.233642578,-2002.716064453,-2851.867675781,-4785.919189453,-3776.550292969,-4049.682617188,-4402.923583984,-5407.714843750
