Test Name,M-max Lower Leg Ampl Lines
Test Item,Right Gastroc
Patient Name,"followup  s2718tdvg"
Patient ID,
Test Date,11/19/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 0 mA : 100 탎","Tr 3 : 21 mA : 100 탎","Tr 4 : 73 mA : 100 탎","Tr 5 : 73 mA : 100 탎","Tr 6 : 100 mA : 100 탎","Tr 7 : 100 mA : 100 탎","Tr 8 : 100 mA : 100 탎","Tr 9 : 100 mA : 200 탎","Tr 10 : 100 mA : 300 탎","Tr 11 : 100 mA : 400 탎","Tr 12 : 100 mA : 550 탎","Tr 13 : 100 mA : 600 탎","Tr 14 : 100 mA : 600 탎"
,24.414062500,23.651123047,-79.345703125,-598.907470703,-766.754150391,-858.306884766,-1036.834716797,-819.396972656,-1486.968994141,-1970.672607422,-2543.640136719,-3450.012207031,-4025.268554688,-4129.791259766
,24.414062500,21.362304688,-91.552734375,-657.653808594,-820.159912109,-893.402099609,-1049.804687500,-863.647460938,-1514.434814453,-1979.064941406,-2544.403076172,-3428.649902344,-3983.306884766,-4074.096679688
,24.414062500,20.599365234,-106.811523438,-708.770751953,-872.802734375,-908.660888672,-1032.257080078,-891.113281250,-1522.827148438,-1967.620849609,-2532.958984375,-3389.739990234,-3919.219970703,-3990.936279297
,24.414062500,20.599365234,-127.410888672,-745.391845703,-919.342041016,-894.165039063,-972.747802734,-891.876220703,-1499.176025391,-1921.844482422,-2497.100830078,-3319.549560547,-3820.800781250,-3870.391845703
,23.651123047,21.362304688,-151.062011719,-765.228271484,-952.911376953,-845.336914063,-866.699218750,-858.306884766,-1437.377929688,-1835.632324219,-2426.147460938,-3207.397460938,-3680.419921875,-3703.308105469
,24.414062500,23.651123047,-177.001953125,-763.702392578,-971.221923828,-760.650634766,-709.533691406,-787.353515625,-1326.751708984,-1696.777343750,-2310.943603516,-3046.417236328,-3487.396240234,-3478.240966797
,25.177001953,24.414062500,-204.467773438,-742.340087891,-971.221923828,-640.869140625,-502.777099609,-676.727294922,-1162.719726563,-1501.464843750,-2140.045166016,-2827.453613281,-3237.915039063,-3195.190429688
,26.702880859,23.651123047,-229.644775391,-701.141357422,-951.385498047,-491.333007813,-251.007080078,-531.005859375,-946.044921875,-1250.457763672,-1914.978027344,-2554.321289063,-2934.265136719,-2856.445312500
,27.465820313,23.651123047,-252.532958984,-638.580322266,-914.001464844,-314.331054688,41.961669922,-349.426269531,-675.201416016,-940.704345703,-1631.927490234,-2227.783203125,-2573.394775391,-2460.479736328
,27.465820313,23.651123047,-270.080566406,-557.708740234,-860.595703125,-114.440917969,366.210937500,-138.092041016,-353.240966797,-580.596923828,-1293.182373047,-1848.602294922,-2159.881591797,-2014.923095703
,28.228759766,25.177001953,-282.287597656,-460.815429688,-794.219970703,100.708007813,712.585449219,95.367431641,10.681152344,-176.239013672,-907.135009766,-1425.170898438,-1700.592041016,-1528.167724609
,28.228759766,26.702880859,-289.154052734,-355.529785156,-720.977783203,328.063964844,1063.537597656,348.663330078,411.987304688,265.502929688,-476.837158203,-960.540771484,-1200.866699219,-1003.265380859
,28.228759766,27.465820313,-290.679931641,-251.007080078,-643.157958984,553.131103516,1396.942138672,607.299804688,832.366943359,729.370117188,-13.732910156,-463.867187500,-681.304931641,-461.578369141
,28.228759766,27.465820313,-289.916992188,-148.010253906,-564.575195313,761.413574219,1694.488525391,861.358642578,1253.509521484,1196.289062500,465.393066406,44.250488281,-160.980224609,72.479248047
,27.465820313,25.939941406,-285.339355469,-53.405761719,-486.755371094,942.993164063,1937.866210938,1097.869873047,1655.578613281,1647.949218750,946.044921875,550.842285156,340.270996094,583.648681641
,27.465820313,24.414062500,-277.709960938,32.806396484,-412.750244141,1088.714599609,2118.682861328,1298.522949219,2021.789550781,2062.988281250,1407.623291016,1036.071777344,805.664062500,1050.567626953
,28.991699219,23.651123047,-268.554687500,112.915039063,-343.322753906,1194.763183594,2232.360839844,1460.266113281,2342.224121094,2426.910400391,1830.291748047,1480.865478516,1225.280761719,1466.369628906
,28.991699219,22.888183594,-256.347656250,182.342529297,-280.761718750,1258.850097656,2281.188964844,1578.521728516,2609.252929688,2733.612060547,2201.080322266,1877.593994141,1598.358154297,1836.395263672
,31.280517578,24.414062500,-243.377685547,244.903564453,-223.541259766,1277.923583984,2268.218994141,1651.763916016,2816.009521484,2978.515625000,2513.885498047,2220.153808594,1920.318603516,2148.437500000
,33.569335938,25.177001953,-228.881835938,302.886962891,-167.846679688,1252.746582031,2199.554443359,1689.147949219,2955.627441406,3155.517578125,2758.789062500,2503.204345703,2183.532714844,2400.207519531
,35.095214844,25.177001953,-213.623046875,357.055664063,-111.389160156,1190.185546875,2091.217041016,1694.488525391,3035.736083984,3273.773193359,2938.079833984,2726.745605469,2388.763427734,2600.097656250
,38.146972656,25.939941406,-196.075439453,413.513183594,-48.065185547,1104.736328125,1960.754394531,1672.363281250,3067.779541016,3346.252441406,3063.201904297,2892.303466797,2544.403076172,2760.314941406
,41.198730469,25.177001953,-177.001953125,476.837158203,27.465820313,1013.946533203,1835.632324219,1642.608642578,3079.223632813,3395.843505859,3152.465820313,3022.003173828,2673.339843750,2915.954589844
,41.961669922,25.177001953,-155.639648438,547.790527344,122.070312500,931.549072266,1734.161376953,1608.276367188,3098.297119141,3454.589843750,3235.626220703,3137.969970703,2808.380126953,3098.297119141
,42.724609375,27.465820313,-131.988525391,630.187988281,237.274169922,862.884521484,1660.156250000,1572.418212891,3127.288818359,3530.883789063,3340.911865234,3265.380859375,2961.730957031,3297.424316406
,41.961669922,27.465820313,-106.048583984,722.503662109,373.077392578,811.004638672,1605.987548828,1538.848876953,3166.198730469,3623.962402344,3469.085693359,3409.576416016,3125.000000000,3495.788574219
,39.672851563,28.228759766,-76.293945313,823.974609375,522.613525391,776.672363281,1551.055908203,1490.020751953,3201.293945313,3725.433349609,3614.807128906,3559.875488281,3280.639648438,3658.294677734
,36.621093750,27.465820313,-42.724609375,926.971435547,677.490234375,751.495361328,1474.761962891,1416.778564453,3207.397460938,3803.253173828,3756.713867188,3693.389892578,3390.502929688,3740.692138672
,33.569335938,26.702880859,-3.814697266,1021.575927734,827.026367188,724.792480469,1384.735107422,1305.389404297,3162.384033203,3831.481933594,3856.658935547,3770.446777344,3421.020507813,3733.825683594
,30.517578125,25.939941406,40.435791016,1101.684570313,965.118408203,683.593750000,1278.686523438,1149.749755859,3055.572509766,3790.283203125,3894.805908203,3777.313232422,3365.325927734,3636.932373047
,27.465820313,25.939941406,93.841552734,1161.193847656,1084.899902344,617.980957031,1162.719726563,955.200195313,2870.178222656,3662.109375000,3855.133056641,3697.967529297,3211.212158203,3449.249267578
,25.939941406,27.465820313,157.165527344,1201.629638672,1186.370849609,530.242919922,1039.123535156,747.680664063,2614.593505859,3456.115722656,3730.773925781,3531.646728516,2970.886230469,3185.272216797
,25.939941406,29.754638672,231.933593750,1230.621337891,1268.005371094,437.164306641,904.846191406,562.286376953,2318.572998047,3195.953369141,3537.750244141,3293.609619141,2681.732177734,2857.971191406
,25.177001953,30.517578125,318.908691406,1253.509521484,1329.803466797,366.973876953,780.487060547,431.823730469,2001.190185547,2895.355224609,3297.424316406,2994.537353516,2355.194091797,2471.923828125
,26.702880859,32.043457031,416.564941406,1277.160644531,1373.291015625,350.189208984,690.460205078,383.758544922,1704.406738281,2577.972412109,3025.054931641,2652.740478516,2022.552490234,2057.647705078
,27.465820313,32.043457031,519.561767578,1306.915283203,1393.127441406,404.357910156,667.572021484,423.431396484,1451.873779297,2258.300781250,2742.004394531,2293.395996094,1712.799072266,1649.475097656
,27.465820313,31.280517578,622.558593750,1335.144042969,1384.735107422,529.479980469,723.266601563,534.820556641,1263.427734375,1951.599121094,2465.820312500,1946.258544922,1446.533203125,1293.945312500
,28.991699219,31.280517578,715.637207031,1348.114013672,1340.484619141,701.904296875,842.285156250,685.119628906,1155.853271484,1690.673828125,2219.390869141,1652.526855469,1262.664794922,1036.071777344
,30.517578125,31.280517578,790.405273438,1334.381103516,1257.324218750,881.958007813,1006.317138672,835.418701172,1119.232177734,1493.072509766,2023.315429688,1441.192626953,1170.349121094,906.372070313
,30.517578125,32.043457031,842.285156250,1280.975341797,1142.883300781,1039.123535156,1191.711425781,950.622558594,1163.482666016,1396.942138672,1895.904541016,1332.855224609,1190.185546875,925.445556641
,32.043457031,32.806396484,867.462158203,1190.948486328,1010.894775391,1152.038574219,1387.786865234,1024.627685547,1298.522949219,1429.748535156,1865.386962891,1355.743408203,1330.566406250,1079.559326172
,32.043457031,32.806396484,865.936279297,1076.507568359,877.380371094,1217.651367188,1588.439941406,1066.589355469,1523.590087891,1589.965820313,1937.103271484,1498.413085938,1573.944091797,1341.247558594
,31.280517578,33.569335938,839.996337891,952.148437500,758.361816406,1253.509521484,1777.648925781,1096.343994141,1843.261718750,1877.593994141,2112.579345703,1754.760742188,1908.874511719,1672.363281250
,30.517578125,34.332275391,791.931152344,830.841064453,660.705566406,1267.242431641,1923.370361328,1129.150390625,2220.153808594,2239.227294922,2377.319335938,2091.217041016,2278.137207031,2010.345458984
,28.991699219,35.095214844,727.844238281,720.977783203,585.174560547,1260.375976563,1992.034912109,1157.379150391,2584.838867188,2603.912353516,2671.813964844,2433.776855469,2613.830566406,2304.840087891
