Trace Data (킮),-4332.733154297,-8715.820312500,-2402.496337891,-2574.157714844,-1434.326171875,-2883.911132813,-1673.126220703,-1111.602783203,-2790.069580078,-1602.935791016,-3790.283203125,-1930.236816406,-1872.253417969,-1145.172119141,-1654.815673828,-3756.713867188,-1448.059082031,-1394.653320313
,-7772.827148438,-10045.623779297,-4329.681396484,-4130.554199219,-2613.067626953,-3613.281250000,-2391.052246094,-2020.263671875,-3368.377685547,-2708.435058594,-4273.223876953,-3015.136718750,-2999.114990234,-2114.868164063,-2742.004394531,-4354.858398438,-2617.645263672,-2521.514892578
,-11302.947998047,-10997.772216797,-6290.435791016,-5372.619628906,-3798.675537109,-4109.191894531,-2914.428710938,-2935.791015625,-3755.187988281,-3617.858886719,-4589.843750000,-3844.451904297,-3882.598876953,-3217.315673828,-3612.518310547,-4739.379882813,-3832.244873047,-3701.019287109
,-13781.738281250,-11167.144775391,-7646.942138672,-6179.809570313,-4608.154296875,-4279.327392578,-3228.759765625,-3553.771972656,-3791.809082031,-4207.611083984,-4451.751708984,-4355.621337891,-4434.204101563,-3971.099853516,-4157.257080078,-4685.974121094,-4650.115966797,-4479.980468750
,-15118.408203125,-9946.441650391,-8180.999755859,-6089.782714844,-4993.438720703,-3615.570068359,-2893.829345703,-3810.882568359,-3121.185302734,-4072.570800781,-3673.553466797,-4057.312011719,-4218.292236328,-4342.651367188,-3973.388671875,-3882.598876953,-5039.215087891,-4753.112792969
,-14218.902587891,-7559.204101563,-7273.864746094,-5001.831054688,-4460.144042969,-2420.806884766,-2115.631103516,-3292.083740234,-1995.086669922,-3261.566162109,-2416.229248047,-3041.839599609,-3241.729736328,-3717.803955078,-3135.681152344,-2556.610107422,-4478.454589844,-3997.039794922
,998.687744141,746.917724609,556.182861328,427.246093750,386.810302734,311.279296875,234.985351563,284.576416016,290.679931641,317.382812500,308.227539063,304.412841797,321.960449219,321.197509766,295.257568359,320.434570313,341.796875000,337.982177734
,984.954833984,733.184814453,544.738769531,420.379638672,374.603271484,302.886962891,229.644775391,276.947021484,283.813476563,309.753417969,301.361083984,299.072265625,315.856933594,312.042236328,285.339355469,312.805175781,334.167480469,330.352783203
,971.984863281,719.451904297,534.057617188,412.750244141,363.922119141,296.783447266,225.067138672,269.317626953,275.421142578,301.361083984,295.257568359,294.494628906,309.753417969,303.649902344,276.184082031,304.412841797,327.301025391,321.960449219
,959.014892578,705.718994141,526.428222656,405.883789063,353.240966797,289.154052734,220.489501953,261.688232422,267.791748047,292.968750000,289.154052734,289.154052734,304.412841797,296.020507813,267.028808594,296.783447266,319.671630859,314.331054688
,945.281982422,692.749023438,519.561767578,397.491455078,343.322753906,283.050537109,217.437744141,252.532958984,259.399414063,284.576416016,281.524658203,283.050537109,296.020507813,289.154052734,257.873535156,289.154052734,312.805175781,307.464599609
,931.549072266,681.304931641,509.643554688,389.862060547,333.404541016,276.184082031,215.148925781,244.903564453,251.770019531,277.709960938,276.184082031,276.947021484,288.391113281,282.287597656,251.770019531,282.287597656,306.701660156,302.124023438
,919.342041016,669.860839844,499.725341797,383.758544922,322.723388672,270.080566406,213.623046875,239.562988281,245.666503906,271.606445313,270.080566406,272.369384766,281.524658203,275.421142578,245.666503906,277.709960938,300.598144531,298.309326172
,907.135009766,659.179687500,488.281250000,377.655029297,312.805175781,265.502929688,211.334228516,234.985351563,239.562988281,266.265869141,264.739990234,268.554687500,274.658203125,268.554687500,240.325927734,272.369384766,295.257568359,292.968750000
,894.927978516,646.209716797,478.363037109,370.788574219,302.124023438,260.925292969,207.519531250,230.407714844,232.696533203,260.162353516,258.636474609,264.739990234,270.080566406,261.688232422,234.985351563,265.502929688,289.916992188,288.391113281
,881.958007813,634.765625000,469.970703125,363.159179688,292.968750000,255.584716797,202.178955078,225.830078125,225.830078125,253.295898438,252.532958984,260.925292969,265.502929688,254.058837891,229.644775391,259.399414063,283.813476563,282.287597656
