Trace Data (킮),-4332.733154297,-8715.820312500,-2402.496337891,-2574.157714844,-1434.326171875,-2883.911132813,-1673.126220703,-1111.602783203,-2790.069580078,-1602.935791016,-3790.283203125,-1930.236816406,-1872.253417969,-1145.172119141,-1654.815673828,-3756.713867188,-1448.059082031,-1394.653320313
,-7772.827148438,-10045.623779297,-4329.681396484,-4130.554199219,-2613.067626953,-3613.281250000,-2391.052246094,-2020.263671875,-3368.377685547,-2708.435058594,-4273.223876953,-3015.136718750,-2999.114990234,-2114.868164063,-2742.004394531,-4354.858398438,-2617.645263672,-2521.514892578
,-11302.947998047,-10997.772216797,-6290.435791016,-5372.619628906,-3798.675537109,-4109.191894531,-2914.428710938,-2935.791015625,-3755.187988281,-3617.858886719,-4589.843750000,-3844.451904297,-3882.598876953,-3217.315673828,-3612.518310547,-4739.379882813,-3832.244873047,-3701.019287109
,-13781.738281250,-11167.144775391,-7646.942138672,-6179.809570313,-4608.154296875,-4279.327392578,-3228.759765625,-3553.771972656,-3791.809082031,-4207.611083984,-4451.751708984,-4355.621337891,-4434.204101563,-3971.099853516,-4157.257080078,-4685.974121094,-4650.115966797,-4479.980468750
,-15118.408203125,-9946.441650391,-8180.999755859,-6089.782714844,-4993.438720703,-3615.570068359,-2893.829345703,-3810.882568359,-3121.185302734,-4072.570800781,-3673.553466797,-4057.312011719,-4218.292236328,-4342.651367188,-3973.388671875,-3882.598876953,-5039.215087891,-4753.112792969
,-14218.902587891,-7559.204101563,-7273.864746094,-5001.831054688,-4460.144042969,-2420.806884766,-2115.631103516,-3292.083740234,-1995.086669922,-3261.566162109,-2416.229248047,-3041.839599609,-3241.729736328,-3717.803955078,-3135.681152344,-2556.610107422,-4478.454589844,-3997.039794922
,-11414.337158203,-12374.877929688,-10751.342773438,-8575.439453125,-3740.692138672,-2450.561523438,-107.574462891,-1245.117187500,-1495.361328125,-3170.776367188,-3717.041015625,-1479.339599609,-4252.624511719,-3591.156005859,-1519.012451172,-2262.115478516,-3310.394287109,-2667.999267578
,-11952.209472656,-12863.159179688,-11314.392089844,-9130.859375000,-4023.742675781,-2494.049072266,-105.285644531,-1259.613037109,-1516.723632813,-3241.729736328,-3832.244873047,-1517.486572266,-4442.596435547,-3685.760498047,-1521.301269531,-2323.150634766,-3477.478027344,-2766.418457031
,-12437.438964844,-13298.797607422,-11831.665039063,-9645.080566406,-4302.978515625,-2529.144287109,-102.233886719,-1269.531250000,-1532.745361328,-3307.342529297,-3942.871093750,-1551.055908203,-4624.938964844,-3775.787353516,-1519.012451172,-2378.845214844,-3630.065917969,-2859.497070313
,-12869.262695313,-13680.267333984,-12297.821044922,-10120.391845703,-4573.059082031,-2558.898925781,-100.708007813,-1277.923583984,-1542.663574219,-3366.088867188,-4048.156738281,-1577.758789063,-4797.363281250,-3859.710693359,-1515.197753906,-2429.199218750,-3768.920898438,-2946.472167969
,-13244.628906250,-14006.805419922,-12714.385986328,-10557.556152344,-4830.932617188,-2587.127685547,-98.419189453,-1284.790039063,-1548.004150391,-3416.442871094,-4148.101806641,-1596.832275391,-4958.343505859,-3939.819335938,-1508.331298828,-2476.501464844,-3894.805908203,-3027.343750000
,-13564.300537109,-14286.041259766,-13082.885742188,-10957.336425781,-5076.599121094,-2613.067626953,-96.130371094,-1287.841796875,-1549.530029297,-3461.456298828,-4243.469238281,-1609.039306641,-5108.642578125,-4013.061523438,-1499.176025391,-2519.226074219,-4008.483886719,-3102.874755859
,-13833.618164063,-14524.841308594,-13405.609130859,-11318.206787109,-5307.769775391,-2637.481689453,-92.315673828,-1288.604736328,-1547.241210938,-3501.892089844,-4331.970214844,-1616.668701172,-5245.971679688,-4081.726074219,-1487.731933594,-2558.898925781,-4111.480712891,-3171.539306641
,-14060.974121094,-14732.360839844,-13687.896728516,-11639.404296875,-5527.496337891,-2657.318115234,-87.738037109,-1287.841796875,-1543.426513672,-3536.987304688,-4412.841796875,-1618.957519531,-5373.382568359,-4148.864746094,-1473.999023438,-2593.994140625,-4202.270507813,-3234.100341797
,-14257.049560547,-14913.940429688,-13934.326171875,-11922.454833984,-5733.489990234,-2671.813964844,-83.160400391,-1281.738281250,-1538.085937500,-3569.793701172,-4487.609863281,-1616.668701172,-5489.349365234,-4212.188720703,-1461.029052734,-2624.511718750,-4278.564453125,-3293.609619141
,-14430.999755859,-15076.446533203,-14152.526855469,-12172.698974609,-5926.513671875,-2682.495117188,-77.819824219,-1274.871826172,-1532.745361328,-3599.548339844,-4553.985595703,-1614.379882813,-5596.160888672,-4273.223876953,-1449.584960938,-2651.214599609,-4341.125488281,-3348.541259766
,-14591.979980469,-15222.930908203,-14345.550537109,-12397.003173828,-6103.515625000,-2691.650390625,-74.005126953,-1266.479492188,-1528.167724609,-3625.488281250,-4613.494873047,-1611.328125000,-5696.868896484,-4331.970214844,-1440.429687500,-2671.051025391,-4389.953613281,-3398.132324219
,-14743.041992188,-15353.393554688,-14516.448974609,-12600.708007813,-6266.021728516,-2700.805664063,-69.427490234,-1257.324218750,-1524.353027344,-3646.850585938,-4669.189453125,-1609.039306641,-5792.999267578,-4387.664794922,-1435.089111328,-2686.309814453,-4425.811767578,-3440.093994141
,-14885.711669922,-15467.071533203,-14669.799804688,-12788.391113281,-6414.794921875,-2711.486816406,-66.375732422,-1247.406005859,-1521.301269531,-3665.161132813,-4722.595214844,-1608.276367188,-5886.077880859,-4441.833496094,-1431.274414063,-2693.939208984,-4450.988769531,-3473.663330078
,-15013.885498047,-15557.861328125,-14806.365966797,-12963.104248047,-6553.649902344,-2721.405029297,-62.561035156,-1238.250732422,-1519.775390625,-3679.656982422,-4772.186279297,-1607.513427734,-5975.341796875,-4496.002197266,-1428.222656250,-2696.228027344,-4466.247558594,-3498.840332031
,-15122.985839844,-15620.422363281,-14926.147460938,-13121.795654297,-6684.875488281,-2730.560302734,-58.746337891,-1229.095458984,-1519.012451172,-3692.626953125,-4819.488525391,-1607.513427734,-6059.265136719,-4549.407958984,-1426.696777344,-2691.650390625,-4473.114013672,-3518.676757813
,-15206.909179688,-15655.517578125,-15029.144287109,-13262.939453125,-6808.471679688,-2737.426757813,-57.220458984,-1220.703125000,-1521.301269531,-3705.596923828,-4862.976074219,-1608.276367188,-6134.796142578,-4599.761962891,-1425.170898438,-2682.495117188,-4473.876953125,-3534.698486328
,-15267.944335938,-15661.621093750,-15110.778808594,-13385.009765625,-6921.386718750,-2742.004394531,-54.931640625,-1214.599609375,-1523.590087891,-3717.041015625,-4900.360107422,-1609.039306641,-6201.934814453,-4644.012451172,-1425.170898438,-2669.525146484,-4469.299316406,-3546.905517578
,-15309.143066406,-15641.784667969,-15168.762207031,-13484.191894531,-7020.568847656,-2743.530273438,-53.405761719,-1210.021972656,-1526.641845703,-3726.196289063,-4933.166503906,-1609.802246094,-6262.207031250,-4680.633544922,-1425.933837891,-2652.740478516,-4460.906982422,-3556.823730469
,-15335.083007813,-15600.585937500,-15201.568603516,-13561.248779297,-7106.018066406,-2744.293212891,-52.642822266,-1204.681396484,-1529.693603516,-3732.299804688,-4960.632324219,-1609.802246094,-6315.612792969,-4709.625244141,-1427.459716797,-2633.666992188,-4448.699951172,-3564.453125000
,-15346.527099609,-15537.261962891,-15209.960937500,-13614.654541016,-7180.023193359,-2744.293212891,-51.116943359,-1200.866699219,-1533.508300781,-3733.062744141,-4983.520507813,-1609.039306641,-6365.203857422,-4734.802246094,-1428.985595703,-2612.304687500,-4431.152343750,-3569.030761719
,-15339.660644531,-15453.338623047,-15193.939208984,-13644.409179688,-7243.347167969,-2743.530273438,-49.591064453,-1196.289062500,-1536.560058594,-3728.485107422,-5001.068115234,-1608.276367188,-6408.691406250,-4755.401611328,-1429.748535156,-2588.653564453,-4408.264160156,-3569.793701172
,-15310.668945313,-15349.578857422,-15151.977539063,-13648.986816406,-7295.227050781,-2741.241455078,-47.302246094,-1192.474365234,-1540.374755859,-3718.566894531,-5013.275146484,-1605.224609375,-6446.075439453,-4771.423339844,-1428.222656250,-2563.476562500,-4376.983642578,-3565.216064453
,-15258.026123047,-15227.508544922,-15085.601806641,-13626.861572266,-7334.899902344,-2735.900878906,-45.013427734,-1188.659667969,-1544.189453125,-3704.071044922,-5019.378662109,-1601.409912109,-6475.067138672,-4781.341552734,-1424.407958984,-2536.773681641,-4336.547851563,-3555.297851563
,-15181.732177734,-15087.127685547,-14993.286132813,-13577.270507813,-7357.025146484,-2729.034423828,-42.724609375,-1184.082031250,-1546.478271484,-3684.234619141,-5017.089843750,-1593.780517578,-6494.903564453,-4782.104492188,-1415.252685547,-2506.256103516,-4290.008544922,-3538.513183594
,-15084.838867188,-14926.910400391,-14878.082275391,-13496.398925781,-7357.788085938,-2716.827392578,-38.909912109,-1179.504394531,-1545.715332031,-3659.057617188,-5006.408691406,-1586.151123047,-6504.058837891,-4774.475097656,-1403.045654297,-2474.212646484,-4235.839843750,-3515.625000000
,-14966.583251953,-14739.990234375,-14741.516113281,-13389.587402344,-7336.425781250,-2700.805664063,-36.621093750,-1174.163818359,-1541.900634766,-3628.540039063,-4985.809326172,-1577.758789063,-6501.007080078,-4757.690429688,-1387.786865234,-2438.354492188,-4177.856445313,-3485.107421875
,-14826.202392578,-14523.315429688,-14584.350585938,-13259.124755859,-7291.412353516,-2677.917480469,-33.569335938,-1167.297363281,-1534.271240234,-3591.156005859,-4953.765869141,-1567.840576172,-6484.985351563,-4731.750488281,-1369.476318359,-2397.155761719,-4116.058349609,-3448.486328125
,-14658.355712891,-14274.597167969,-14402.008056641,-13107.299804688,-7223.510742188,-2649.688720703,-30.517578125,-1158.142089844,-1522.064208984,-3547.668457031,-4911.041259766,-1555.633544922,-6454.467773438,-4695.129394531,-1350.402832031,-2352.905273438,-4047.393798828,-3404.235839844
,-14458.465576172,-13999.176025391,-14190.673828125,-12935.638427734,-7135.009765625,-2615.356445313,-27.465820313,-1145.935058594,-1505.279541016,-3498.077392578,-4857.635498047,-1540.374755859,-6408.691406250,-4647.827148438,-1329.040527344,-2304.840087891,-3971.862792969,-3356.170654297
,-14228.057861328,-13703.918457031,-13945.770263672,-12738.800048828,-7028.961181641,-2574.920654297,-25.177001953,-1129.150390625,-1483.917236328,-3443.145751953,-4795.074462891,-1522.064208984,-6349.182128906,-4591.369628906,-1304.626464844,-2255.249023438,-3889.465332031,-3303.527832031
,-13968.658447266,-13395.690917969,-13667.297363281,-12515.258789063,-6903.839111328,-2530.670166016,-22.888183594,-1111.602783203,-1457.214355469,-3382.873535156,-4723.358154297,-1500.701904297,-6273.651123047,-4526.519775391,-1277.923583984,-2203.369140625,-3802.490234375,-3247.070312500
,-13688.659667969,-13082.122802734,-13362.121582031,-12266.540527344,-6764.984130859,-2481.842041016,-22.125244141,-1091.003417969,-1428.222656250,-3320.312500000,-4642.486572266,-1477.813720703,-6185.150146484,-4456.329345703,-1248.931884766,-2150.726318359,-3711.700439453,-3187.561035156
,-13394.927978516,-12762.451171875,-13042.449951172,-11996.459960938,-6615.447998047,-2430.725097656,-20.599365234,-1069.641113281,-1399.230957031,-3252.410888672,-4555.511474609,-1452.636718750,-6082.153320313,-4381.561279297,-1217.651367188,-2095.794677734,-3620.910644531,-3124.237060547
,-13090.515136719,-12438.201904297,-12714.385986328,-11711.883544922,-6455.230712891,-2377.319335938,-16.784667969,-1047.515869141,-1372.528076172,-3181.457519531,-4459.381103516,-1426.696777344,-5965.423583984,-4300.689697266,-1187.133789063,-2038.574218750,-3529.357910156,-3056.335449219
,-12778.472900391,-12108.612060547,-12386.322021484,-11421.203613281,-6290.435791016,-2323.913574219,-12.969970703,-1022.338867188,-1346.588134766,-3108.978271484,-4357.147216797,-1398.468017578,-5839.538574219,-4214.477539063,-1155.853271484,-1980.590820313,-3436.279296875,-2987.670898438
,-12459.564208984,-11774.444580078,-12058.258056641,-11127.471923828,-6121.063232422,-2270.507812500,-7.629394531,-997.161865234,-1322.174072266,-3033.447265625,-4250.335693359,-1369.476318359,-5706.787109375,-4123.687744141,-1126.098632813,-1920.318603516,-3342.437744141,-2918.243408203
,-12136.077880859,-11440.277099609,-11727.905273438,-10834.503173828,-5947.113037109,-2220.153808594,-3.814697266,-971.984863281,-1297.760009766,-2957.916259766,-4140.472412109,-1338.958740234,-5568.695068359,-4028.320312500,-1096.343994141,-1859.283447266,-3247.833251953,-2847.290039063
,-11808.013916016,-11108.398437500,-11396.026611328,-10542.297363281,-5772.399902344,-2172.088623047,-0.762939453,-946.807861328,-1271.820068359,-2881.622314453,-4029.083251953,-1306.915283203,-5429.077148438,-3931.427001953,-1065.063476563,-1799.011230469,-3153.228759766,-2777.099609375
,-11479.949951172,-10780.334472656,-11062.622070313,-10247.802734375,-5598.449707031,-2124.786376953,0.762939453,-920.104980469,-1246.643066406,-2805.328369141,-3918.457031250,-1272.583007813,-5288.696289063,-3833.770751953,-1034.545898438,-1738.739013672,-3060.150146484,-2705.383300781
,-11151.885986328,-10459.899902344,-10730.743408203,-9952.545166016,-5427.551269531,-2077.484130859,2.288818359,-893.402099609,-1221.466064453,-2730.560302734,-3809.356689453,-1238.250732422,-5148.315429688,-3737.640380859,-1004.028320313,-1679.229736328,-2967.834472656,-2633.666992188
,-10825.347900391,-10144.042968750,-10401.916503906,-9654.998779297,-5258.941650391,-2028.656005859,4.577636719,-865.173339844,-1194.763183594,-2656.555175781,-3701.782226563,-1202.392578125,-5011.749267578,-3642.272949219,-975.036621094,-1619.720458984,-2876.281738281,-2560.424804688
,-10502.624511719,-9837.341308594,-10079.193115234,-9357.452392578,-5094.146728516,-1979.064941406,6.103515625,-838.470458984,-1169.586181641,-2584.838867188,-3594.970703125,-1168.823242188,-4877.471923828,-3548.431396484,-947.570800781,-1562.500000000,-2785.491943359,-2489.471435547
,-10185.241699219,-9538.269042969,-9761.810302734,-9065.246582031,-4930.114746094,-1927.947998047,7.629394531,-813.293457031,-1142.883300781,-2515.411376953,-3489.685058594,-1138.305664063,-4747.772216797,-3455.352783203,-920.867919922,-1507.568359375,-2696.228027344,-2416.992187500
,-9877.014160156,-9247.589111328,-9449.005126953,-8779.144287109,-4766.845703125,-1876.831054688,9.918212891,-787.353515625,-1115.417480469,-2447.509765625,-3384.399414063,-1107.025146484,-4621.887207031,-3362.274169922,-894.165039063,-1454.925537109,-2608.489990234,-2344.512939453
,-9580.230712891,-8963.775634766,-9142.303466797,-8498.382568359,-4607.391357422,-1825.714111328,12.969970703,-762.176513672,-1087.951660156,-2380.371093750,-3278.350830078,-1076.507568359,-4497.528076172,-3269.195556641,-865.936279297,-1404.571533203,-2523.040771484,-2273.559570313
,-9294.128417969,-8686.828613281,-8843.994140625,-8224.487304688,-4451.751708984,-1774.597167969,16.021728516,-736.236572266,-1057.434082031,-2313.232421875,-3171.539306641,-1044.464111328,-4374.694824219,-3176.879882813,-835.418701172,-1353.454589844,-2439.117431641,-2202.606201172
,-9019.470214844,-8417.510986328,-8554.840087891,-7955.169677734,-4300.689697266,-1722.717285156,18.310546875,-708.770751953,-1024.627685547,-2246.856689453,-3067.016601563,-1007.843017578,-4251.861572266,-3085.327148438,-803.375244141,-1302.337646484,-2354.431152344,-2131.652832031
,-8757.019042969,-8156.585693359,-8276.367187500,-7691.955566406,-4154.205322266,-1670.837402344,21.362304688,-682.067871094,-988.769531250,-2180.480957031,-2964.782714844,-969.696044922,-4129.791259766,-2993.774414063,-771.331787109,-1251.983642578,-2270.507812500,-2063.751220703
,-8504.486083984,-7907.104492188,-8010.101318359,-7437.133789063,-4012.298583984,-1619.720458984,23.651123047,-655.364990234,-952.148437500,-2115.631103516,-2865.600585938,-930.786132813,-4011.535644531,-2902.984619141,-740.051269531,-1202.392578125,-2188.110351563,-1996.612548828
,-8261.108398438,-7669.067382813,-7752.227783203,-7191.467285156,-3875.732421875,-1570.129394531,25.939941406,-630.950927734,-915.527343750,-2052.307128906,-2770.233154297,-892.639160156,-3897.857666016,-2812.194824219,-710.296630859,-1154.327392578,-2107.238769531,-1930.236816406
,-8024.597167969,-7443.237304688,-7503.509521484,-6956.481933594,-3747.558593750,-1522.064208984,26.702880859,-607.299804688,-878.906250000,-1988.983154297,-2676.391601563,-856.781005859,-3788.757324219,-2722.930908203,-682.830810547,-1107.788085938,-2026.367187500,-1864.624023438
,-7796.478271484,-7230.377197266,-7263.946533203,-6732.177734375,-3626.251220703,-1476.287841797,25.939941406,-585.174560547,-843.048095703,-1923.370361328,-2583.312988281,-822.448730469,-3684.997558594,-2635.192871094,-656.127929688,-1062.011718750,-1946.258544922,-1799.011230469
,-7576.751708984,-7028.961181641,-7034.301757813,-6517.028808594,-3514.099121094,-1430.511474609,24.414062500,-563.812255859,-806.427001953,-1858.520507813,-2493.286132813,-788.879394531,-3585.052490234,-2551.269531250,-630.187988281,-1016.998291016,-1865.386962891,-1731.109619141
,-7366.180419922,-6842.041015625,-6818.389892578,-6311.035156250,-3409.576416016,-1385.498046875,22.125244141,-543.212890625,-772.094726563,-1792.144775391,-2405.548095703,-755.310058594,-3487.396240234,-2468.872070313,-605.773925781,-972.747802734,-1785.278320313,-1666.259765625
,-7167.816162109,-6668.090820313,-6616.210937500,-6116.485595703,-3310.394287109,-1342.010498047,20.599365234,-524.139404297,-739.288330078,-1727.294921875,-2322.387695313,-721.740722656,-3396.606445313,-2390.289306641,-580.596923828,-930.786132813,-1708.984375000,-1604.461669922
,-6982.421875000,-6504.058837891,-6430.816650391,-5934.143066406,-3217.315673828,-1300.811767578,19.073486328,-505.828857422,-709.533691406,-1663.970947266,-2245.330810547,-689.697265625,-3309.631347656,-2314.758300781,-557.708740234,-892.639160156,-1637.268066406,-1546.478271484
,-6811.523437500,-6352.233886719,-6260.681152344,-5767.059326172,-3128.814697266,-1263.427734375,16.784667969,-489.044189453,-682.067871094,-1604.461669922,-2174.377441406,-660.705566406,-3228.759765625,-2240.753173828,-535.583496094,-857.543945313,-1572.418212891,-1492.309570313
,-6651.306152344,-6210.327148438,-6105.041503906,-5614.471435547,-3047.943115234,-1229.858398438,14.495849609,-473.785400391,-656.127929688,-1548.004150391,-2110.290527344,-634.002685547,-3154.754638672,-2172.851562500,-513.458251953,-823.974609375,-1512.908935547,-1439.666748047
,-6501.770019531,-6079.101562500,-5961.608886719,-5477.142333984,-2973.937988281,-1199.340820313,12.969970703,-458.526611328,-631.713867188,-1496.124267578,-2051.544189453,-610.351562500,-3085.327148438,-2109.527587891,-493.621826172,-791.931152344,-1457.977294922,-1390.838623047
,-6361.389160156,-5959.320068359,-5828.094482422,-5351.257324219,-2908.325195313,-1171.112060547,12.207031250,-444.793701172,-609.588623047,-1449.584960938,-1998.138427734,-588.989257813,-3022.766113281,-2050.781250000,-476.074218750,-761.413574219,-1406.860351563,-1345.062255859
,-6230.163574219,-5850.982666016,-5701.446533203,-5236.053466797,-2851.104736328,-1144.409179688,12.207031250,-431.060791016,-588.989257813,-1407.623291016,-1950.073242188,-569.915771484,-2967.071533203,-1996.612548828,-460.052490234,-732.421875000,-1359.558105469,-1303.100585938
,-6109.619140625,-5751.800537109,-5583.190917969,-5129.241943359,-2800.750732422,-1119.995117188,11.444091797,-418.853759766,-570.678710938,-1369.476318359,-1906.585693359,-553.894042969,-2917.480468750,-1947.021484375,-445.556640625,-708.770751953,-1316.833496094,-1266.479492188
,-6000.518798828,-5659.484863281,-5474.090576172,-5030.822753906,-2754.974365234,-1097.869873047,10.681152344,-408.935546875,-554.656982422,-1335.906982422,-1867.675781250,-539.398193359,-2876.281738281,-1901.245117188,-432.586669922,-688.171386719,-1277.923583984,-1233.673095703
,-5900.573730469,-5571.746826172,-5377.197265625,-4940.795898438,-2713.775634766,-1077.270507813,9.155273438,-399.780273438,-539.398193359,-1305.389404297,-1832.580566406,-527.954101563,-2838.897705078,-1860.809326172,-418.853759766,-669.860839844,-1243.591308594,-1204.681396484
,-5807.495117188,-5484.008789063,-5290.985107422,-4857.635498047,-2677.154541016,-1058.959960938,8.392333984,-389.099121094,-525.665283203,-1275.634765625,-1801.300048828,-517.272949219,-2804.565429688,-1824.188232422,-405.120849609,-653.839111328,-1213.836669922,-1177.978515625
,-5715.179443359,-5397.796630859,-5213.928222656,-4781.341552734,-2642.822265625,-1042.175292969,9.918212891,-379.943847656,-512.695312500,-1249.694824219,-1770.019531250,-508.117675781,-2770.233154297,-1791.381835938,-393.676757813,-636.291503906,-1186.370849609,-1152.038574219
,-5620.574951172,-5312.347412109,-5142.211914063,-4708.862304688,-2610.778808594,-1025.390625000,12.207031250,-368.499755859,-500.488281250,-1225.280761719,-1741.790771484,-499.725341797,-2736.663818359,-1760.101318359,-382.995605469,-619.506835938,-1159.667968750,-1127.624511719
,-5524.444580078,-5227.661132813,-5072.021484375,-4640.960693359,-2579.498291016,-1010.131835938,12.969970703,-357.818603516,-489.044189453,-1201.629638672,-1715.850830078,-490.570068359,-2703.857421875,-1728.820800781,-373.840332031,-605.773925781,-1134.490966797,-1105.499267578
,-5426.788330078,-5146.026611328,-5001.068115234,-4574.584960938,-2548.217773438,-994.110107422,14.495849609,-350.189208984,-479.888916016,-1177.978515625,-1689.910888672,-482.940673828,-2672.576904297,-1698.303222656,-365.447998047,-592.041015625,-1110.076904297,-1083.374023438
,-5330.657958984,-5065.155029297,-4929.351806641,-4509.735107422,-2518.463134766,-980.377197266,13.732910156,-344.085693359,-473.022460938,-1155.090332031,-1667.022705078,-475.311279297,-2642.822265625,-1668.548583984,-357.055664063,-581.359863281,-1086.425781250,-1063.537597656
,-5237.579345703,-4985.809326172,-4857.635498047,-4445.648193359,-2490.234375000,-966.644287109,12.969970703,-340.270996094,-467.681884766,-1130.676269531,-1645.660400391,-467.681884766,-2612.304687500,-1640.319824219,-347.900390625,-571.441650391,-1065.063476563,-1045.227050781
,-5146.026611328,-4907.226562500,-4787.445068359,-4382.324218750,-2462.768554688,-952.148437500,12.969970703,-337.219238281,-463.104248047,-1107.788085938,-1622.772216797,-460.052490234,-2578.735351563,-1615.142822266,-339.508056641,-559.234619141,-1042.938232422,-1026.153564453
,-5055.236816406,-4830.169677734,-4718.017578125,-4322.052001953,-2438.354492188,-938.415527344,12.969970703,-334.167480469,-457.000732422,-1085.662841797,-1599.884033203,-450.897216797,-2544.403076172,-1590.728759766,-331.878662109,-547.027587891,-1020.812988281,-1008.605957031
,-4967.498779297,-4753.112792969,-4648.590087891,-4264.831542969,-2414.703369141,-922.393798828,12.969970703,-330.352783203,-450.897216797,-1062.774658203,-1576.995849609,-442.504882813,-2507.781982422,-1566.314697266,-325.012207031,-533.294677734,-997.924804688,-991.058349609
,-4882.812500000,-4676.818847656,-4579.925537109,-4211.425781250,-2389.526367188,-905.609130859,12.969970703,-326.538085938,-444.793701172,-1041.412353516,-1551.818847656,-434.875488281,-2471.160888672,-1541.900634766,-318.908691406,-519.561767578,-975.036621094,-974.273681641
,-4800.415039063,-4599.761962891,-4510.498046875,-4158.020019531,-2362.823486328,-889.587402344,12.969970703,-321.960449219,-437.927246094,-1020.812988281,-1525.878906250,-427.246093750,-2433.776855469,-1513.671875000,-312.805175781,-505.065917969,-952.911376953,-958.251953125
,-4718.780517578,-4521.179199219,-4441.833496094,-4103.088378906,-2333.831787109,-874.328613281,13.732910156,-317.382812500,-429.534912109,-998.687744141,-1499.938964844,-420.379638672,-2394.866943359,-1485.443115234,-305.175781250,-492.095947266,-931.549072266,-941.467285156
,-4637.145996094,-4440.307617188,-4373.931884766,-4045.867919922,-2301.788330078,-857.543945313,14.495849609,-311.279296875,-421.905517578,-976.562500000,-1470.947265625,-411.987304688,-2354.431152344,-1455.688476563,-295.257568359,-478.363037109,-910.949707031,-922.393798828
,-4553.222656250,-4356.384277344,-4304.504394531,-3984.069824219,-2266.693115234,-840.759277344,14.495849609,-305.938720703,-411.987304688,-952.911376953,-1441.192626953,-402.069091797,-2311.706542969,-1425.170898438,-284.576416016,-463.867187500,-889.587402344,-901.031494141
,-4465.484619141,-4269.409179688,-4232.788085938,-3921.508789063,-2227.783203125,-821.685791016,13.732910156,-299.072265625,-402.832031250,-930.023193359,-1410.675048828,-392.150878906,-2265.930175781,-1394.653320313,-275.421142578,-450.134277344,-867.462158203,-878.906250000
,-4375.457763672,-4180.145263672,-4158.782958984,-3856.658935547,-2186.584472656,-800.323486328,12.969970703,-292.968750000,-394.439697266,-906.372070313,-1377.868652344,-382.232666016,-2219.390869141,-1364.898681641,-266.265869141,-437.927246094,-844.573974609,-856.018066406
,-4280.090332031,-4086.303710938,-4080.200195313,-3791.046142578,-2142.333984375,-778.961181641,12.207031250,-288.391113281,-384.521484375,-881.958007813,-1344.299316406,-372.314453125,-2171.325683594,-1333.618164063,-258.636474609,-424.194335938,-822.448730469,-833.892822266
,-4179.382324219,-3987.121582031,-3997.802734375,-3723.907470703,-2096.557617188,-756.072998047,12.207031250,-280.761718750,-373.840332031,-857.543945313,-1310.729980469,-363.159179688,-2122.497558594,-1302.337646484,-251.770019531,-411.224365234,-800.323486328,-811.767578125
,-4071.044921875,-3881.072998047,-3912.353515625,-3651.428222656,-2051.544189453,-732.421875000,12.207031250,-273.132324219,-361.633300781,-831.604003906,-1274.871826172,-354.003906250,-2071.380615234,-1268.768310547,-242.614746094,-395.202636719,-778.198242188,-789.642333984
,-3955.078125000,-3765.869140625,-3822.326660156,-3576.660156250,-2005.767822266,-707.244873047,12.969970703,-261.688232422,-345.611572266,-804.138183594,-1236.724853516,-344.085693359,-2017.211914063,-1234.436035156,-232.696533203,-373.077392578,-753.784179688,-764.465332031
,-3830.718994141,-3643.798828125,-3727.722167969,-3494.262695313,-1959.991455078,-679.016113281,16.021728516,-247.192382813,-328.063964844,-775.146484375,-1197.052001953,-331.878662109,-1959.228515625,-1197.814941406,-219.726562500,-347.137451172,-726.318359375,-736.999511719
,-3697.967529297,-3517.150878906,-3627.014160156,-3407.287597656,-1911.926269531,-646.209716797,19.073486328,-228.881835938,-307.464599609,-744.628906250,-1155.090332031,-318.145751953,-1896.667480469,-1159.667968750,-204.467773438,-317.382812500,-697.326660156,-706.481933594
,-3556.060791016,-3385.162353516,-3520.965576172,-3312.683105469,-1859.283447266,-611.114501953,25.177001953,-206.756591797,-284.576416016,-710.296630859,-1110.839843750,-301.361083984,-1830.291748047,-1116.943359375,-185.394287109,-283.813476563,-664.520263672,-670.623779297
,-3406.524658203,-3248.596191406,-3408.813476563,-3210.449218750,-1801.300048828,-569.915771484,35.858154297,-182.342529297,-258.636474609,-672.149658203,-1064.300537109,-280.761718750,-1759.338378906,-1070.404052734,-163.269042969,-247.955322266,-627.136230469,-630.950927734
,-3247.833251953,-3106.689453125,-3290.557861328,-3100.585937500,-1736.450195313,-523.376464844,51.879882813,-154.113769531,-228.118896484,-627.899169922,-1014.709472656,-256.347656250,-1686.859130859,-1020.050048828,-136.566162109,-207.519531250,-584.411621094,-585.937500000
,-3082.275390625,-2956.390380859,-3165.435791016,-2983.856201172,-1663.208007813,-469.970703125,73.242187500,-122.070312500,-190.734863281,-578.308105469,-959.014892578,-228.118896484,-1610.565185547,-965.881347656,-105.285644531,-157.165527344,-535.583496094,-537.872314453
,-2912.139892578,-2799.987792969,-3033.447265625,-2858.734130859,-1577.758789063,-404.357910156,101.470947266,-84.686279297,-144.195556641,-524.902343750,-894.927978516,-194.549560547,-1528.167724609,-908.660888672,-67.138671875,-91.552734375,-478.363037109,-483.703613281
,-2737.426757813,-2640.533447266,-2896.881103516,-2726.745605469,-1477.813720703,-322.723388672,135.803222656,-37.384033203,-83.923339844,-463.867187500,-820.922851563,-154.113769531,-1438.903808594,-845.336914063,-18.310546875,-6.866455078,-411.224365234,-421.142578125
