Test Name,M-max Lower Leg Ampl Lines
Test Item,Left TA
Patient Name,"post  s2718tdvg"
Patient ID,
Test Date,10/15/2019
Trace Label,"Tr 1 : 0 mA : 200 µs","Tr 2 : 46 mA : 200 µs","Tr 3 : 100 mA : 200 µs","Tr 4 : 100 mA : 300 µs","Tr 5 : 100 mA : 400 µs","Tr 6 : 100 mA : 400 µs"
,27.465820313,544.738769531,1136.016845703,2231.597900391,1077.270507813,1887.512207031
,30.517578125,524.139404297,1107.025146484,2178.955078125,1050.567626953,1838.684082031
,32.806396484,506.591796875,1081.085205078,2127.075195313,1023.864746094,1791.381835938
,35.858154297,491.333007813,1055.908203125,2075.958251953,998.687744141,1745.605468750
,38.146972656,476.837158203,1032.257080078,2024.078369141,975.799560547,1701.354980469
,38.909912109,463.104248047,1010.131835938,1972.961425781,952.911376953,1659.393310547
,39.672851563,449.371337891,986.480712891,1922.607421875,931.549072266,1618.194580078
,39.672851563,436.401367188,963.592529297,1873.779296875,910.949707031,1579.284667969
,40.435791016,423.431396484,941.467285156,1826.477050781,891.113281250,1541.137695313
,41.198730469,411.987304688,918.579101563,1780.700683594,871.276855469,1502.990722656
,41.198730469,401.306152344,895.690917969,1734.924316406,849.151611328,1464.080810547
,41.198730469,391.387939453,871.276855469,1687.622070313,825.500488281,1422.882080078
,40.435791016,382.232666016,841.522216797,1634.979248047,796.508789063,1377.868652344
,39.672851563,373.077392578,804.901123047,1576.995849609,760.650634766,1325.988769531
,39.672851563,363.922119141,755.310058594,1507.568359375,714.111328125,1263.427734375
,40.435791016,355.529785156,688.934326172,1423.645019531,653.839111328,1187.896728516
,40.435791016,345.611572266,604.248046875,1324.462890625,574.493408203,1092.529296875
,40.435791016,334.167480469,494.384765625,1199.340820313,472.259521484,972.747802734
,40.435791016,319.671630859,359.344482422,1049.804687500,342.559814453,828.552246094
,38.909912109,298.309326172,199.890136719,878.143310547,185.394287109,659.179687500
,36.621093750,268.554687500,20.599365234,686.645507813,6.103515625,468.444824219
,35.095214844,228.881835938,-159.454345703,494.384765625,-179.290771484,274.658203125
,33.569335938,174.713134766,-328.063964844,315.856933594,-355.529785156,90.026855469
,32.043457031,102.996826172,-468.444824219,166.320800781,-505.065917969,-68.664550781
,32.806396484,6.866455078,-563.812255859,58.746337891,-614.929199219,-187.683105469
,32.043457031,-115.203857422,-605.010986328,1.525878906,-672.912597656,-256.347656250
,31.280517578,-263.214111328,-580.596923828,6.866455078,-672.912597656,-263.977050781
,32.043457031,-431.823730469,-480.651855469,83.923339844,-601.196289063,-199.127197266
,30.517578125,-604.248046875,-296.783447266,243.377685547,-449.371337891,-53.405761719
,29.754638672,-764.465332031,-28.991699219,492.858886719,-215.911865234,178.527832031
,30.517578125,-897.216796875,321.197509766,831.604003906,103.759765625,498.199462891
,30.517578125,-988.006591797,750.732421875,1256.561279297,507.354736328,904.846191406
,30.517578125,-1027.679443359,1252.746582031,1765.441894531,993.347167969,1393.890380859
,30.517578125,-1006.317138672,1821.136474609,2349.853515625,1560.974121094,1962.280273438
,28.991699219,-910.186767578,2444.458007813,2999.877929688,2200.317382813,2602.386474609
,27.465820313,-734.710693359,3102.874755859,3700.256347656,2899.169921875,3299.713134766
,25.939941406,-479.888916016,3771.209716797,4418.182373047,3633.880615234,4026.794433594
,25.177001953,-152.587890625,4426.574707031,5126.190185547,4375.457763672,4756.164550781
,23.651123047,237.274169922,5043.029785156,5794.525146484,5093.383789063,5451.965332031
,22.125244141,682.067871094,5609.130859375,6400.299072266,5759.429931641,6088.256835938
,20.599365234,1174.163818359,6113.433837891,6928.253173828,6354.522705078,6647.491455078
,19.073486328,1705.932617188,6548.309326172,7366.943359375,6864.929199219,7116.699218750
,15.258789063,2268.218994141,6909.179687500,7710.266113281,7279.968261719,7488.250732422
,13.732910156,2841.949462891,7187.652587891,7951.354980469,7592.773437500,7757.568359375
,11.444091797,3409.576416016,7386.779785156,8091.735839844,7801.055908203,7925.415039063
,9.155273438,3946.685791016,7505.798339844,8135.223388672,7902.526855469,7991.027832031
,9.155273438,4431.915283203,7546.997070313,8091.735839844,7909.393310547,7966.613769531
,8.392333984,4856.109619141,7518.768310547,7974.243164063,7832.336425781,7865.905761719
,6.866455078,5207.824707031,7422.637939453,7795.715332031,7685.852050781,7701.110839844
,7.629394531,5484.008789063,7268.524169922,7566.833496094,7489.776611328,7492.065429688
,6.866455078,5690.002441406,7061.767578125,7290.649414063,7248.687744141,7239.532470703
,6.866455078,5829.620361328,6800.842285156,6969.451904297,6964.874267578,6945.800781250
,8.392333984,5913.543701172,6490.325927734,6603.240966797,6639.099121094,6607.818603516
,8.392333984,5941.772460938,6126.403808594,6193.542480469,6259.918212891,6219.482421875
,9.918212891,5912.017822266,5713.653564453,5746.459960938,5834.960937500,5789.947509766
,9.918212891,5820.465087891,5260.467529297,5273.437500000,5372.619628906,5323.028564453
,9.918212891,5663.299560547,4779.815673828,4783.630371094,4879.760742188,4830.932617188
,10.681152344,5448.150634766,4282.379150391,4284.667968750,4369.354248047,4324.340820313
,9.155273438,5184.936523438,3780.364990234,3786.468505859,3846.740722656,3808.593750000
,9.155273438,4879.760742188,3286.743164063,3296.661376953,3321.075439453,3294.372558594
,9.918212891,4541.015625000,2808.380126953,2819.824218750,2799.224853516,2787.017822266
,10.681152344,4175.567626953,2352.142333984,2365.112304688,2291.107177734,2297.973632813
,11.444091797,3788.757324219,1915.740966797,1931.762695313,1805.114746094,1831.817626953
,12.207031250,3391.265869141,1494.598388672,1516.723632813,1343.536376953,1389.312744141
,12.207031250,2992.248535156,1084.136962891,1123.809814453,912.475585938,975.036621094
,12.207031250,2600.097656250,683.593750000,752.258300781,508.117675781,586.700439453
,12.207031250,2221.679687500,302.124023438,408.172607422,131.988525391,228.118896484
,12.207031250,1862.335205078,-49.591064453,105.285644531,-205.993652344,-92.315673828
,12.207031250,1525.115966797,-363.159179688,-159.454345703,-508.117675781,-375.366210938
,13.732910156,1210.784912109,-630.187988281,-384.521484375,-768.280029297,-615.692138672
,14.495849609,926.208496094,-855.255126953,-579.071044922,-987.243652344,-815.582275391
,15.258789063,672.149658203,-1044.464111328,-755.310058594,-1174.163818359,-983.428955078
,16.021728516,453.186035156,-1205.444335938,-912.475585938,-1329.803466797,-1119.995117188
,16.021728516,273.895263672,-1342.010498047,-1056.671142578,-1456.451416016,-1232.147216797
,15.258789063,133.514404297,-1453.399658203,-1178.741455078,-1557.922363281,-1322.174072266
,14.495849609,29.754638672,-1538.848876953,-1274.108886719,-1632.690429688,-1387.786865234
,14.495849609,-39.672851563,-1599.884033203,-1349.639892578,-1685.333251953,-1441.955566406
,13.732910156,-87.738037109,-1645.660400391,-1408.386230469,-1725.769042969,-1486.968994141
,15.258789063,-124.359130859,-1680.755615234,-1467.132568359,-1763.153076172,-1533.508300781
,17.547607422,-153.350830078,-1714.324951172,-1537.322998047,-1808.166503906,-1590.728759766
,18.310546875,-179.290771484,-1754.760742188,-1621.246337891,-1866.912841797,-1657.867431641
,20.599365234,-205.230712891,-1800.537109375,-1719.665527344,-1934.814453125,-1736.450195313
,21.362304688,-228.118896484,-1853.179931641,-1824.188232422,-2009.582519531,-1820.373535156
,20.599365234,-257.110595703,-1913.452148438,-1926.422119141,-2084.350585938,-1905.822753906
,21.362304688,-299.835205078,-1971.435546875,-2023.315429688,-2155.303955078,-1990.509033203
,20.599365234,-360.107421875,-2030.181884766,-2114.868164063,-2227.783203125,-2074.432373047
,21.362304688,-444.793701172,-2094.268798828,-2204.132080078,-2301.788330078,-2159.881591797
,21.362304688,-551.605224609,-2158.355712891,-2291.870117188,-2377.319335938,-2245.330810547
,22.125244141,-674.438476563,-2228.546142578,-2376.556396484,-2454.376220703,-2328.491210938
,22.888183594,-808.715820313,-2299.499511719,-2457.427978516,-2528.381347656,-2408.599853516
,23.651123047,-953.674316406,-2360.534667969,-2529.907226563,-2593.231201172,-2479.553222656
,24.414062500,-1105.499267578,-2413.177490234,-2591.705322266,-2645.874023438,-2540.588378906
,24.414062500,-1261.901855469,-2449.798583984,-2639.770507813,-2685.546875000,-2589.416503906
,24.414062500,-1419.067382813,-2471.923828125,-2668.762207031,-2707.672119141,-2620.697021484
,25.177001953,-1571.655273438,-2480.316162109,-2677.917480469,-2712.249755859,-2634.429931641
,26.702880859,-1712.036132813,-2470.397949219,-2664.184570313,-2700.042724609,-2627.563476563
,26.702880859,-1837.921142578,-2434.539794922,-2621.459960938,-2661.132812500,-2591.705322266
,27.465820313,-1943.969726563,-2368.164062500,-2547.454833984,-2595.520019531,-2529.144287109
,28.228759766,-2028.656005859,-2270.507812500,-2442.932128906,-2501.678466797,-2435.302734375
,28.228759766,-2096.557617188,-2149.200439453,-2313.232421875,-2384.948730469,-2315.521240234
,28.991699219,-2149.963378906,-2019.500732422,-2171.325683594,-2252.197265625,-2183.532714844
,28.991699219,-2192.687988281,-1890.563964844,-2027.130126953,-2114.105224609,-2046.203613281
,28.991699219,-2223.205566406,-1771.545410156,-1885.223388672,-1977.539062500,-1912.689208984
,28.991699219,-2230.072021484,-1658.630371094,-1742.553710938,-1837.921142578,-1776.123046875
,28.991699219,-2206.420898438,-1543.426513672,-1596.832275391,-1693.725585938,-1631.927490234
,28.991699219,-2149.963378906,-1425.170898438,-1444.244384766,-1543.426513672,-1479.339599609
,29.754638672,-2061.462402344,-1300.811767578,-1287.078857422,-1385.498046875,-1319.122314453
,31.280517578,-1954.650878906,-1175.689697266,-1133.728027344,-1229.858398438,-1159.667968750
,34.332275391,-1839.447021484,-1058.959960938,-987.243652344,-1081.848144531,-1008.605957031
,35.858154297,-1724.243164063,-952.911376953,-849.151611328,-945.281982422,-864.410400391
,38.146972656,-1610.565185547,-860.595703125,-720.214843750,-817.108154297,-727.844238281
,39.672851563,-1494.598388672,-781.250000000,-598.907470703,-696.563720703,-594.329833984
,39.672851563,-1373.291015625,-711.822509766,-482.940673828,-582.885742188,-466.156005859
,41.961669922,-1243.591308594,-651.550292969,-379.180908203,-473.785400391,-345.611572266
,42.724609375,-1109.313964844,-595.855712891,-288.391113281,-375.366210938,-236.511230469
