Test Name,M-max Lower Leg Ampl Lines
Test Item,Right TA
Patient Name,"post  s2718tdvg"
Patient ID,
Test Date,10/15/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 51 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 200 탎","Tr 5 : 100 mA : 300 탎","Tr 6 : 100 mA : 300 탎","Tr 7 : 100 mA : 300 탎","Tr 8 : 100 mA : 400 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 400 탎"
,28.228759766,9.155273438,23.651123047,16.784667969,35.095214844,36.621093750,47.302246094,13.732910156,29.754638672,5.340576172
,30.517578125,7.629394531,26.702880859,16.784667969,34.332275391,35.858154297,46.539306641,12.207031250,28.991699219,5.340576172
,32.043457031,7.629394531,28.991699219,17.547607422,32.806396484,35.095214844,45.776367188,12.969970703,28.991699219,5.340576172
,33.569335938,8.392333984,32.043457031,19.073486328,30.517578125,33.569335938,45.013427734,13.732910156,30.517578125,6.103515625
,33.569335938,10.681152344,34.332275391,19.073486328,28.991699219,32.806396484,45.776367188,15.258789063,32.043457031,7.629394531
,33.569335938,17.547607422,54.168701172,1568.603515625,225.067138672,1485.443115234,90.789794922,1578.521728516,33.569335938,28.991699219
,32.806396484,112.915039063,377.655029297,4154.968261719,1935.577392578,4333.496093750,1039.123535156,4701.995849609,1592.254638672,1197.814941406
,31.280517578,200.653076172,687.408447266,6697.082519531,4801.940917969,7069.396972656,2793.121337891,9370.422363281,4685.211181641,3499.603271484
,31.280517578,280.761718750,979.614257813,9189.605712891,7608.032226563,9741.973876953,4518.890380859,13958.740234375,8608.245849609,5915.069580078
,30.517578125,346.374511719,1219.177246094,8531.951904297,9948.730468750,9443.664550781,6117.248535156,15330.505371094,12450.408935547,8223.724365234
,32.043457031,228.881835938,835.418701172,5751.037597656,9193.420410156,6291.961669922,5865.478515625,13482.666015625,13083.648681641,8168.792724609
,33.569335938,120.544433594,462.341308594,3012.084960938,6060.028076172,3304.290771484,3962.707519531,8449.554443359,10555.267333984,5779.266357422
,35.858154297,18.310546875,107.574462891,328.063964844,2983.093261719,383.758544922,2073.669433594,3482.055664063,6275.177001953,3092.193603516
,38.146972656,-71.716308594,-210.571289063,-750.732421875,179.290771484,-1012.420654297,267.791748047,173.187255859,2069.091796875,489.807128906
,39.672851563,-69.427490234,-206.756591797,-737.762451172,-1034.545898438,-944.519042969,-588.989257813,-1471.710205078,-483.703613281,-892.639160156
,41.198730469,-67.901611328,-199.127197266,-717.926025391,-1020.050048828,-922.393798828,-597.381591797,-1469.421386719,-1403.045654297,-1068.115234375
,43.487548828,-67.138671875,-190.734863281,-698.852539063,-994.873046875,-898.742675781,-587.463378906,-1446.533203125,-1394.653320313,-1053.619384766
,45.013427734,-66.375732422,-181.579589844,-679.779052734,-968.170166016,-875.091552734,-575.256347656,-1418.304443359,-1370.239257813,-1032.257080078
,45.776367188,-66.375732422,-172.424316406,-662.231445313,-942.993164063,-852.966308594,-560.760498047,-1387.023925781,-1341.247558594,-1007.843017578
,45.776367188,-67.138671875,-164.794921875,-643.920898438,-919.342041016,-833.129882813,-546.264648438,-1354.980468750,-1309.967041016,-982.666015625
,44.250488281,-67.901611328,-159.454345703,-626.373291016,-896.453857422,-813.293457031,-532.531738281,-1323.699951172,-1277.923583984,-958.251953125
,42.724609375,-68.664550781,-158.691406250,-608.825683594,-875.854492188,-794.219970703,-518.798828125,-1292.419433594,-1245.880126953,-933.074951172
,40.435791016,-67.901611328,-161.743164063,-591.278076172,-855.255126953,-775.909423828,-506.591796875,-1261.901855469,-1215.362548828,-908.660888672
,39.672851563,-66.375732422,-167.083740234,-575.256347656,-834.655761719,-756.835937500,-493.621826172,-1231.384277344,-1186.370849609,-885.009765625
,38.909912109,-62.561035156,-173.187255859,-560.760498047,-814.819335938,-736.999511719,-480.651855469,-1200.103759766,-1157.379150391,-861.358642578
,37.384033203,-58.746337891,-177.001953125,-547.027587891,-794.982910156,-719.451904297,-468.444824219,-1168.823242188,-1129.913330078,-839.233398438
,37.384033203,-54.168701172,-179.290771484,-534.820556641,-775.909423828,-701.904296875,-454.711914063,-1138.305664063,-1100.921630859,-817.871093750
,37.384033203,-50.354003906,-178.527832031,-521.850585938,-756.835937500,-685.119628906,-442.504882813,-1109.313964844,-1071.929931641,-796.508789063
,38.146972656,-49.591064453,-176.239013672,-510.406494141,-738.525390625,-669.860839844,-431.823730469,-1084.136962891,-1044.464111328,-776.672363281
,39.672851563,-49.591064453,-172.424316406,-498.962402344,-720.214843750,-654.602050781,-421.905517578,-1061.248779297,-1017.761230469,-757.598876953
,41.198730469,-52.642822266,-168.609619141,-489.807128906,-703.430175781,-641.632080078,-412.750244141,-1043.701171875,-994.873046875,-740.051269531
,41.961669922,-58.746337891,-165.557861328,-484.466552734,-688.171386719,-631.713867188,-407.409667969,-1031.494140625,-978.088378906,-724.029541016
,43.487548828,-73.242187500,-170.135498047,-487.518310547,-679.016113281,-627.899169922,-407.409667969,-1031.494140625,-968.933105469,-711.822509766
,45.013427734,-104.522705078,-188.446044922,-505.065917969,-677.490234375,-632.476806641,-418.853759766,-1052.093505859,-977.325439453,-705.718994141
,45.776367188,-164.794921875,-234.985351563,-545.501708984,-691.223144531,-653.076171875,-452.423095703,-1101.684570313,-1011.657714844,-711.059570313
,45.776367188,-270.843505859,-321.197509766,-619.506835938,-730.895996094,-698.852539063,-516.510009766,-1192.474365234,-1082.611083984,-737.762451172
,44.250488281,-431.060791016,-460.052490234,-735.473632813,-805.664062500,-778.198242188,-620.269775391,-1329.040527344,-1197.814941406,-793.457031250
,42.724609375,-655.364990234,-657.653808594,-897.216796875,-922.393798828,-899.505615234,-771.331787109,-1506.042480469,-1360.321044922,-888.824462891
,39.672851563,-940.704345703,-911.712646484,-1098.632812500,-1084.899902344,-1065.063476563,-970.458984375,-1713.562011719,-1564.025878906,-1025.390625000
,37.384033203,-1272.583007813,-1209.259033203,-1326.751708984,-1284.027099609,-1265.716552734,-1208.496093750,-1932.525634766,-1792.144775391,-1202.392578125
,35.095214844,-1631.164550781,-1531.982421875,-1558.685302734,-1506.042480469,-1484.680175781,-1471.710205078,-2132.415771484,-2022.552490234,-1407.623291016
,33.569335938,-1985.931396484,-1847.076416016,-1763.153076172,-1725.006103516,-1698.303222656,-1734.161376953,-2280.426025391,-2223.205566406,-1618.957519531
,33.569335938,-2307.128906250,-2127.838134766,-1908.874511719,-1907.348632813,-1872.253417969,-1963.806152344,-2351.379394531,-2362.823486328,-1808.929443359
,34.332275391,-2572.631835938,-2346.801757813,-1972.961425781,-2026.367187500,-1977.539062500,-2136.993408203,-2322.387695313,-2419.281005859,-1945.495605469
,34.332275391,-2765.655517578,-2486.419677734,-1937.866210938,-2058.410644531,-1996.612548828,-2228.546142578,-2190.399169922,-2374.267578125,-2001.953125000
,35.858154297,-2881.622314453,-2544.403076172,-1805.114746094,-1990.509033203,-1914.978027344,-2226.257324219,-1968.383789063,-2226.257324219,-1965.332031250
,36.621093750,-2924.346923828,-2524.566650391,-1584.625244141,-1829.528808594,-1743.316650391,-2133.178710938,-1667.785644531,-1985.931396484,-1831.054687500
,35.095214844,-2896.118164063,-2434.539794922,-1289.367675781,-1585.388183594,-1493.072509766,-1953.887939453,-1306.152343750,-1667.022705078,-1612.854003906
,35.095214844,-2799.987792969,-2284.240722656,-936.889648438,-1274.108886719,-1179.504394531,-1699.829101563,-901.794433594,-1290.130615234,-1325.225830078
,33.569335938,-2643.585205078,-2085.113525391,-543.975830078,-914.001464844,-822.448730469,-1386.260986328,-465.393066406,-874.328613281,-982.666015625
,32.806396484,-2430.725097656,-1842.498779297,-119.018554688,-518.798828125,-433.349609375,-1032.257080078,-3.814697266,-430.297851563,-602.722167969
,32.806396484,-2166.748046875,-1565.551757813,328.063964844,-96.130371094,-17.547607422,-651.550292969,470.733642578,35.095214844,-192.260742188
,33.569335938,-1863.861083984,-1264.190673828,789.642333984,346.374511719,416.564941406,-254.821777344,962.829589844,515.747070313,240.325927734
,35.858154297,-1522.064208984,-936.126708984,1272.583007813,807.189941406,873.565673828,149.536132813,1469.421386719,1014.709472656,689.697265625
,37.384033203,-1151.275634766,-586.700439453,1770.019531250,1290.130615234,1355.743408203,570.678710938,1986.694335938,1528.930664063,1161.193847656
,39.672851563,-760.650634766,-219.726562500,2279.663085938,1786.804199219,1857.757568359,1012.420654297,2510.833740234,2050.781250000,1647.949218750
,41.198730469,-357.818603516,162.506103516,2795.410156250,2297.210693359,2373.504638672,1473.236083984,3027.343750000,2576.446533203,2146.911621094
,41.198730469,41.961669922,547.027587891,3298.950195313,2808.380126953,2884.674072266,1945.495605469,3520.965576172,3091.430664063,2651.214599609
,42.724609375,431.823730469,924.682617188,3776.550292969,3303.527832031,3372.955322266,2412.414550781,3975.677490234,3581.237792969,3139.495849609
