Test Name,M-max Lower Leg Ampl Lines
Test Item,Left TA
Patient Name,"pre  s2712tdvg"
Patient ID,
Test Date,1/29/2019
Trace Label,"Tr 1 : 0 mA : 150 µs","Tr 2 : 25 mA : 150 µs","Tr 3 : 60 mA : 150 µs","Tr 4 : 80 mA : 150 µs","Tr 5 : 83 mA : 150 µs","Tr 6 : 83 mA : 150 µs"
,70.190429688,-21.362304688,12.207031250,32.806396484,2.288818359,10.681152344
,74.005126953,-19.073486328,12.207031250,31.280517578,4.577636719,13.732910156
,77.056884766,-16.021728516,12.969970703,30.517578125,6.866455078,16.784667969
,77.819824219,-12.969970703,15.258789063,29.754638672,9.918212891,18.310546875
,79.345703125,-10.681152344,16.784667969,28.991699219,13.732910156,19.073486328
,80.108642578,-9.155273438,19.073486328,28.991699219,16.021728516,19.073486328
,81.634521484,-6.866455078,19.836425781,27.465820313,17.547607422,18.310546875
,84.686279297,-3.814697266,19.073486328,25.939941406,18.310546875,18.310546875
,86.212158203,-0.762939453,16.784667969,24.414062500,19.073486328,18.310546875
,90.026855469,3.051757813,12.969970703,22.888183594,19.836425781,16.784667969
,91.552734375,7.629394531,8.392333984,23.651123047,20.599365234,14.495849609
,93.841552734,12.207031250,3.051757813,25.177001953,19.836425781,10.681152344
,95.367431641,16.784667969,-1.525878906,25.939941406,17.547607422,5.340576172
,95.367431641,20.599365234,-6.103515625,26.702880859,14.495849609,0.000000000
,95.367431641,22.125244141,-11.444091797,26.702880859,9.918212891,-5.340576172
,93.841552734,22.125244141,-16.784667969,26.702880859,5.340576172,-11.444091797
,92.315673828,22.888183594,-22.125244141,28.228759766,0.000000000,-17.547607422
,90.789794922,23.651123047,-27.465820313,30.517578125,-3.814697266,-22.888183594
,89.263916016,25.177001953,-32.043457031,32.806396484,-8.392333984,-28.228759766
,87.738037109,27.465820313,-36.621093750,35.095214844,-12.207031250,-32.043457031
,85.449218750,30.517578125,-40.435791016,38.146972656,-17.547607422,-35.095214844
,83.160400391,35.095214844,-43.487548828,41.961669922,-22.888183594,-35.858154297
,80.108642578,38.909912109,-44.250488281,45.013427734,-28.991699219,-36.621093750
,78.582763672,43.487548828,-44.250488281,47.302246094,-34.332275391,-35.095214844
,77.056884766,47.302246094,-42.724609375,48.065185547,-37.384033203,-33.569335938
,75.531005859,50.354003906,-40.435791016,46.539306641,-39.672851563,-32.806396484
,73.242187500,53.405761719,-39.672851563,44.250488281,-39.672851563,-32.043457031
,70.190429688,55.694580078,-38.909912109,41.198730469,-38.909912109,-32.043457031
,67.901611328,57.983398438,-38.909912109,37.384033203,-37.384033203,-32.806396484
,65.612792969,58.746337891,-37.384033203,33.569335938,-35.858154297,-33.569335938
,64.086914063,56.457519531,-35.858154297,28.228759766,-34.332275391,-34.332275391
,62.561035156,53.405761719,-34.332275391,22.888183594,-32.043457031,-34.332275391
,60.272216797,50.354003906,-31.280517578,19.836425781,-31.280517578,-33.569335938
,57.983398438,48.828125000,-28.991699219,16.021728516,-29.754638672,-31.280517578
,55.694580078,-61.798095703,-122.833251953,11.444091797,-782.012939453,-28.991699219
,54.168701172,-235.748291016,-834.655761719,-1001.739501953,-1827.239990234,-720.977783203
,53.405761719,-405.883789063,-1544.189453125,-2011.108398438,-2858.734130859,-1407.623291016
,53.405761719,-571.441650391,-2241.516113281,-3002.929687500,-3867.340087891,-2088.165283203
,52.642822266,-509.643554688,-2728.271484375,-3968.811035156,-3343.963623047,-2755.737304688
,53.405761719,-318.145751953,-1963.043212891,-2895.355224609,-2207.183837891,-2016.448974609
,53.405761719,-128.173828125,-1187.133789063,-1811.218261719,-1074.218750000,-1271.820068359
,54.168701172,56.457519531,-422.668457031,-738.525390625,37.384033203,-524.902343750
,54.931640625,124.359130859,228.118896484,312.042236328,371.551513672,209.808349609
,54.931640625,124.359130859,244.140625000,331.115722656,382.995605469,234.222412109
,56.457519531,121.307373047,244.903564453,333.404541016,381.469726563,247.955322266
,56.457519531,116.729736328,244.140625000,328.826904297,374.603271484,251.007080078
,55.694580078,112.915039063,242.614746094,321.960449219,366.210937500,251.007080078
,55.694580078,108.337402344,238.800048828,314.331054688,357.055664063,248.718261719
,55.694580078,105.285644531,236.511230469,308.227539063,348.663330078,245.666503906
,54.931640625,102.233886719,233.459472656,301.361083984,341.796875000,241.851806641
,55.694580078,99.945068359,229.644775391,294.494628906,335.693359375,236.511230469
,56.457519531,97.656250000,228.118896484,286.865234375,330.352783203,231.933593750
,57.220458984,95.367431641,225.067138672,279.998779297,326.538085938,226.593017578
