Test Name,M-max Lower Leg Ampl Lines
Test Item,Left Gastroc
Patient Name,"pre  s2712tdvg"
Patient ID,
Test Date,1/29/2019
Trace Label,"Tr 1 : 0 mA : 200 탎","Tr 2 : 34 mA : 200 탎","Tr 3 : 80 mA : 200 탎","Tr 4 : 100 mA : 200 탎","Tr 5 : 100 mA : 200 탎","Tr 6 : 100 mA : 200 탎","Tr 7 : 100 mA : 200 탎","Tr 8 : 100 mA : 200 탎","Tr 9 : 100 mA : 250 탎"
,57.220458984,-1244.354248047,-2854.156494141,-2887.725830078,-2738.952636719,-2854.919433594,-2771.759033203,-2839.660644531,-3759.765625000
,55.694580078,-1212.310791016,-2793.884277344,-2802.276611328,-2653.503417969,-2778.625488281,-2733.612060547,-2794.647216797,-3662.109375000
,53.405761719,-1180.267333984,-2742.004394531,-2722.930908203,-2569.580078125,-2704.620361328,-2722.167968750,-2773.284912109,-3568.267822266
,50.354003906,-1145.172119141,-2705.383300781,-2656.555175781,-2489.471435547,-2633.666992188,-2737.426757813,-2777.099609375,-3479.766845703
,45.776367188,-1104.736328125,-2689.361572266,-2610.778808594,-2413.940429688,-2568.054199219,-2781.677246094,-2807.617187500,-3397.369384766
,40.435791016,-1055.145263672,-2696.228027344,-2591.705322266,-2348.327636719,-2510.070800781,-2847.290039063,-2857.971191406,-3320.312500000
,34.332275391,-996.398925781,-2733.612060547,-2611.541748047,-2301.025390625,-2463.531494141,-2920.532226563,-2921.295166016,-3254.699707031
,27.465820313,-926.971435547,-2807.617187500,-2677.917480469,-2284.240722656,-2437.591552734,-2993.774414063,-2992.248535156,-3208.160400391
,22.125244141,-851.440429688,-2925.109863281,-2803.039550781,-2313.995361328,-2439.117431641,-3060.150146484,-3070.831298828,-3195.190429688
,15.258789063,-773.620605469,-3096.771240234,-2991.485595703,-2402.496337891,-2482.604980469,-3122.711181641,-3162.384033203,-3233.337402344
,7.629394531,-697.326660156,-3321.838378906,-3236.389160156,-2554.321289063,-2575.683593750,-3191.375732422,-3269.958496094,-3335.571289063
,0.762939453,-627.136230469,-3599.548339844,-3527.832031250,-2766.418457031,-2721.405029297,-3275.299072266,-3400.421142578,-3504.943847656
,-4.577636719,-568.389892578,-3926.849365234,-3850.555419922,-3027.343750000,-2918.243408203,-3384.399414063,-3559.875488281,-3733.062744141
,-6.866455078,-524.902343750,-4295.349121094,-4187.011718750,-3321.075439453,-3158.569335938,-3525.543212891,-3747.558593750,-4006.195068359
,-4.577636719,-502.014160156,-4698.944091797,-4522.705078125,-3624.725341797,-3427.124023438,-3695.678710938,-3960.418701172,-4301.452636719
