Test Name,M-max Lower Leg Ampl Lines
Test Item,Right Gastroc
Patient Name,"pre  s2712tdvg"
Patient ID,
Test Date,1/29/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 19 mA : 100 탎","Tr 3 : 19 mA : 100 탎","Tr 4 : 19 mA : 100 탎","Tr 5 : 19 mA : 100 탎","Tr 6 : 94 mA : 100 탎","Tr 7 : 94 mA : 100 탎","Tr 8 : 100 mA : 100 탎","Tr 9 : 100 mA : 150 탎","Tr 10 : 100 mA : 200 탎","Tr 11 : 100 mA : 200 탎"
,22.125244141,-52.642822266,-40.435791016,12.969970703,5.340576172,-25.939941406,-632.476806641,-560.760498047,-1280.212402344,-1261.901855469,-1756.286621094
,23.651123047,-50.354003906,-41.198730469,12.969970703,6.866455078,-24.414062500,-769.805908203,-653.076171875,-1444.244384766,-1428.985595703,-1847.839355469
,25.177001953,-46.539306641,-42.724609375,12.969970703,9.155273438,-34.332275391,-895.690917969,-727.844238281,-1605.987548828,-1602.172851563,-1944.732666016
,26.702880859,-41.961669922,-42.724609375,12.969970703,10.681152344,-54.931640625,-1010.894775391,-789.642333984,-1769.256591797,-1774.597167969,-2047.729492188
,29.754638672,-38.146972656,-43.487548828,12.969970703,12.207031250,-85.449218750,-1116.943359375,-847.625732422,-1938.629150391,-1946.258544922,-2162.933349609
,32.043457031,-34.332275391,-43.487548828,12.207031250,12.969970703,-125.885009766,-1222.229003906,-910.949707031,-2120.208740234,-2124.023437500,-2294.921875000
,34.332275391,-30.517578125,-42.724609375,12.207031250,12.969970703,-179.290771484,-1336.669921875,-993.347167969,-2317.047119141,-2314.758300781,-2447.509765625
,37.384033203,-25.939941406,-41.961669922,12.207031250,13.732910156,-247.955322266,-1462.554931641,-1094.818115234,-2526.855468750,-2522.277832031,-2623.748779297
,39.672851563,-22.888183594,-41.961669922,9.918212891,12.969970703,-334.930419922,-1599.884033203,-1218.414306641,-2742.004394531,-2742.004394531,-2821.350097656
,42.724609375,-20.599365234,-39.672851563,8.392333984,12.207031250,-439.453125000,-1753.234863281,-1364.135742188,-2966.308593750,-2967.834472656,-3041.839599609
,45.776367188,-19.073486328,-38.146972656,6.866455078,12.207031250,-553.894042969,-1930.236816406,-1539.611816406,-3203.582763672,-3198.242187500,-3287.506103516
,48.065185547,-18.310546875,-35.858154297,5.340576172,12.207031250,-671.386718750,-2143.859863281,-1760.101318359,-3475.189208984,-3440.856933594,-3569.030761719
,51.116943359,-17.547607422,-32.806396484,5.340576172,11.444091797,-777.435302734,-2412.414550781,-2053.833007813,-3817.749023438,-3717.041015625,-3906.250000000
,52.642822266,-15.258789063,-30.517578125,5.340576172,11.444091797,-863.647460938,-2752.685546875,-2452.087402344,-4245.758056641,-4058.074951172,-4312.896728516
,53.405761719,-14.495849609,-27.465820313,4.577636719,11.444091797,-923.919677734,-3177.642822266,-2976.226806641,-4775.238037109,-4487.609863281,-4797.363281250
,54.168701172,-13.732910156,-24.414062500,5.340576172,10.681152344,-957.489013672,-3688.049316406,-3620.910644531,-5394.744873047,-5019.378662109,-5354.309082031
,54.168701172,-13.732910156,-22.125244141,6.103515625,10.681152344,-971.221923828,-4266.357421875,-4360.961914063,-6065.368652344,-5648.803710938,-5967.712402344
,54.168701172,-13.732910156,-19.836425781,6.103515625,9.918212891,-978.851318359,-4883.575439453,-5147.552490234,-6748.199462891,-6343.078613281,-6611.633300781
,53.405761719,-13.732910156,-18.310546875,6.866455078,9.155273438,-991.821289063,-5488.586425781,-5916.595458984,-7390.594482422,-7056.427001953,-7253.265380859
,52.642822266,-14.495849609,-17.547607422,6.103515625,9.155273438,-1029.205322266,-6032.562255859,-6610.870361328,-7940.673828125,-7724.761962891,-7849.121093750
