Test Name,M-max Lower Leg Ampl Lines
Test Item,Right Gastroc
Patient Name,"pre  s2712tdvg"
Patient ID,
Test Date,1/29/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 19 mA : 100 탎","Tr 3 : 19 mA : 100 탎","Tr 4 : 19 mA : 100 탎","Tr 5 : 19 mA : 100 탎","Tr 6 : 94 mA : 100 탎","Tr 7 : 94 mA : 100 탎","Tr 8 : 100 mA : 100 탎","Tr 9 : 100 mA : 150 탎","Tr 10 : 100 mA : 200 탎","Tr 11 : 100 mA : 200 탎"
,10.681152344,-15.258789063,44.250488281,12.969970703,12.207031250,11.444091797,-2.288818359,38.909912109,7.629394531,6.866455078,-31.280517578
,7.629394531,-17.547607422,44.250488281,12.969970703,12.207031250,9.155273438,0.000000000,36.621093750,9.155273438,4.577636719,-29.754638672
,4.577636719,-20.599365234,43.487548828,12.969970703,12.969970703,6.866455078,0.762939453,34.332275391,11.444091797,2.288818359,-28.228759766
,3.051757813,-21.362304688,41.961669922,12.969970703,13.732910156,5.340576172,0.000000000,31.280517578,12.207031250,-0.762939453,-25.177001953
,0.762939453,-22.125244141,40.435791016,11.444091797,14.495849609,2.288818359,0.000000000,27.465820313,14.495849609,-3.051757813,-22.125244141
,0.762939453,-24.414062500,38.909912109,9.918212891,15.258789063,1.525878906,-2.288818359,24.414062500,16.021728516,-5.340576172,-19.836425781
,0.000000000,-24.414062500,38.146972656,8.392333984,15.258789063,1.525878906,-4.577636719,20.599365234,16.021728516,-5.340576172,-18.310546875
,-0.762939453,-25.177001953,37.384033203,6.103515625,15.258789063,0.000000000,-9.155273438,18.310546875,16.021728516,-6.103515625,-18.310546875
,0.000000000,-25.939941406,38.146972656,5.340576172,14.495849609,0.762939453,-14.495849609,16.021728516,14.495849609,-6.103515625,-18.310546875
,-0.762939453,-25.177001953,38.146972656,5.340576172,12.969970703,0.762939453,-19.836425781,14.495849609,12.207031250,-6.103515625,-18.310546875
,0.000000000,-25.177001953,38.146972656,3.814697266,12.969970703,0.000000000,-24.414062500,15.258789063,10.681152344,-7.629394531,-17.547607422
,2.288818359,-24.414062500,38.909912109,3.051757813,10.681152344,0.762939453,-28.228759766,17.547607422,9.155273438,-8.392333984,-15.258789063
,4.577636719,-22.888183594,39.672851563,1.525878906,9.155273438,1.525878906,-28.991699219,19.073486328,6.866455078,-10.681152344,-13.732910156
,8.392333984,-20.599365234,40.435791016,0.000000000,8.392333984,2.288818359,-29.754638672,20.599365234,6.866455078,-11.444091797,-12.969970703
,10.681152344,-19.073486328,40.435791016,-0.762939453,6.103515625,3.051757813,-29.754638672,20.599365234,6.103515625,-12.207031250,-12.207031250
,11.444091797,-17.547607422,39.672851563,-0.762939453,5.340576172,4.577636719,-29.754638672,20.599365234,5.340576172,-13.732910156,-11.444091797
,11.444091797,-16.784667969,37.384033203,-0.762939453,5.340576172,4.577636719,-31.280517578,20.599365234,5.340576172,-13.732910156,-9.918212891
,9.918212891,-16.021728516,35.858154297,-0.762939453,3.814697266,4.577636719,-32.043457031,21.362304688,5.340576172,-16.021728516,-7.629394531
,8.392333984,-16.021728516,33.569335938,-1.525878906,3.051757813,4.577636719,-32.043457031,22.125244141,4.577636719,-19.073486328,-5.340576172
,6.103515625,-16.021728516,30.517578125,-3.051757813,0.762939453,3.051757813,-31.280517578,22.888183594,4.577636719,-21.362304688,-3.814697266
,3.814697266,-18.310546875,27.465820313,-5.340576172,-0.762939453,1.525878906,-28.991699219,23.651123047,4.577636719,-23.651123047,-2.288818359
,1.525878906,-20.599365234,25.177001953,-6.103515625,-1.525878906,0.000000000,-28.228759766,23.651123047,4.577636719,-24.414062500,-0.762939453
,0.762939453,-22.888183594,22.888183594,-6.103515625,-2.288818359,-2.288818359,-26.702880859,22.125244141,5.340576172,-25.177001953,1.525878906
,0.000000000,-25.177001953,21.362304688,-6.103515625,-3.051757813,-4.577636719,-25.177001953,19.836425781,4.577636719,-24.414062500,4.577636719
,0.000000000,-26.702880859,21.362304688,-5.340576172,-3.051757813,-6.103515625,-24.414062500,19.073486328,3.814697266,-22.888183594,8.392333984
,-0.762939453,-25.939941406,20.599365234,-5.340576172,-2.288818359,-6.866455078,-22.888183594,17.547607422,2.288818359,-22.125244141,12.969970703
,-0.762939453,-25.939941406,19.073486328,-5.340576172,-3.051757813,-8.392333984,-21.362304688,16.784667969,0.762939453,-20.599365234,16.021728516
,-0.762939453,-26.702880859,19.073486328,-4.577636719,-3.051757813,-9.918212891,-19.836425781,16.784667969,-0.762939453,-20.599365234,19.073486328
,0.000000000,-27.465820313,18.310546875,-3.814697266,-3.814697266,-11.444091797,-18.310546875,15.258789063,-2.288818359,-21.362304688,20.599365234
,-0.762939453,-29.754638672,17.547607422,-1.525878906,-5.340576172,-13.732910156,-16.784667969,13.732910156,-5.340576172,-20.599365234,20.599365234
,-1.525878906,-31.280517578,17.547607422,0.762939453,-5.340576172,-12.969970703,-15.258789063,12.207031250,-6.103515625,-19.836425781,20.599365234
,-2.288818359,-32.806396484,15.258789063,5.340576172,-5.340576172,-12.207031250,-13.732910156,9.918212891,-9.155273438,-18.310546875,19.836425781
,-3.051757813,-33.569335938,13.732910156,8.392333984,-6.103515625,-11.444091797,-12.207031250,8.392333984,-10.681152344,-16.784667969,19.836425781
,-3.051757813,-32.043457031,11.444091797,10.681152344,-6.103515625,-10.681152344,-11.444091797,6.866455078,-11.444091797,-16.021728516,19.836425781
,-3.051757813,-32.043457031,9.155273438,12.969970703,-5.340576172,-11.444091797,-9.918212891,6.103515625,-12.207031250,-14.495849609,20.599365234
,-3.051757813,-32.043457031,8.392333984,12.969970703,-4.577636719,-12.207031250,-9.155273438,4.577636719,-12.207031250,-12.207031250,21.362304688
,-3.814697266,-32.043457031,7.629394531,13.732910156,-2.288818359,-12.969970703,-8.392333984,4.577636719,-12.969970703,-10.681152344,22.125244141
,-4.577636719,-32.806396484,8.392333984,14.495849609,0.762939453,-12.207031250,-6.103515625,4.577636719,-13.732910156,-8.392333984,22.888183594
,-6.103515625,-32.806396484,8.392333984,15.258789063,4.577636719,-10.681152344,-3.051757813,5.340576172,-15.258789063,-6.866455078,23.651123047
,-7.629394531,-32.806396484,9.155273438,16.021728516,6.866455078,-9.155273438,0.000000000,6.103515625,-16.784667969,-5.340576172,23.651123047
,-6.866455078,-32.043457031,9.918212891,16.784667969,8.392333984,-7.629394531,3.814697266,7.629394531,-19.073486328,-3.051757813,25.177001953
,-5.340576172,-30.517578125,10.681152344,17.547607422,7.629394531,-6.103515625,6.866455078,9.155273438,-21.362304688,-0.762939453,25.939941406
,-4.577636719,-29.754638672,12.207031250,17.547607422,7.629394531,-5.340576172,9.155273438,9.918212891,-24.414062500,0.000000000,27.465820313
,-2.288818359,-27.465820313,11.444091797,19.073486328,7.629394531,-5.340576172,9.918212891,10.681152344,-26.702880859,1.525878906,28.228759766
,-1.525878906,-25.177001953,11.444091797,21.362304688,9.155273438,-4.577636719,11.444091797,10.681152344,-30.517578125,1.525878906,28.228759766
,0.000000000,-22.888183594,9.918212891,22.888183594,11.444091797,-4.577636719,12.969970703,9.918212891,-32.806396484,0.762939453,28.991699219
,3.051757813,-20.599365234,9.155273438,25.177001953,14.495849609,-3.814697266,16.021728516,9.155273438,-34.332275391,0.762939453,28.991699219
,7.629394531,-16.784667969,9.155273438,25.939941406,16.021728516,-2.288818359,18.310546875,7.629394531,-37.384033203,1.525878906,29.754638672
,11.444091797,-14.495849609,9.155273438,25.939941406,17.547607422,0.000000000,19.073486328,8.392333984,-37.384033203,1.525878906,29.754638672
,15.258789063,-11.444091797,7.629394531,28.228759766,19.073486328,2.288818359,19.073486328,8.392333984,-39.672851563,1.525878906,30.517578125
,16.784667969,-8.392333984,6.866455078,29.754638672,19.836425781,5.340576172,19.836425781,7.629394531,-39.672851563,0.762939453,30.517578125
,18.310546875,-7.629394531,4.577636719,31.280517578,20.599365234,7.629394531,20.599365234,7.629394531,-37.384033203,0.000000000,30.517578125
,19.073486328,-6.103515625,3.051757813,32.806396484,21.362304688,9.918212891,23.651123047,7.629394531,-35.858154297,0.000000000,30.517578125
,19.073486328,-4.577636719,1.525878906,33.569335938,21.362304688,11.444091797,26.702880859,7.629394531,-32.806396484,0.000000000,29.754638672
,19.073486328,-3.814697266,0.000000000,35.095214844,21.362304688,12.207031250,30.517578125,8.392333984,-32.806396484,1.525878906,27.465820313
,19.836425781,-1.525878906,-1.525878906,35.858154297,22.888183594,13.732910156,34.332275391,8.392333984,-33.569335938,3.814697266,26.702880859
,21.362304688,-0.762939453,-3.051757813,38.146972656,24.414062500,14.495849609,36.621093750,9.155273438,-35.095214844,6.866455078,24.414062500
,22.888183594,0.000000000,-5.340576172,40.435791016,25.939941406,16.021728516,38.909912109,8.392333984,-37.384033203,9.918212891,21.362304688
,25.939941406,2.288818359,-6.866455078,42.724609375,28.991699219,17.547607422,39.672851563,8.392333984,-37.384033203,12.969970703,19.836425781
,27.465820313,3.051757813,-7.629394531,44.250488281,30.517578125,18.310546875,41.961669922,7.629394531,-37.384033203,16.021728516,18.310546875
,28.228759766,4.577636719,-7.629394531,45.776367188,32.043457031,19.073486328,45.013427734,6.866455078,-38.909912109,19.073486328,16.021728516
,28.991699219,6.103515625,-6.866455078,46.539306641,35.095214844,19.836425781,48.065185547,6.103515625,-38.909912109,19.836425781,16.021728516
,29.754638672,6.866455078,-6.866455078,47.302246094,38.146972656,19.836425781,51.879882813,6.103515625,-40.435791016,19.073486328,14.495849609
,30.517578125,8.392333984,-6.103515625,48.065185547,40.435791016,20.599365234,54.931640625,6.103515625,-43.487548828,17.547607422,12.969970703
,32.806396484,11.444091797,-6.103515625,48.065185547,41.961669922,21.362304688,54.931640625,5.340576172,-45.013427734,16.021728516,11.444091797
,36.621093750,13.732910156,-6.103515625,47.302246094,42.724609375,22.888183594,54.931640625,6.103515625,-47.302246094,14.495849609,9.155273438
,39.672851563,18.310546875,-5.340576172,46.539306641,43.487548828,25.939941406,53.405761719,4.577636719,-48.828125000,13.732910156,7.629394531
,44.250488281,21.362304688,-5.340576172,44.250488281,43.487548828,28.991699219,51.879882813,4.577636719,-48.828125000,13.732910156,6.866455078
,47.302246094,25.177001953,-4.577636719,42.724609375,43.487548828,32.043457031,51.879882813,5.340576172,-50.354003906,12.969970703,5.340576172
,49.591064453,29.754638672,-3.814697266,41.198730469,41.961669922,35.095214844,52.642822266,6.103515625,-51.879882813,12.207031250,3.814697266
,52.642822266,32.043457031,-3.051757813,40.435791016,40.435791016,36.621093750,54.168701172,9.155273438,-53.405761719,12.207031250,2.288818359
,54.168701172,35.095214844,-2.288818359,41.198730469,39.672851563,37.384033203,54.168701172,10.681152344,-55.694580078,12.207031250,1.525878906
,57.220458984,36.621093750,-0.762939453,41.198730469,38.909912109,38.146972656,54.168701172,11.444091797,-57.983398438,13.732910156,2.288818359
,58.746337891,37.384033203,0.000000000,41.198730469,38.909912109,38.909912109,53.405761719,12.969970703,-59.509277344,14.495849609,2.288818359
,61.035156250,38.909912109,0.762939453,41.198730469,39.672851563,39.672851563,51.879882813,13.732910156,-61.798095703,15.258789063,1.525878906
,64.849853516,38.909912109,3.051757813,40.435791016,39.672851563,40.435791016,51.879882813,16.021728516,-63.323974609,16.021728516,0.762939453
,66.375732422,39.672851563,5.340576172,38.909912109,39.672851563,40.435791016,52.642822266,19.073486328,-64.086914063,15.258789063,0.000000000
,69.427490234,39.672851563,6.103515625,38.146972656,40.435791016,40.435791016,54.168701172,22.125244141,-64.086914063,14.495849609,1.525878906
,70.190429688,38.909912109,6.866455078,38.146972656,38.909912109,39.672851563,56.457519531,26.702880859,-64.086914063,12.207031250,3.814697266
,70.190429688,38.146972656,8.392333984,38.146972656,38.909912109,38.909912109,57.220458984,29.754638672,-64.849853516,10.681152344,5.340576172
,70.953369141,38.146972656,10.681152344,37.384033203,38.146972656,38.146972656,56.457519531,32.806396484,-64.849853516,7.629394531,7.629394531
,72.479248047,38.146972656,14.495849609,36.621093750,36.621093750,37.384033203,55.694580078,35.095214844,-64.849853516,5.340576172,8.392333984
,75.531005859,38.909912109,16.784667969,35.095214844,36.621093750,36.621093750,53.405761719,35.858154297,-64.849853516,3.814697266,9.155273438
,80.108642578,38.146972656,18.310546875,33.569335938,35.095214844,37.384033203,51.879882813,36.621093750,-63.323974609,2.288818359,8.392333984
,83.923339844,38.146972656,19.073486328,32.043457031,35.095214844,36.621093750,51.116943359,37.384033203,-61.798095703,0.000000000,6.866455078
,87.738037109,36.621093750,19.073486328,29.754638672,34.332275391,38.146972656,51.116943359,38.146972656,-60.272216797,0.000000000,3.814697266
,89.263916016,36.621093750,19.073486328,27.465820313,32.806396484,38.909912109,51.116943359,40.435791016,-58.746337891,-2.288818359,0.762939453
,89.263916016,37.384033203,19.073486328,25.177001953,32.043457031,39.672851563,50.354003906,41.961669922,-57.983398438,-3.814697266,0.000000000
,90.789794922,36.621093750,19.073486328,22.888183594,31.280517578,40.435791016,48.828125000,43.487548828,-57.983398438,-3.814697266,0.000000000
,92.315673828,35.858154297,19.073486328,20.599365234,28.991699219,38.909912109,47.302246094,45.013427734,-56.457519531,-5.340576172,0.000000000
,94.604492188,34.332275391,19.836425781,18.310546875,27.465820313,38.146972656,45.776367188,45.776367188,-55.694580078,-6.866455078,0.000000000
,96.130371094,32.043457031,22.125244141,16.784667969,25.939941406,35.858154297,45.776367188,48.065185547,-54.931640625,-7.629394531,-1.525878906
,96.130371094,31.280517578,24.414062500,15.258789063,24.414062500,34.332275391,45.013427734,48.828125000,-54.168701172,-9.918212891,-2.288818359
,96.130371094,30.517578125,26.702880859,14.495849609,24.414062500,32.806396484,44.250488281,51.116943359,-53.405761719,-12.207031250,-3.051757813
,96.130371094,29.754638672,29.754638672,13.732910156,23.651123047,31.280517578,42.724609375,54.168701172,-52.642822266,-14.495849609,-3.051757813
,96.130371094,28.228759766,32.806396484,12.207031250,22.125244141,31.280517578,40.435791016,57.983398438,-52.642822266,-17.547607422,-3.051757813
,96.130371094,26.702880859,35.858154297,11.444091797,20.599365234,30.517578125,38.146972656,61.798095703,-52.642822266,-19.073486328,-1.525878906
,93.841552734,23.651123047,38.146972656,9.918212891,17.547607422,28.991699219,36.621093750,65.612792969,-52.642822266,-20.599365234,0.000000000
,91.552734375,21.362304688,39.672851563,9.155273438,15.258789063,27.465820313,35.095214844,67.901611328,-52.642822266,-21.362304688,1.525878906
,87.738037109,19.073486328,39.672851563,8.392333984,12.969970703,25.177001953,34.332275391,69.427490234,-51.879882813,-22.125244141,3.051757813
,82.397460938,16.021728516,40.435791016,7.629394531,10.681152344,22.888183594,34.332275391,69.427490234,-50.354003906,-24.414062500,3.051757813
,77.056884766,12.969970703,41.198730469,7.629394531,9.918212891,22.888183594,33.569335938,70.190429688,-49.591064453,-25.939941406,2.288818359
,73.242187500,11.444091797,41.961669922,7.629394531,8.392333984,20.599365234,32.806396484,70.953369141,-48.828125000,-27.465820313,0.762939453
,70.190429688,9.918212891,41.198730469,7.629394531,8.392333984,18.310546875,32.043457031,71.716308594,-49.591064453,-28.991699219,0.762939453
,68.664550781,7.629394531,41.961669922,7.629394531,7.629394531,16.021728516,31.280517578,74.005126953,-50.354003906,-28.228759766,0.762939453
,67.138671875,6.103515625,41.198730469,8.392333984,6.103515625,12.207031250,31.280517578,76.293945313,-49.591064453,-28.228759766,0.762939453
,64.849853516,3.814697266,41.198730469,8.392333984,5.340576172,9.918212891,32.043457031,77.819824219,-49.591064453,-26.702880859,2.288818359
,61.798095703,2.288818359,42.724609375,9.155273438,4.577636719,8.392333984,33.569335938,80.108642578,-48.828125000,-25.939941406,3.814697266
,58.746337891,1.525878906,41.961669922,9.918212891,3.814697266,8.392333984,35.095214844,80.871582031,-47.302246094,-25.939941406,5.340576172
,54.931640625,-0.762939453,42.724609375,10.681152344,4.577636719,8.392333984,36.621093750,80.871582031,-46.539306641,-26.702880859,7.629394531
,51.879882813,-3.051757813,41.961669922,10.681152344,6.103515625,8.392333984,38.146972656,81.634521484,-45.776367188,-28.228759766,10.681152344
,48.828125000,-6.866455078,41.198730469,9.918212891,7.629394531,8.392333984,39.672851563,83.160400391,-44.250488281,-28.991699219,12.969970703
,45.013427734,-9.918212891,41.198730469,9.155273438,9.918212891,7.629394531,39.672851563,83.923339844,-42.724609375,-30.517578125,15.258789063
,41.198730469,-11.444091797,38.909912109,6.866455078,9.918212891,6.866455078,39.672851563,84.686279297,-41.198730469,-31.280517578,16.784667969
,38.146972656,-12.969970703,38.146972656,5.340576172,10.681152344,6.103515625,39.672851563,83.160400391,-38.909912109,-32.043457031,17.547607422
,35.858154297,-12.969970703,36.621093750,3.814697266,9.155273438,6.103515625,41.198730469,82.397460938,-37.384033203,-33.569335938,18.310546875
,34.332275391,-12.969970703,35.095214844,1.525878906,8.392333984,6.866455078,41.961669922,82.397460938,-35.858154297,-36.621093750,20.599365234
,35.095214844,-13.732910156,35.095214844,0.000000000,7.629394531,7.629394531,42.724609375,82.397460938,-35.095214844,-38.909912109,21.362304688
,36.621093750,-12.207031250,35.095214844,-1.525878906,6.866455078,7.629394531,43.487548828,81.634521484,-35.095214844,-41.961669922,22.125244141
,37.384033203,-10.681152344,34.332275391,-3.814697266,6.103515625,6.103515625,42.724609375,80.871582031,-36.621093750,-43.487548828,22.888183594
,39.672851563,-9.155273438,35.095214844,-5.340576172,5.340576172,5.340576172,41.961669922,79.345703125,-38.146972656,-43.487548828,22.888183594
,41.961669922,-5.340576172,35.095214844,-6.103515625,3.051757813,4.577636719,41.198730469,77.819824219,-39.672851563,-44.250488281,23.651123047
,41.961669922,-3.051757813,35.095214844,-6.103515625,1.525878906,4.577636719,40.435791016,76.293945313,-39.672851563,-45.013427734,25.177001953
,41.961669922,-0.762939453,34.332275391,-5.340576172,0.000000000,5.340576172,40.435791016,75.531005859,-38.909912109,-45.776367188,26.702880859
,40.435791016,0.000000000,32.806396484,-3.814697266,-1.525878906,6.103515625,41.198730469,76.293945313,-38.146972656,-48.065185547,28.228759766
,38.909912109,-1.525878906,30.517578125,-3.814697266,-2.288818359,5.340576172,41.198730469,76.293945313,-38.146972656,-50.354003906,29.754638672
,38.146972656,-3.051757813,28.228759766,-2.288818359,-4.577636719,3.814697266,41.961669922,77.056884766,-38.909912109,-52.642822266,30.517578125
,37.384033203,-6.103515625,25.939941406,-2.288818359,-6.103515625,1.525878906,42.724609375,75.531005859,-39.672851563,-54.168701172,32.043457031
,36.621093750,-8.392333984,24.414062500,-2.288818359,-6.103515625,-0.762939453,43.487548828,74.768066406,-41.198730469,-54.931640625,34.332275391
,33.569335938,-9.155273438,22.125244141,-1.525878906,-6.103515625,-2.288818359,44.250488281,73.242187500,-41.198730469,-55.694580078,36.621093750
,31.280517578,-11.444091797,20.599365234,-1.525878906,-6.103515625,-3.051757813,46.539306641,70.953369141,-41.961669922,-56.457519531,40.435791016
,28.228759766,-10.681152344,19.073486328,-2.288818359,-5.340576172,-3.051757813,48.065185547,69.427490234,-41.961669922,-57.983398438,43.487548828
,25.177001953,-11.444091797,17.547607422,-3.051757813,-6.103515625,-3.814697266,50.354003906,66.375732422,-43.487548828,-57.983398438,45.776367188
,24.414062500,-14.495849609,16.021728516,-3.814697266,-6.866455078,-4.577636719,52.642822266,63.323974609,-44.250488281,-57.983398438,47.302246094
,23.651123047,-16.784667969,14.495849609,-4.577636719,-7.629394531,-6.103515625,54.931640625,61.798095703,-45.776367188,-57.983398438,47.302246094
,22.888183594,-19.836425781,12.969970703,-4.577636719,-8.392333984,-7.629394531,56.457519531,58.746337891,-46.539306641,-57.983398438,46.539306641
,22.125244141,-22.125244141,12.207031250,-3.051757813,-8.392333984,-9.155273438,57.983398438,57.983398438,-46.539306641,-57.983398438,46.539306641
,21.362304688,-20.599365234,10.681152344,-0.762939453,-8.392333984,-9.918212891,59.509277344,57.220458984,-48.065185547,-58.746337891,46.539306641
,20.599365234,-19.836425781,9.918212891,0.762939453,-8.392333984,-11.444091797,60.272216797,54.931640625,-49.591064453,-58.746337891,47.302246094
,20.599365234,-16.784667969,9.918212891,4.577636719,-6.866455078,-11.444091797,62.561035156,54.168701172,-51.879882813,-57.983398438,48.065185547
,20.599365234,-15.258789063,9.155273438,6.103515625,-6.866455078,-10.681152344,64.086914063,51.116943359,-55.694580078,-56.457519531,48.828125000
,21.362304688,-15.258789063,9.918212891,8.392333984,-6.103515625,-9.918212891,66.375732422,49.591064453,-58.746337891,-54.931640625,49.591064453
,20.599365234,-16.021728516,9.155273438,9.918212891,-5.340576172,-8.392333984,69.427490234,48.828125000,-61.798095703,-51.879882813,50.354003906
,21.362304688,-16.784667969,9.155273438,12.207031250,-3.814697266,-7.629394531,71.716308594,47.302246094,-64.086914063,-50.354003906,51.879882813
,20.599365234,-17.547607422,9.918212891,15.258789063,-0.762939453,-6.866455078,74.768066406,47.302246094,-64.849853516,-48.828125000,53.405761719
,19.836425781,-19.073486328,8.392333984,16.784667969,1.525878906,-6.866455078,77.819824219,47.302246094,-64.849853516,-48.065185547,54.931640625
,19.073486328,-19.836425781,9.155273438,17.547607422,4.577636719,-6.866455078,79.345703125,47.302246094,-66.375732422,-48.065185547,54.168701172
,18.310546875,-19.073486328,9.155273438,17.547607422,6.866455078,-7.629394531,80.871582031,48.828125000,-67.901611328,-47.302246094,51.879882813
,17.547607422,-18.310546875,7.629394531,16.021728516,9.155273438,-7.629394531,81.634521484,48.065185547,-70.190429688,-47.302246094,49.591064453
,19.073486328,-16.784667969,9.155273438,16.784667969,9.918212891,-6.866455078,82.397460938,47.302246094,-72.479248047,-45.776367188,47.302246094
,21.362304688,-15.258789063,8.392333984,16.784667969,11.444091797,-6.103515625,83.160400391,45.776367188,-74.005126953,-43.487548828,45.013427734
,24.414062500,-14.495849609,8.392333984,16.784667969,11.444091797,-5.340576172,84.686279297,44.250488281,-75.531005859,-41.961669922,44.250488281
,27.465820313,-12.969970703,9.918212891,17.547607422,11.444091797,-3.051757813,85.449218750,43.487548828,-77.819824219,-39.672851563,43.487548828
,30.517578125,-9.155273438,9.918212891,18.310546875,11.444091797,-1.525878906,86.975097656,42.724609375,-80.108642578,-38.909912109,43.487548828
,32.043457031,-5.340576172,9.155273438,19.073486328,12.969970703,0.000000000,88.500976563,42.724609375,-81.634521484,-38.909912109,44.250488281
,35.095214844,-1.525878906,6.866455078,20.599365234,13.732910156,2.288818359,91.552734375,43.487548828,-82.397460938,-37.384033203,45.776367188
,38.146972656,2.288818359,3.814697266,21.362304688,15.258789063,3.051757813,93.841552734,41.961669922,-83.160400391,-37.384033203,46.539306641
,39.672851563,5.340576172,1.525878906,22.888183594,16.784667969,4.577636719,96.130371094,39.672851563,-81.634521484,-36.621093750,46.539306641
,41.961669922,7.629394531,0.000000000,25.939941406,18.310546875,6.103515625,97.656250000,38.909912109,-81.634521484,-35.858154297,45.013427734
,42.724609375,9.155273438,-0.762939453,28.991699219,19.836425781,6.866455078,99.945068359,36.621093750,-81.634521484,-35.095214844,44.250488281
,41.198730469,9.918212891,-2.288818359,32.806396484,20.599365234,9.155273438,101.470947266,35.858154297,-80.871582031,-33.569335938,42.724609375
,40.435791016,9.918212891,-4.577636719,36.621093750,21.362304688,11.444091797,104.522705078,35.095214844,-80.871582031,-31.280517578,42.724609375
,40.435791016,9.155273438,-6.103515625,38.909912109,22.125244141,12.207031250,107.574462891,32.806396484,-79.345703125,-28.991699219,41.961669922
,40.435791016,9.918212891,-6.866455078,41.961669922,22.125244141,13.732910156,109.100341797,31.280517578,-77.819824219,-25.939941406,40.435791016
,41.198730469,10.681152344,-8.392333984,42.724609375,24.414062500,15.258789063,111.389160156,28.991699219,-77.056884766,-23.651123047,38.146972656
,43.487548828,11.444091797,-9.155273438,42.724609375,26.702880859,16.021728516,113.677978516,26.702880859,-76.293945313,-22.125244141,35.095214844
,44.250488281,12.207031250,-9.155273438,42.724609375,28.228759766,17.547607422,115.966796875,24.414062500,-77.819824219,-19.836425781,32.043457031
,46.539306641,12.207031250,-9.918212891,41.961669922,30.517578125,17.547607422,118.255615234,22.125244141,-79.345703125,-18.310546875,28.991699219
,48.828125000,12.969970703,-9.918212891,42.724609375,31.280517578,18.310546875,121.307373047,20.599365234,-80.871582031,-16.021728516,26.702880859
,50.354003906,14.495849609,-9.155273438,42.724609375,32.806396484,19.073486328,123.596191406,21.362304688,-83.160400391,-14.495849609,25.939941406
,51.879882813,17.547607422,-8.392333984,43.487548828,33.569335938,19.836425781,125.122070313,22.125244141,-84.686279297,-13.732910156,25.939941406
,53.405761719,21.362304688,-8.392333984,44.250488281,35.095214844,22.125244141,126.647949219,22.888183594,-86.212158203,-13.732910156,25.939941406
,56.457519531,25.177001953,-7.629394531,45.013427734,36.621093750,24.414062500,127.410888672,23.651123047,-87.738037109,-15.258789063,26.702880859
,59.509277344,29.754638672,-7.629394531,45.013427734,37.384033203,26.702880859,126.647949219,22.125244141,-88.500976563,-16.784667969,26.702880859
,63.323974609,33.569335938,-6.866455078,45.013427734,38.909912109,29.754638672,126.647949219,22.125244141,-88.500976563,-17.547607422,26.702880859
,66.375732422,36.621093750,-5.340576172,45.013427734,39.672851563,32.806396484,125.885009766,21.362304688,-89.263916016,-18.310546875,25.939941406
,69.427490234,40.435791016,-3.814697266,45.013427734,39.672851563,35.095214844,125.122070313,21.362304688,-89.263916016,-18.310546875,25.939941406
,70.953369141,44.250488281,-2.288818359,45.776367188,38.146972656,36.621093750,125.122070313,22.888183594,-89.263916016,-18.310546875,25.939941406
,71.716308594,46.539306641,-0.762939453,46.539306641,37.384033203,38.909912109,125.122070313,22.888183594,-90.026855469,-19.073486328,25.177001953
,73.242187500,48.065185547,0.762939453,46.539306641,35.858154297,41.198730469,124.359130859,23.651123047,-89.263916016,-19.836425781,23.651123047
,74.005126953,48.828125000,2.288818359,45.776367188,35.095214844,44.250488281,124.359130859,23.651123047,-87.738037109,-21.362304688,22.888183594
,76.293945313,48.828125000,4.577636719,45.013427734,35.095214844,47.302246094,123.596191406,22.888183594,-86.975097656,-23.651123047,23.651123047
,77.056884766,48.828125000,6.866455078,43.487548828,35.858154297,48.065185547,123.596191406,23.651123047,-86.975097656,-25.177001953,24.414062500
,77.819824219,48.828125000,9.155273438,41.198730469,36.621093750,46.539306641,122.833251953,24.414062500,-86.975097656,-25.177001953,25.939941406
,77.056884766,50.354003906,11.444091797,40.435791016,38.146972656,45.013427734,122.070312500,25.939941406,-87.738037109,-25.939941406,26.702880859
,75.531005859,51.116943359,13.732910156,38.909912109,38.909912109,42.724609375,121.307373047,28.228759766,-89.263916016,-25.939941406,26.702880859
,74.005126953,51.116943359,13.732910156,37.384033203,38.909912109,41.198730469,121.307373047,30.517578125,-89.263916016,-26.702880859,28.228759766
,71.716308594,51.116943359,13.732910156,36.621093750,38.146972656,41.198730469,121.307373047,32.806396484,-90.026855469,-28.991699219,28.228759766
,69.427490234,51.116943359,13.732910156,35.095214844,37.384033203,41.198730469,120.544433594,35.858154297,-90.026855469,-32.043457031,28.991699219
,67.138671875,51.879882813,13.732910156,33.569335938,36.621093750,41.961669922,119.781494141,38.146972656,-90.026855469,-34.332275391,30.517578125
,64.849853516,51.879882813,14.495849609,32.043457031,35.858154297,42.724609375,119.018554688,39.672851563,-88.500976563,-36.621093750,30.517578125
,61.798095703,52.642822266,14.495849609,31.280517578,35.095214844,41.961669922,116.729736328,40.435791016,-86.975097656,-37.384033203,30.517578125
,58.746337891,51.879882813,14.495849609,29.754638672,34.332275391,41.198730469,114.440917969,41.198730469,-83.923339844,-38.146972656,28.991699219
,57.220458984,49.591064453,14.495849609,28.228759766,32.043457031,40.435791016,110.626220703,41.961669922,-80.108642578,-39.672851563,27.465820313
