Test Name,H-Reflex Inc-Dec
Test Item,Left Increasing -> M-max
Patient Name,"week5  s2811mytb"
Patient ID,
Test Date,6/4/2019
Trace Label,"Tr 1 : 0 mA","Tr 2 : 0 mA","Tr 3 : 11 mA","Tr 4 : 14.5 mA","Tr 5 : 30 mA","Tr 6 : 30 mA","Tr 7 : 30 mA","Tr 8 : 46 mA","Tr 9 : 52 mA","Tr 10 : 62 mA","Tr 11 : 100 mA","Tr 12 : 100 mA","Tr 13 : 100 mA","Tr 14 : 100 mA","Tr 15 : 100 mA","Tr 16 : 100 mA","Tr 17 : 100 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),42.724609375,-6.103515625,9650.421142578,13212.585449219,4141.235351563,14098.358154297,8767.700195313,17343.139648438,15901.184082031,7566.833496094,8449.554443359,6823.730468750,10192.871093750,13160.705566406,8396.148681641,15553.283691406,11092.376708984
,0.000000000,-12.969970703,-190.734863281,-240.325927734,-564.575195313,-357.818603516,-309.753417969,332.641601563,752.258300781,1106.262207031,2295.684814453,2198.028564453,2229.309082031,2137.756347656,2077.484130859,2225.494384766,2277.374267578
,0.000000000,-12.969970703,-185.394287109,-236.511230469,-554.656982422,-357.818603516,-303.649902344,391.387939453,846.099853516,1226.043701172,2453.613281250,2349.090576172,2388.763427734,2304.840087891,2259.063720703,2394.866943359,2439.880371094
,-0.762939453,-13.732910156,-180.816650391,-234.222412109,-546.264648438,-357.818603516,-297.546386719,449.371337891,938.415527344,1346.588134766,2605.438232422,2494.812011719,2544.403076172,2469.635009766,2436.828613281,2560.424804688,2599.334716797
,-1.525878906,-14.495849609,-175.476074219,-231.933593750,-539.398193359,-357.818603516,-292.968750000,506.591796875,1030.731201172,1466.369628906,2751.922607422,2636.718750000,2695.465087891,2632.141113281,2609.252929688,2722.167968750,2756.500244141
,-1.525878906,-14.495849609,-170.135498047,-230.407714844,-532.531738281,-356.292724609,-287.628173828,565.338134766,1123.046875000,1586.914062500,2893.829345703,2773.284912109,2838.897705078,2789.306640625,2776.336669922,2877.044677734,2904.510498047
,-2.288818359,-14.495849609,-165.557861328,-228.118896484,-526.428222656,-353.240966797,-284.576416016,623.321533203,1213.836669922,1709.747314453,3028.106689453,2903.747558594,2974.700927734,2938.842773438,2937.316894531,3023.529052734,3044.891357422
,-1.525878906,-13.732910156,-160.980224609,-225.067138672,-519.561767578,-350.952148438,-280.761718750,679.779052734,1303.100585938,1832.580566406,3153.228759766,3028.106689453,3100.585937500,3077.697753906,3087.615966797,3159.332275391,3172.302246094
,0.000000000,-12.207031250,-157.165527344,-223.541259766,-511.169433594,-348.663330078,-278.472900391,733.947753906,1391.601562500,1956.939697266,3267.669677734,3145.599365234,3218.078613281,3203.582763672,3224.182128906,3283.691406250,3287.506103516
,0.762939453,-12.207031250,-154.113769531,-221.252441406,-502.777099609,-347.137451172,-275.421142578,784.301757813,1479.339599609,2080.535888672,3371.429443359,3255.462646484,3324.127197266,3316.497802734,3344.726562500,3395.843505859,3392.028808594
,2.288818359,-12.207031250,-150.299072266,-218.963623047,-495.147705078,-344.848632813,-271.606445313,831.604003906,1564.788818359,2201.843261719,3466.033935547,3357.696533203,3420.257568359,3419.494628906,3448.486328125,3496.551513672,3485.870361328
,2.288818359,-11.444091797,-148.010253906,-216.674804688,-487.518310547,-341.796875000,-267.791748047,875.854492188,1647.949218750,2321.624755859,3551.483154297,3453.063964844,3506.469726563,3512.573242188,3538.513183594,3590.393066406,3572.845458984
,1.525878906,-10.681152344,-144.958496094,-213.623046875,-479.125976563,-338.745117188,-262.451171875,916.290283203,1728.057861328,2439.117431641,3631.591796875,3540.039062500,3583.526611328,3599.548339844,3619.384765625,3678.131103516,3654.479980469
,0.000000000,-8.392333984,-141.906738281,-209.808349609,-469.207763672,-334.167480469,-256.347656250,954.437255859,1804.351806641,2554.321289063,3707.122802734,3619.384765625,3654.479980469,3679.656982422,3694.152832031,3762.817382813,3731.536865234
,0.000000000,-5.340576172,-138.092041016,-205.993652344,-457.763671875,-331.878662109,-251.770019531,989.532470703,1876.831054688,2664.947509766,3778.076171875,3694.152832031,3719.329833984,3755.187988281,3765.106201172,3842.926025391,3805.541992188
,0.000000000,-2.288818359,-133.514404297,-202.941894531,-445.556640625,-327.301025391,-246.429443359,1024.627685547,1947.784423828,2772.521972656,3844.451904297,3762.054443359,3781.127929688,3826.141357422,3832.244873047,3916.168212891,3874.206542969
,0.000000000,0.762939453,-130.462646484,-199.127197266,-432.586669922,-323.486328125,-242.614746094,1058.959960938,2017.211914063,2875.518798828,3907.012939453,3826.904296875,3838.348388672,3890.228271484,3895.568847656,3982.543945313,3937.530517578
,0.762939453,1.525878906,-128.173828125,-196.838378906,-418.853759766,-319.671630859,-239.562988281,1094.818115234,2085.876464844,2973.937988281,3963.470458984,3888.702392578,3890.228271484,3950.500488281,3953.552246094,4039.001464844,3993.988037109
,0.762939453,2.288818359,-125.885009766,-193.023681641,-405.883789063,-314.331054688,-237.274169922,1130.676269531,2150.726318359,3067.779541016,4015.350341797,3947.448730469,3936.767578125,4002.380371094,4006.195068359,4086.303710938,4041.290283203
,1.525878906,1.525878906,-125.122070313,-189.208984375,-392.913818359,-308.990478516,-234.985351563,1165.771484375,2209.472656250,3156.280517578,4061.889648438,4002.380371094,3975.677490234,4045.867919922,4051.971435547,4127.502441406,4081.726074219
,2.288818359,0.762939453,-122.833251953,-185.394287109,-380.706787109,-305.938720703,-231.170654297,1198.577880859,2260.589599609,3238.677978516,4103.851318359,4053.497314453,4011.535644531,4084.014892578,4093.170166016,4164.886474609,4116.821289063
,3.814697266,2.288818359,-121.307373047,-182.342529297,-368.499755859,-302.124023438,-228.881835938,1226.806640625,2303.314208984,3314.208984375,4142.761230469,4099.273681641,4043.579101563,4118.347167969,4131.317138672,4204.559326172,4150.390625000
,6.866455078,3.814697266,-119.018554688,-179.290771484,-356.292724609,-299.835205078,-225.830078125,1251.220703125,2339.172363281,3382.873535156,4179.382324219,4143.524169922,4077.911376953,4152.679443359,4169.464111328,4248.809814453,4184.722900391
,9.155273438,5.340576172,-117.492675781,-177.001953125,-344.848632813,-297.546386719,-222.778320313,1272.583007813,2369.689941406,3446.197509766,4212.188720703,4186.248779297,4115.295410156,4188.537597656,4210.662841797,4299.163818359,4222.106933594
,10.681152344,5.340576172,-116.729736328,-173.187255859,-332.641601563,-292.968750000,-221.252441406,1292.419433594,2395.629882813,3504.180908203,4242.706298828,4227.447509766,4153.442382813,4227.447509766,4254.150390625,4351.806640625,4260.253906250
,12.207031250,4.577636719,-116.729736328,-170.135498047,-321.197509766,-288.391113281,-218.200683594,1308.441162109,2419.281005859,3555.297851563,4269.409179688,4267.883300781,4193.115234375,4267.120361328,4299.926757813,4404.449462891,4299.163818359
,12.969970703,4.577636719,-118.255615234,-167.083740234,-311.279296875,-284.576416016,-215.911865234,1320.648193359,2440.643310547,3598.785400391,4293.060302734,4305.267333984,4232.025146484,4307.556152344,4344.940185547,4452.514648438,4335.784912109
,14.495849609,5.340576172,-119.018554688,-164.031982422,-300.598144531,-280.761718750,-214.385986328,1327.514648438,2459.716796875,3636.169433594,4315.948486328,4341.888427734,4270.935058594,4346.466064453,4386.901855469,4495.239257813,4368.591308594
,16.784667969,7.629394531,-119.018554688,-161.743164063,-290.679931641,-276.947021484,-212.860107422,1332.092285156,2474.975585938,3667.449951172,4339.599609375,4376.983642578,4309.082031250,4382.324218750,4426.574707031,4532.623291016,4398.345947266
,19.836425781,9.918212891,-118.255615234,-160.217285156,-281.524658203,-274.658203125,-212.860107422,1335.906982422,2484.893798828,3693.389892578,4363.250732422,4409.027099609,4344.177246094,4412.841796875,4460.906982422,4563.903808594,4422.760009766
,22.125244141,11.444091797,-117.492675781,-157.165527344,-273.132324219,-272.369384766,-212.860107422,1338.195800781,2490.997314453,3714.752197266,4386.901855469,4439.544677734,4375.457763672,4438.781738281,4491.424560547,4591.369628906,4444.122314453
,25.177001953,13.732910156,-115.966796875,-154.113769531,-267.028808594,-268.554687500,-213.623046875,1342.010498047,2494.049072266,3729.248046875,4409.027099609,4467.010498047,4401.397705078,4459.381103516,4515.838623047,4611.206054688,4461.669921875
,27.465820313,15.258789063,-115.203857422,-149.536132813,-260.925292969,-265.502929688,-215.148925781,1343.536376953,2496.337890625,3736.877441406,4428.863525391,4492.187500000,4419.708251953,4473.876953125,4534.149169922,4624.176025391,4473.876953125
,28.991699219,17.547607422,-114.440917969,-145.721435547,-256.347656250,-261.688232422,-216.674804688,1340.484619141,2498.626708984,3737.640380859,4446.411132813,4512.023925781,4431.915283203,4484.558105469,4546.356201172,4630.279541016,4481.506347656
,32.043457031,20.599365234,-114.440917969,-142.669677734,-251.770019531,-257.873535156,-218.963623047,1335.906982422,2500.152587891,3733.062744141,4460.144042969,4528.045654297,4438.018798828,4488.372802734,4551.696777344,4631.042480469,4486.083984375
,34.332275391,24.414062500,-114.440917969,-141.143798828,-247.192382813,-254.821777344,-221.252441406,1327.514648438,2500.152587891,3723.144531250,4468.536376953,4537.963867188,4439.544677734,4488.372802734,4553.222656250,4630.279541016,4489.135742188
,35.858154297,26.702880859,-114.440917969,-141.143798828,-244.903564453,-251.770019531,-224.304199219,1319.122314453,2496.337890625,3708.648681641,4472.351074219,4542.541503906,4438.018798828,4487.609863281,4553.222656250,4630.279541016,4492.187500000
,36.621093750,30.517578125,-114.440917969,-141.143798828,-241.851806641,-248.718261719,-225.067138672,1312.255859375,2489.471435547,3687.286376953,4471.588134766,4544.067382813,4435.729980469,4485.321044922,4553.222656250,4632.568359375,4493.713378906
,35.858154297,33.569335938,-114.440917969,-141.906738281,-239.562988281,-246.429443359,-225.067138672,1305.389404297,2479.553222656,3659.057617188,4469.299316406,4544.067382813,4434.204101563,4483.032226563,4552.459716797,4634.857177734,4494.476318359
,34.332275391,37.384033203,-113.677978516,-142.669677734,-236.511230469,-244.140625000,-225.067138672,1295.471191406,2466.583251953,3624.725341797,4466.247558594,4544.830322266,4434.204101563,4481.506347656,4552.459716797,4633.331298828,4492.950439453
,33.569335938,41.961669922,-112.152099609,-143.432617188,-231.933593750,-241.851806641,-223.541259766,1283.264160156,2449.798583984,3585.815429688,4461.669921875,4547.119140625,4434.967041016,4477.691650391,4550.933837891,4629.516601563,4488.372802734
,33.569335938,46.539306641,-109.863281250,-144.195556641,-228.881835938,-239.562988281,-223.541259766,1267.242431641,2430.725097656,3543.853759766,4457.855224609,4549.407958984,4435.729980469,4473.876953125,4548.645019531,4620.361328125,4483.032226563
,32.806396484,50.354003906,-109.100341797,-145.721435547,-225.067138672,-238.037109375,-223.541259766,1248.168945313,2410.888671875,3500.366210938,4451.751708984,4547.882080078,4434.204101563,4469.299316406,4544.067382813,4607.391357422,4475.402832031
,32.043457031,51.879882813,-108.337402344,-146.484375000,-221.252441406,-235.748291016,-225.830078125,1229.095458984,2390.289306641,3456.878662109,4444.122314453,4541.778564453,4431.152343750,4463.958740234,4537.200927734,4590.606689453,4468.536376953
,30.517578125,53.405761719,-108.337402344,-148.010253906,-217.437744141,-233.459472656,-227.355957031,1210.021972656,2371.215820313,3414.916992188,4435.729980469,4531.860351563,4425.811767578,4456.329345703,4527.282714844,4571.533203125,4460.906982422
,30.517578125,52.642822266,-108.337402344,-148.010253906,-212.097167969,-230.407714844,-228.881835938,1192.474365234,2350.616455078,3376.770019531,4427.337646484,4515.838623047,4418.945312500,4447.174072266,4515.838623047,4551.696777344,4454.040527344
,29.754638672,52.642822266,-106.811523438,-149.536132813,-207.519531250,-226.593017578,-231.170654297,1174.163818359,2328.491210938,3340.148925781,4417.419433594,4501.342773438,4411.315917969,4437.255859375,4502.105712891,4533.386230469,4445.648193359
,30.517578125,54.168701172,-103.759765625,-151.824951172,-202.941894531,-222.015380859,-231.933593750,1155.090332031,2305.603027344,3305.053710938,4407.501220703,4489.135742188,4401.397705078,4424.285888672,4489.898681641,4515.075683594,4434.204101563
,32.043457031,54.168701172,-100.708007813,-153.350830078,-199.127197266,-218.200683594,-234.222412109,1135.253906250,2280.426025391,3270.721435547,4396.820068359,4476.928710938,4389.953613281,4410.552978516,4476.165771484,4496.765136719,4418.182373047
,32.806396484,54.931640625,-97.656250000,-154.876708984,-196.838378906,-213.623046875,-236.511230469,1113.891601563,2256.011962891,3236.389160156,4382.324218750,4464.721679688,4376.220703125,4393.005371094,4459.381103516,4475.402832031,4396.057128906
,33.569335938,54.168701172,-94.604492188,-154.876708984,-193.786621094,-209.045410156,-238.800048828,1092.529296875,2231.597900391,3202.056884766,4365.539550781,4450.988769531,4359.436035156,4370.880126953,4440.307617188,4449.462890625,4369.354248047
,34.332275391,51.879882813,-92.315673828,-152.587890625,-189.971923828,-205.230712891,-241.088867188,1069.641113281,2205.657958984,3166.961669922,4344.940185547,4432.678222656,4339.599609375,4343.414306641,4414.367675781,4419.708251953,4339.599609375
,34.332275391,49.591064453,-89.263916016,-151.062011719,-186.157226563,-201.416015625,-243.377685547,1045.227050781,2177.429199219,3131.103515625,4321.289062500,4412.841796875,4314.422607422,4311.370849609,4383.087158203,4385.375976563,4308.319091797
,34.332275391,47.302246094,-84.686279297,-149.536132813,-182.342529297,-197.601318359,-246.429443359,1020.050048828,2145.385742188,3092.193603516,4295.349121094,4389.953613281,4284.667968750,4276.275634766,4350.280761719,4346.466064453,4276.275634766
,35.858154297,45.776367188,-80.871582031,-148.773193359,-178.527832031,-193.786621094,-248.718261719,993.347167969,2111.053466797,3050.231933594,4267.120361328,4360.961914063,4251.098632813,4238.891601563,4315.185546875,4303.741455078,4242.706298828
,37.384033203,43.487548828,-77.819824219,-148.010253906,-174.713134766,-189.208984375,-251.007080078,965.881347656,2075.195312500,3007.507324219,4235.839843750,4328.918457031,4214.477539063,4202.270507813,4280.090332031,4259.490966797,4208.374023438
,38.146972656,40.435791016,-74.768066406,-147.247314453,-170.135498047,-183.868408203,-251.007080078,936.889648438,2037.048339844,2964.782714844,4202.270507813,4292.297363281,4174.804687500,4164.123535156,4247.283935547,4215.240478516,4172.515869141
,39.672851563,36.621093750,-70.953369141,-145.721435547,-166.320800781,-176.239013672,-247.955322266,904.846191406,1995.849609375,2921.295166016,4166.412353516,4254.150390625,4133.605957031,4125.213623047,4211.425781250,4172.515869141,4134.368896484
,39.672851563,32.043457031,-67.138671875,-143.432617188,-162.506103516,-168.609619141,-242.614746094,869.750976563,1950.073242188,2877.044677734,4129.028320313,4215.240478516,4090.118408203,4083.251953125,4173.278808594,4129.791259766,4092.407226563
,38.909912109,28.228759766,-61.798095703,-141.143798828,-158.691406250,-160.217285156,-234.985351563,830.841064453,1900.482177734,2830.505371094,4091.644287109,4174.041748047,4045.867919922,4038.238525391,4130.554199219,4084.777832031,4047.393798828
,39.672851563,24.414062500,-55.694580078,-139.617919922,-154.113769531,-153.350830078,-226.593017578,790.405273438,1847.839355469,2783.966064453,4053.497314453,4131.317138672,4000.854492188,3991.699218750,4082.489013672,4039.001464844,4001.617431641
,39.672851563,21.362304688,-50.354003906,-138.092041016,-150.299072266,-148.010253906,-217.437744141,746.917724609,1793.670654297,2736.663818359,4011.535644531,4084.777832031,3955.078125000,3942.871093750,4031.372070313,3991.699218750,3954.315185547
,38.909912109,18.310546875,-44.250488281,-138.092041016,-147.247314453,-143.432617188,-208.282470703,701.141357422,1739.501953125,2690.887451172,3965.759277344,4033.660888672,3908.538818359,3894.042968750,3977.966308594,3942.871093750,3907.775878906
,38.909912109,16.021728516,-40.435791016,-138.092041016,-144.195556641,-141.906738281,-197.601318359,653.076171875,1685.333251953,2643.585205078,3915.405273438,3979.492187500,3859.710693359,3843.688964844,3922.271728516,3894.042968750,3858.184814453
,37.384033203,13.732910156,-37.384033203,-138.092041016,-141.906738281,-141.906738281,-187.683105469,601.959228516,1631.164550781,2593.994140625,3862.762451172,3921.508789063,3809.356689453,3791.046142578,3864.288330078,3841.400146484,3807.067871094
,36.621093750,13.732910156,-33.569335938,-138.092041016,-139.617919922,-141.906738281,-178.527832031,547.790527344,1576.232910156,2539.062500000,3810.119628906,3864.288330078,3755.950927734,3734.588623047,3804.016113281,3785.705566406,3752.899169922
,37.384033203,13.732910156,-30.517578125,-137.329101563,-136.566162109,-141.906738281,-168.609619141,492.858886719,1517.486572266,2481.079101563,3761.291503906,3806.304931641,3700.256347656,3673.553466797,3739.929199219,3726.196289063,3693.389892578
,38.146972656,13.732910156,-27.465820313,-135.803222656,-135.040283203,-139.617919922,-157.928466797,437.164306641,1454.162597656,2418.518066406,3712.463378906,3748.321533203,3640.747070313,3609.466552734,3673.553466797,3663.635253906,3633.117675781
,39.672851563,13.732910156,-25.177001953,-133.514404297,-132.751464844,-135.803222656,-146.484375000,382.232666016,1386.260986328,2352.142333984,3663.635253906,3688.049316406,3578.186035156,3545.379638672,3606.414794922,3601.074218750,3572.845458984
,38.909912109,12.969970703,-24.414062500,-130.462646484,-129.699707031,-131.225585938,-131.225585938,328.063964844,1313.018798828,2283.477783203,3611.755371094,3625.488281250,3514.099121094,3482.055664063,3540.039062500,3539.276123047,3511.810302734
,36.621093750,11.444091797,-23.651123047,-125.885009766,-128.936767578,-127.410888672,-116.729736328,273.132324219,1236.724853516,2210.235595703,3554.534912109,3561.401367188,3449.249267578,3421.020507813,3476.715087891,3478.240966797,3451.538085938
,35.095214844,11.444091797,-22.888183594,-122.070312500,-125.885009766,-124.359130859,-101.470947266,218.200683594,1158.142089844,2133.178710938,3494.262695313,3497.314453125,3387.451171875,3360.748291016,3414.154052734,3419.494628906,3391.265869141
,32.806396484,11.444091797,-21.362304688,-118.255615234,-123.596191406,-121.307373047,-86.975097656,162.506103516,1078.033447266,2052.307128906,3433.990478516,3435.516357422,3328.704833984,3301.239013672,3353.118896484,3363.037109375,3330.993652344
,32.043457031,11.444091797,-19.836425781,-114.440917969,-122.070312500,-119.781494141,-74.768066406,107.574462891,996.398925781,1969.146728516,3373.718261719,3377.532958984,3273.010253906,3244.018554688,3293.609619141,3308.868408203,3273.773193359
,32.043457031,10.681152344,-19.073486328,-111.389160156,-121.307373047,-116.729736328,-62.561035156,52.642822266,914.764404297,1884.460449219,3316.497802734,3321.075439453,3219.604492188,3188.323974609,3233.337402344,3258.514404297,3218.841552734
,30.517578125,9.918212891,-19.836425781,-108.337402344,-121.307373047,-114.440917969,-51.879882813,-0.762939453,833.892822266,1799.011230469,3260.040283203,3266.906738281,3166.961669922,3134.918212891,3175.354003906,3208.923339844,3167.724609375
,29.754638672,8.392333984,-20.599365234,-104.522705078,-121.307373047,-111.389160156,-41.961669922,-54.931640625,753.021240234,1713.562011719,3203.582763672,3211.212158203,3114.318847656,3081.512451172,3118.896484375,3160.095214844,3117.370605469
,28.991699219,8.392333984,-22.888183594,-99.945068359,-121.307373047,-109.100341797,-34.332275391,-108.337402344,670.623779297,1626.586914063,3147.125244141,3155.517578125,3061.676025391,3026.580810547,3064.727783203,3110.504150391,3066.253662109
,29.754638672,9.918212891,-23.651123047,-96.130371094,-119.781494141,-108.337402344,-27.465820313,-161.743164063,583.648681641,1537.322998047,3089.141845703,3098.297119141,3009.033203125,2972.412109375,3010.559082031,3058.624267578,3013.610839844
,32.806396484,10.681152344,-22.888183594,-93.078613281,-118.255615234,-108.337402344,-22.125244141,-213.623046875,494.384765625,1445.007324219,3031.921386719,3041.076660156,2957.153320313,2917.480468750,2957.153320313,3006.744384766,2958.679199219
,37.384033203,12.207031250,-22.125244141,-90.789794922,-116.729736328,-109.863281250,-16.784667969,-265.502929688,402.832031250,1351.928710938,2973.937988281,2984.619140625,2905.273437500,2864.837646484,2902.221679688,2953.338623047,2903.747558594
,40.435791016,13.732910156,-21.362304688,-88.500976563,-114.440917969,-112.152099609,-12.969970703,-317.382812500,310.516357422,1258.850097656,2916.717529297,2928.161621094,2852.630615234,2812.194824219,2848.052978516,2900.695800781,2848.815917969
,42.724609375,12.969970703,-22.125244141,-86.212158203,-111.389160156,-113.677978516,-9.155273438,-369.262695313,221.252441406,1166.534423828,2859.497070313,2873.229980469,2797.698974609,2761.840820313,2793.884277344,2848.052978516,2794.647216797
,44.250488281,12.969970703,-22.888183594,-83.923339844,-109.863281250,-115.203857422,-6.866455078,-420.379638672,134.277343750,1074.218750000,2801.513671875,2819.061279297,2742.767333984,2709.960937500,2739.715576172,2796.936035156,2741.241455078
,45.013427734,12.207031250,-23.651123047,-82.397460938,-107.574462891,-117.492675781,-6.103515625,-469.970703125,48.065185547,979.614257813,2744.293212891,2764.892578125,2687.072753906,2657.318115234,2686.309814453,2746.582031250,2688.598632813
,48.065185547,12.207031250,-24.414062500,-80.108642578,-106.048583984,-119.018554688,-6.866455078,-515.747070313,-35.858154297,886.535644531,2688.598632813,2710.723876953,2632.141113281,2605.438232422,2632.904052734,2695.465087891,2636.718750000
,51.879882813,12.969970703,-24.414062500,-77.819824219,-104.522705078,-120.544433594,-7.629394531,-559.997558594,-119.018554688,794.219970703,2631.378173828,2655.792236328,2577.209472656,2552.795410156,2582.550048828,2645.111083984,2585.601806641
,54.931640625,12.207031250,-25.177001953,-76.293945313,-103.759765625,-121.307373047,-9.155273438,-602.722167969,-199.127197266,704.956054688,2574.920654297,2600.097656250,2522.277832031,2503.204345703,2532.958984375,2593.231201172,2536.010742188
,57.220458984,10.681152344,-26.702880859,-74.768066406,-103.759765625,-122.070312500,-9.918212891,-641.632080078,-275.421142578,620.269775391,2516.937255859,2545.166015625,2466.583251953,2455.139160156,2487.945556641,2541.351318359,2488.708496094
,58.746337891,9.155273438,-28.991699219,-72.479248047,-103.759765625,-123.596191406,-11.444091797,-679.016113281,-348.663330078,537.872314453,2458.190917969,2491.760253906,2411.651611328,2409.362792969,2442.932128906,2490.234375000,2440.643310547
,60.272216797,6.103515625,-30.517578125,-70.953369141,-104.522705078,-125.885009766,-13.732910156,-712.585449219,-418.090820313,456.237792969,2401.733398438,2440.643310547,2359.771728516,2365.112304688,2397.155761719,2439.880371094,2391.815185547
,62.561035156,3.814697266,-31.280517578,-69.427490234,-105.285644531,-129.699707031,-17.547607422,-744.628906250,-485.992431641,374.603271484,2346.038818359,2392.578125000,2310.943603516,2322.387695313,2351.379394531,2390.289306641,2342.987060547
,65.612792969,2.288818359,-31.280517578,-67.138671875,-105.285644531,-132.751464844,-22.125244141,-775.146484375,-551.605224609,292.205810547,2294.921875000,2345.275878906,2265.930175781,2279.663085938,2305.603027344,2342.987060547,2293.395996094
,68.664550781,1.525878906,-32.043457031,-65.612792969,-105.285644531,-136.566162109,-26.702880859,-803.375244141,-613.403320313,210.571289063,2246.856689453,2301.025390625,2223.205566406,2237.701416016,2262.878417969,2299.499511719,2246.093750000
,70.190429688,0.762939453,-32.043457031,-63.323974609,-106.048583984,-138.854980469,-31.280517578,-830.841064453,-671.386718750,132.751464844,2198.791503906,2256.774902344,2179.718017578,2195.739746094,2223.205566406,2257.537841797,2201.080322266
,69.427490234,0.762939453,-33.569335938,-59.509277344,-106.048583984,-140.380859375,-35.095214844,-855.255126953,-724.792480469,58.746337891,2153.015136719,2213.287353516,2136.230468750,2154.541015625,2186.584472656,2220.153808594,2159.118652344
,68.664550781,0.000000000,-34.332275391,-54.168701172,-106.811523438,-141.906738281,-38.909912109,-878.143310547,-775.909423828,-10.681152344,2106.475830078,2169.799804688,2094.268798828,2112.579345703,2152.252197266,2183.532714844,2120.208740234
,69.427490234,-1.525878906,-33.569335938,-48.065185547,-106.048583984,-143.432617188,-42.724609375,-900.268554688,-823.974609375,-76.293945313,2060.699462891,2127.838134766,2053.833007813,2073.669433594,2117.919921875,2145.385742188,2083.587646484
,69.427490234,-3.051757813,-32.806396484,-39.672851563,-104.522705078,-145.721435547,-45.776367188,-920.104980469,-870.513916016,-139.617919922,2017.974853516,2086.639404297,2016.448974609,2035.522460938,2085.113525391,2108.001708984,2046.203613281
,70.190429688,-3.814697266,-32.043457031,-31.280517578,-104.522705078,-147.247314453,-48.828125000,-940.704345703,-914.001464844,-202.178955078,1978.302001953,2047.729492188,1981.353759766,1997.375488281,2052.307128906,2068.328857422,2009.582519531
,70.953369141,-4.577636719,-30.517578125,-24.414062500,-105.285644531,-149.536132813,-50.354003906,-959.014892578,-953.674316406,-262.451171875,1940.155029297,2010.345458984,1945.495605469,1960.754394531,2020.263671875,2029.418945313,1973.724365234
,67.901611328,-5.340576172,-29.754638672,-17.547607422,-106.048583984,-151.062011719,-51.879882813,-974.273681641,-988.769531250,-321.197509766,1903.533935547,1972.198486328,1909.637451172,1921.844482422,1988.220214844,1991.271972656,1934.814453125
,65.612792969,-6.103515625,-28.228759766,-12.969970703,-108.337402344,-151.824951172,-51.879882813,-988.006591797,-1020.050048828,-378.417968750,1866.912841797,1933.288574219,1873.016357422,1882.171630859,1955.413818359,1952.362060547,1896.667480469
,61.798095703,-7.629394531,-27.465820313,-9.155273438,-109.100341797,-152.587890625,-53.405761719,-1001.739501953,-1049.041748047,-431.823730469,1828.765869141,1891.326904297,1835.632324219,1840.209960938,1922.607421875,1913.452148438,1857.757568359
,58.746337891,-7.629394531,-26.702880859,-7.629394531,-108.337402344,-151.824951172,-54.931640625,-1014.709472656,-1077.270507813,-484.466552734,1792.144775391,1848.602294922,1800.537109375,1798.248291016,1889.801025391,1873.779296875,1818.084716797
,56.457519531,-8.392333984,-25.939941406,-7.629394531,-107.574462891,-151.062011719,-56.457519531,-1027.679443359,-1103.210449219,-535.583496094,1753.997802734,1805.114746094,1766.967773438,1757.049560547,1856.994628906,1834.869384766,1779.174804688
,54.168701172,-10.681152344,-25.939941406,-8.392333984,-107.574462891,-150.299072266,-58.746337891,-1040.649414063,-1127.624511719,-585.174560547,1716.613769531,1762.390136719,1732.635498047,1718.902587891,1824.951171875,1796.722412109,1741.027832031
,51.116943359,-11.444091797,-25.939941406,-10.681152344,-107.574462891,-151.062011719,-58.746337891,-1051.330566406,-1151.275634766,-632.476806641,1679.992675781,1721.954345703,1699.829101563,1682.281494141,1794.433593750,1761.627197266,1703.643798828
,48.065185547,-14.495849609,-26.702880859,-12.969970703,-108.337402344,-150.299072266,-57.983398438,-1062.011718750,-1173.400878906,-676.727294922,1645.660400391,1684.570312500,1667.785644531,1647.949218750,1763.153076172,1726.531982422,1667.022705078
,45.013427734,-16.021728516,-28.228759766,-16.784667969,-109.100341797,-151.062011719,-55.694580078,-1071.166992188,-1194.000244141,-718.688964844,1612.854003906,1650.238037109,1634.979248047,1612.854003906,1731.872558594,1692.199707031,1630.401611328
,41.961669922,-16.021728516,-28.228759766,-19.836425781,-108.337402344,-150.299072266,-52.642822266,-1079.559326172,-1216.125488281,-758.361816406,1581.573486328,1618.194580078,1604.461669922,1579.284667969,1701.354980469,1657.867431641,1593.780517578
,40.435791016,-16.021728516,-27.465820313,-22.888183594,-109.100341797,-148.010253906,-51.116943359,-1088.714599609,-1238.250732422,-797.271728516,1551.055908203,1586.914062500,1573.944091797,1546.478271484,1670.837402344,1622.009277344,1557.922363281
