Test Name,H-Reflex Inc-Dec
Test Item,Left Increasing -> M-max
Patient Name,"week5  s2811mytb"
Patient ID,
Test Date,6/4/2019
Trace Label,"Tr 1 : 0 mA","Tr 2 : 0 mA","Tr 3 : 11 mA","Tr 4 : 14.5 mA","Tr 5 : 30 mA","Tr 6 : 30 mA","Tr 7 : 30 mA","Tr 8 : 46 mA","Tr 9 : 52 mA","Tr 10 : 62 mA","Tr 11 : 100 mA","Tr 12 : 100 mA","Tr 13 : 100 mA","Tr 14 : 100 mA","Tr 15 : 100 mA","Tr 16 : 100 mA","Tr 17 : 100 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),42.724609375,-6.103515625,9650.421142578,13212.585449219,4141.235351563,14098.358154297,8767.700195313,17343.139648438,15901.184082031,7566.833496094,8449.554443359,6823.730468750,10192.871093750,13160.705566406,8396.148681641,15553.283691406,11092.376708984
,138.854980469,19.073486328,-1772.308349609,-1897.430419922,-4157.257080078,-3140.258789063,-2971.649169922,-6465.911865234,-6898.498535156,-8306.121826172,-10250.091552734,-11251.831054688,-12184.143066406,-13145.446777344,-13278.961181641,-13188.171386719,-13056.945800781
,137.329101563,21.362304688,-1740.264892578,-1869.964599609,-4100.036621094,-3095.245361328,-2928.161621094,-6381.225585938,-6809.997558594,-8200.836181641,-10137.176513672,-11127.471923828,-12049.865722656,-13002.777099609,-13133.239746094,-13044.738769531,-12910.461425781
,135.803222656,22.125244141,-1708.984375000,-1843.261718750,-4043.579101563,-3050.994873047,-2886.962890625,-6297.302246094,-6722.259521484,-8097.076416016,-10026.550292969,-11003.875732422,-11916.351318359,-12862.396240234,-12989.807128906,-12903.594970703,-12765.502929688
,132.751464844,22.125244141,-1679.229736328,-1815.795898438,-3987.884521484,-3007.507324219,-2845.764160156,-6214.141845703,-6635.284423828,-7994.842529297,-9915.924072266,-10882.568359375,-11784.362792969,-12724.304199219,-12847.137451172,-12763.214111328,-12622.070312500
,128.173828125,22.125244141,-1651.763916016,-1789.093017578,-3932.952880859,-2965.545654297,-2804.565429688,-6132.507324219,-6549.072265625,-7894.897460938,-9807.586669922,-10762.023925781,-11653.900146484,-12587.738037109,-12706.756591797,-12625.122070313,-12480.926513672
,123.596191406,22.888183594,-1625.061035156,-1762.390136719,-3876.495361328,-2925.109863281,-2765.655517578,-6053.161621094,-6465.148925781,-7796.478271484,-9700.775146484,-10642.242431641,-11525.726318359,-12452.697753906,-12567.901611328,-12488.555908203,-12341.308593750
,119.018554688,24.414062500,-1599.121093750,-1736.450195313,-3820.037841797,-2886.199951172,-2726.745605469,-5976.104736328,-6383.514404297,-7700.347900391,-9594.726562500,-10523.986816406,-11399.078369141,-12318.420410156,-12430.572509766,-12354.278564453,-12203.216552734
,115.203857422,26.702880859,-1574.707031250,-1712.036132813,-3766.632080078,-2848.815917969,-2689.361572266,-5901.336669922,-6304.168701172,-7604.980468750,-9489.440917969,-10408.020019531,-11273.956298828,-12184.906005859,-12294.006347656,-12222.290039063,-12067.413330078
,112.152099609,28.991699219,-1551.818847656,-1687.622070313,-3713.226318359,-2812.957763672,-2651.977539063,-5828.857421875,-6226.348876953,-7512.664794922,-9384.918212891,-10292.816162109,-11150.360107422,-12052.154541016,-12159.729003906,-12093.353271484,-11932.373046875
,109.100341797,31.280517578,-1529.693603516,-1663.970947266,-3661.346435547,-2778.625488281,-2616.119384766,-5758.666992188,-6149.291992188,-7421.112060547,-9281.921386719,-10180.664062500,-11028.289794922,-11920.166015625,-12026.214599609,-11966.705322266,-11799.621582031
,106.048583984,32.806396484,-1508.331298828,-1641.082763672,-3612.518310547,-2743.530273438,-2579.498291016,-5688.476562500,-6073.760986328,-7333.374023438,-9179.687500000,-10068.511962891,-10908.508300781,-11790.466308594,-11894.989013672,-11841.583251953,-11669.158935547
,101.470947266,35.095214844,-1487.731933594,-1618.957519531,-3563.690185547,-2709.197998047,-2543.640136719,-5619.049072266,-6000.518798828,-7247.924804688,-9079.742431641,-9958.648681641,-10791.015625000,-11663.055419922,-11767.578125000,-11718.750000000,-11540.222167969
,96.130371094,38.146972656,-1467.132568359,-1598.358154297,-3515.625000000,-2676.391601563,-2508.544921875,-5551.910400391,-5930.328369141,-7164.001464844,-8982.086181641,-9849.548339844,-10674.285888672,-11537.170410156,-11642.456054688,-11596.679687500,-11415.100097656
,91.552734375,41.961669922,-1447.296142578,-1577.758789063,-3469.085693359,-2644.348144531,-2473.449707031,-5487.823486328,-5863.189697266,-7083.129882813,-8885.955810547,-9741.973876953,-10559.082031250,-11413.574218750,-11520.385742188,-11476.898193359,-11292.266845703
,86.975097656,45.013427734,-1427.459716797,-1558.685302734,-3423.309326172,-2613.830566406,-2437.591552734,-5426.025390625,-5799.102783203,-7005.310058594,-8792.114257813,-9637.451171875,-10446.166992188,-11293.029785156,-11401.367187500,-11360.931396484,-11170.959472656
,83.160400391,46.539306641,-1409.149169922,-1538.085937500,-3377.532958984,-2584.075927734,-2401.733398438,-5367.279052734,-5738.067626953,-6929.016113281,-8702.850341797,-9535.980224609,-10336.303710938,-11176.300048828,-11283.874511719,-11248.779296875,-11052.703857422
,78.582763672,47.302246094,-1390.838623047,-1518.249511719,-3333.282470703,-2552.032470703,-2367.401123047,-5311.584472656,-5678.558349609,-6858.062744141,-8617.401123047,-9438.323974609,-10231.018066406,-11065.673828125,-11170.959472656,-11143.493652344,-10938.262939453
,74.768066406,47.302246094,-1372.528076172,-1498.413085938,-3289.794921875,-2520.751953125,-2332.305908203,-5257.415771484,-5622.863769531,-6792.449951172,-8538.055419922,-9346.771240234,-10131.072998047,-10962.677001953,-11065.673828125,-11045.837402344,-10829.925537109
,70.953369141,49.591064453,-1354.217529297,-1480.102539063,-3247.070312500,-2488.708496094,-2297.973632813,-5204.010009766,-5570.983886719,-6731.414794922,-8467.864990234,-9264.373779297,-10040.283203125,-10869.598388672,-10968.017578125,-10962.677001953,-10732.269287109
,67.138671875,51.116943359,-1336.669921875,-1461.791992188,-3204.345703125,-2455.139160156,-2264.404296875,-5152.893066406,-5523.681640625,-6678.009033203,-8409.118652344,-9192.657470703,-9962.463378906,-10793.304443359,-10883.331298828,-10894.012451172,-10649.871826172
